instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,672884440,625957632,0,8972159,8941818,"[8682908, 8682908, 8682908, 8682908, 8682908, 8682908, 8682908, 8683164, 8683420, 8683676, 8683932, 8684188, 8684444, 8684700, 8684956, 8685212, 8685468, 8685724, 8685980, 8686236, 8686492, 8686748, 8687036, 8687100, 8687196, 8687260, 8687356, 8687452, 8687516, 8687612, 8687708, 8687772, 8687868, 8687964, 11081291, 9046042, 9046218, 9046378, 9046554, 9046730, 9046890, 9047066, 9047242, 9047402, 9047578, 9047770, 9047834, 9047930, 9369089, 9102777, 9102953, 9103113, 9103289, 9103465, 9103625, 9104057, 9104473, 9104873, 9136965, 9104635, 9324220, 9114683, 9593459, 9408677, 9200335, 9200527, 9200719, 9200911, 9201167]"
0,3,meta-llama/Llama-3.1-8B,4,12,570907776,682052850,111145074,290366,9427331,9247067,"[9104635, 9324220, 9114683, 9593459, 9408677, 9200335, 9200527, 9200719, 9200911, 9201167, 9168410]"
0,7,meta-llama/Llama-3.1-8B,2,9,811936856,897333389,85396533,2934682,12094389,9162768,"[9161612, 9161932, 9162268, 9162604, 9162940, 9163260, 9163596, 9163932]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1113571252,633957731,282907,9651996,9180966,"[9102777, 9102953, 9103113, 9103289, 9103465, 9103625, 9104057, 9104473, 9104873, 9136965, 9104635, 9324220, 9114683, 9593459, 9408677, 9200335, 9200527, 9200719, 9200911, 9201167, 9168410, 9158330, 9158442, 9158570, 9158682, 9158778, 9158890, 9159114, 9159338, 9159802, 9160266, 9160730, 9161210, 9161674, 9162154, 9162618, 9159803, 9161692, 9162028, 9162364, 9162700, 9163036, 9163356, 9163692, 9164028, 9167306, 9781451, 9165164, 9165500, 9165948, 9166412, 9166860, 9167308, 9167772, 9168220, 9168668, 9169116, 9169580, 9170028, 9241484, 9179788, 9180236, 9180716, 9181516, 9182300, 9183116, 9183900, 9184716]"
0,5,meta-llama/Llama-3.1-8B,15,63,604829893,1186978196,582148303,3048752,12642211,9185582,"[9408677, 9200335, 9200527, 9200719, 9200911, 9201167, 9168410, 9158330, 9158442, 9158570, 9158682, 9158778, 9158890, 9159114, 9159338, 9159802, 9160266, 9160730, 9161210, 9161674, 9162154, 9162618, 9159803, 9161692, 9162028, 9162364, 9162700, 9163036, 9163356, 9163692, 9164028, 9167306, 9781451, 9165164, 9165500, 9165948, 9166412, 9166860, 9167308, 9167772, 9168220, 9168668, 9169116, 9169580, 9170028, 9241484, 9179788, 9180236, 9180716, 9181516, 9182300, 9183116, 9183900, 9184716, 9172988, 9173804, 9174636, 9175452, 9176284, 9177100, 9177932, 9178748]"
0,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1269634878,242664801,3903403,13144887,9180796,"[9179788, 9180236, 9180716, 9181516, 9182300, 9183116, 9183900, 9184716, 9172988, 9173804, 9174636, 9175452, 9176284, 9177100, 9177932, 9178748, 9180234, 9181210, 9182154, 9183130, 9184074, 9185034, 9185994, 9186938, 9187914]"
0,1,meta-llama/Llama-3.1-8B,22,104,347938952,1301672437,953733485,14336,9821949,9164189,"[9045994, 9046170, 9046346, 9046506, 9046682, 9046858, 9047018, 9047194, 9047370, 9047530, 9047722, 9047802, 9047882, 9047962, 9369137, 9102825, 9102985, 9103161, 9103337, 9103497, 9103673, 9104105, 9104505, 9104921, 9137013, 9104667, 9324268, 9114731, 9856168, 9200287, 9200463, 9200655, 9200847, 9201039, 9201295, 9168538, 9158458, 9158570, 9158698, 9158810, 9158906, 9159018, 9159242, 9159706, 9160170, 9160634, 9161114, 9161578, 9162058, 9162522, 9159707, 9161612, 9161932, 9162268, 9162604, 9162940, 9163260, 9163596, 9163932, 9167210, 9781355, 9165068, 9165404, 9165740, 9166188, 9166652, 9167100, 9167548, 9168012, 9168460, 9168908, 9169356, 9169820, 9170268, 9241724, 9180012, 9180492, 9181292, 9182092, 9182892, 9183692, 9184492, 9185292, 9173564, 9174396, 9175212, 9176044, 9176860, 9177692, 9178508, 9179324, 9180826, 9181786, 9182746, 9183706, 9184666, 9185610, 9186570, 9187530, 9188490, 9144107, 9145483, 9146859]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1383950102,773136333,1688978,11445161,9177002,"[9200287, 9200463, 9200655, 9200847, 9201039, 9201295, 9168538, 9158458, 9158570, 9158698, 9158810, 9158906, 9159018, 9159242, 9159706, 9160170, 9160634, 9161114, 9161578, 9162058, 9162522, 9159707, 9161612, 9161932, 9162268, 9162604, 9162940, 9163260, 9163596, 9163932, 9167210, 9781355, 9165068, 9165404, 9165740, 9166188, 9166652, 9167100, 9167548, 9168012, 9168460, 9168908, 9169356, 9169820, 9170268, 9241724, 9180012, 9180492, 9181292, 9182092, 9182892, 9183692, 9184492, 9185292, 9173564, 9174396, 9175212, 9176044, 9176860, 9177692, 9178508, 9179324, 9180826, 9181786, 9182746, 9183706, 9184666, 9185610, 9186570, 9187530, 9188490, 9144107, 9145483, 9146859, 9136441, 9137833, 9139209, 9140585, 9141961, 9143337, 9144713, 9146105, 9147481]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1438458946,534613875,2655528,12436883,9160999,"[9165068, 9165404, 9165740, 9166188, 9166652, 9167100, 9167548, 9168012, 9168460, 9168908, 9169356, 9169820, 9170268, 9241724, 9180012, 9180492, 9181292, 9182092, 9182892, 9183692, 9184492, 9185292, 9173564, 9174396, 9175212, 9176044, 9176860, 9177692, 9178508, 9179324, 9180826, 9181786, 9182746, 9183706, 9184666, 9185610, 9186570, 9187530, 9188490, 9144107, 9145483, 9146859, 9136441, 9137833, 9139209, 9140585, 9141961, 9143337, 9144713, 9146105, 9147481, 9080794, 9082394, 9084010, 9085610, 9087210, 9088826]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1469287243,881416980,1569479,10893699,9163402,"[9114683, 9593459, 9408677, 9200335, 9200527, 9200719, 9200911, 9201167, 9168410, 9158330, 9158442, 9158570, 9158682, 9158778, 9158890, 9159114, 9159338, 9159802, 9160266, 9160730, 9161210, 9161674, 9162154, 9162618, 9159803, 9161692, 9162028, 9162364, 9162700, 9163036, 9163356, 9163692, 9164028, 9167306, 9781451, 9165164, 9165500, 9165948, 9166412, 9166860, 9167308, 9167772, 9168220, 9168668, 9169116, 9169580, 9170028, 9241484, 9179788, 9180236, 9180716, 9181516, 9182300, 9183116, 9183900, 9184716, 9172988, 9173804, 9174636, 9175452, 9176284, 9177100, 9177932, 9178748, 9180234, 9181210, 9182154, 9183130, 9184074, 9185034, 9185994, 9186938, 9187914, 9143515, 9144907, 9146283, 9147659, 9137257, 9138633, 9140009, 9141385, 9142761, 9144137, 9145529, 9146905, 9148281, 9081594, 9083194, 9084810, 9086410, 9088026, 9089626, 8755548, 8757148, 8758748]"
