hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,gpt3-6.7b,mlp/gelu,1,0,55507
RTX3090,gpt3-6.7b,ln_f,1,0,62462
RTX3090,gpt3-6.7b,vocab_embedding,1,0,102445
RTX3090,gpt3-6.7b,post_layernorm,1,0,44186
RTX3090,gpt3-6.7b,input_layernorm,1,0,45133
RTX3090,gpt3-6.7b,attention/wrapper,1,0,44792
RTX3090,gpt3-6.7b,attention/dense,1,0,10257
RTX3090,gpt3-6.7b,attention/qkv,1,0,9446
RTX3090,gpt3-6.7b,lm_head,1,0,9455
RTX3090,gpt3-6.7b,mlp/proj,1,0,9281
RTX3090,gpt3-6.7b,mlp/fc,1,0,9101
RTX3090,gpt3-6.7b,mlp/gelu,1,1,5760
RTX3090,gpt3-6.7b,ln_f,1,1,8329
RTX3090,gpt3-6.7b,vocab_embedding,1,1,9890
RTX3090,gpt3-6.7b,post_layernorm,1,1,9624
RTX3090,gpt3-6.7b,input_layernorm,1,1,6888
RTX3090,gpt3-6.7b,attention/wrapper,1,1,3761
RTX3090,gpt3-6.7b,attention/dense,1,1,1193
RTX3090,gpt3-6.7b,attention/qkv,1,1,1398
RTX3090,gpt3-6.7b,lm_head,1,1,1320
RTX3090,gpt3-6.7b,mlp/proj,1,1,1297
RTX3090,gpt3-6.7b,mlp/fc,1,1,1772
RTX3090,gpt3-6.7b,mlp/gelu,1,2,8387
RTX3090,gpt3-6.7b,ln_f,1,2,15637
RTX3090,gpt3-6.7b,vocab_embedding,1,2,26036
RTX3090,gpt3-6.7b,post_layernorm,1,2,15095
RTX3090,gpt3-6.7b,input_layernorm,1,2,15056
RTX3090,gpt3-6.7b,attention/wrapper,1,2,8073
RTX3090,gpt3-6.7b,attention/dense,1,2,2363
RTX3090,gpt3-6.7b,attention/qkv,1,2,2262
RTX3090,gpt3-6.7b,lm_head,1,2,2199
RTX3090,gpt3-6.7b,mlp/proj,1,2,2110
RTX3090,gpt3-6.7b,mlp/fc,1,2,3093
RTX3090,gpt3-6.7b,mlp/gelu,1,3,15978
RTX3090,gpt3-6.7b,ln_f,1,3,20545
RTX3090,gpt3-6.7b,vocab_embedding,1,3,26936
RTX3090,gpt3-6.7b,post_layernorm,1,3,16873
RTX3090,gpt3-6.7b,input_layernorm,1,3,16891
RTX3090,gpt3-6.7b,attention/wrapper,1,3,12891
RTX3090,gpt3-6.7b,attention/dense,1,3,3685
