hardware,model,layer_name,input,kv_cache,latency(ns)
example,gpt2,vocab_embedding,1,0,1000
example,gpt2,input_layernorm,1,0,1001
example,gpt2,attention/qkv,1,0,1002
example,gpt2,attention/wrapper,1,0,1003
example,gpt2,attention/dense,1,0,1004
example,gpt2,mlp/fc,1,0,1005
example,gpt2,mlp/gelu,1,0,1006
example,gpt2,mlp/proj,1,0,1007
example,gpt2,post_layernorm,1,0,1008
example,gpt2,ln_f,1,0,1009
example,gpt2,lm_head,1,0,1010
example,gpt2,vocab_embedding,1,1,1011
example,gpt2,input_layernorm,1,1,1012
example,gpt2,attention/qkv,1,1,1013
example,gpt2,attention/wrapper,1,1,1014
example,gpt2,attention/dense,1,1,1015
example,gpt2,mlp/fc,1,1,1016
example,gpt2,mlp/gelu,1,1,1017
example,gpt2,mlp/proj,1,1,1018
example,gpt2,post_layernorm,1,1,1019
example,gpt2,ln_f,1,1,1020
example,gpt2,lm_head,1,1,1021
example,gpt2,vocab_embedding,1,2,1022
example,gpt2,input_layernorm,1,2,1023
example,gpt2,attention/qkv,1,2,1024
example,gpt2,attention/wrapper,1,2,1025
example,gpt2,attention/dense,1,2,1026
example,gpt2,mlp/fc,1,2,1027
example,gpt2,mlp/gelu,1,2,1028
example,gpt2,mlp/proj,1,2,1029
example,gpt2,post_layernorm,1,2,1030
example,gpt2,ln_f,1,2,1031
example,gpt2,lm_head,1,2,1032
example,gpt2,vocab_embedding,1,3,1033
example,gpt2,input_layernorm,1,3,1034
example,gpt2,attention/qkv,1,3,1035
example,gpt2,attention/wrapper,1,3,1036
example,gpt2,attention/dense,1,3,1037
example,gpt2,mlp/fc,1,3,1038
example,gpt2,mlp/gelu,1,3,1039
example,gpt2,mlp/proj,1,3,1040
example,gpt2,post_layernorm,1,3,1041
example,gpt2,ln_f,1,3,1042
example,gpt2,lm_head,1,3,1043
example,gpt2,vocab_embedding,1,4,1044
example,gpt2,input_layernorm,1,4,1045
example,gpt2,attention/qkv,1,4,1046
example,gpt2,attention/wrapper,1,4,1047
example,gpt2,attention/dense,1,4,1048
example,gpt2,mlp/fc,1,4,1049
example,gpt2,mlp/gelu,1,4,1050
example,gpt2,mlp/proj,1,4,1051
example,gpt2,post_layernorm,1,4,1052
example,gpt2,ln_f,1,4,1053
example,gpt2,lm_head,1,4,1054
example,gpt2,vocab_embedding,1,5,1055
example,gpt2,input_layernorm,1,5,1056
example,gpt2,attention/qkv,1,5,1057
example,gpt2,attention/wrapper,1,5,1058
example,gpt2,attention/dense,1,5,1059
example,gpt2,mlp/fc,1,5,1060
example,gpt2,mlp/gelu,1,5,1061
example,gpt2,mlp/proj,1,5,1062
example,gpt2,post_layernorm,1,5,1063
example,gpt2,ln_f,1,5,1064
example,gpt2,lm_head,1,5,1065
example,gpt2,vocab_embedding,1,6,1066
example,gpt2,input_layernorm,1,6,1067
example,gpt2,attention/qkv,1,6,1068
example,gpt2,attention/wrapper,1,6,1069
example,gpt2,attention/dense,1,6,1070
example,gpt2,mlp/fc,1,6,1071
example,gpt2,mlp/gelu,1,6,1072
example,gpt2,mlp/proj,1,6,1073
example,gpt2,post_layernorm,1,6,1074
example,gpt2,ln_f,1,6,1075
example,gpt2,lm_head,1,6,1076
example,gpt2,vocab_embedding,1,7,1077
example,gpt2,input_layernorm,1,7,1078
example,gpt2,attention/qkv,1,7,1079
example,gpt2,attention/wrapper,1,7,1080
example,gpt2,attention/dense,1,7,1081
example,gpt2,mlp/fc,1,7,1082
example,gpt2,mlp/gelu,1,7,1083
example,gpt2,mlp/proj,1,7,1084
example,gpt2,post_layernorm,1,7,1085
example,gpt2,ln_f,1,7,1086
example,gpt2,lm_head,1,7,1087
example,gpt2,vocab_embedding,1,8,1088
example,gpt2,input_layernorm,1,8,1089
example,gpt2,attention/qkv,1,8,1090
example,gpt2,attention/wrapper,1,8,1091
example,gpt2,attention/dense,1,8,1092
example,gpt2,mlp/fc,1,8,1093
example,gpt2,mlp/gelu,1,8,1094
example,gpt2,mlp/proj,1,8,1095
example,gpt2,post_layernorm,1,8,1096
example,gpt2,ln_f,1,8,1097
example,gpt2,lm_head,1,8,1098
example,gpt2,vocab_embedding,1,9,1099
example,gpt2,input_layernorm,1,9,1100
example,gpt2,attention/qkv,1,9,1101
example,gpt2,attention/wrapper,1,9,1102
example,gpt2,attention/dense,1,9,1103
example,gpt2,mlp/fc,1,9,1104
example,gpt2,mlp/gelu,1,9,1105
example,gpt2,mlp/proj,1,9,1106
example,gpt2,post_layernorm,1,9,1107
example,gpt2,ln_f,1,9,1108
example,gpt2,lm_head,1,9,1109
example,gpt2,vocab_embedding,1,10,1110
example,gpt2,input_layernorm,1,10,1111
example,gpt2,attention/qkv,1,10,1112
example,gpt2,attention/wrapper,1,10,1113
example,gpt2,attention/dense,1,10,1114
example,gpt2,mlp/fc,1,10,1115
example,gpt2,mlp/gelu,1,10,1116
example,gpt2,mlp/proj,1,10,1117
example,gpt2,post_layernorm,1,10,1118
example,gpt2,ln_f,1,10,1119
example,gpt2,lm_head,1,10,1120
example,gpt2,vocab_embedding,1,11,1121
example,gpt2,input_layernorm,1,11,1122
example,gpt2,attention/qkv,1,11,1123
example,gpt2,attention/wrapper,1,11,1124
example,gpt2,attention/dense,1,11,1125
example,gpt2,mlp/fc,1,11,1126
example,gpt2,mlp/gelu,1,11,1127
example,gpt2,mlp/proj,1,11,1128
example,gpt2,post_layernorm,1,11,1129
example,gpt2,ln_f,1,11,1130
example,gpt2,lm_head,1,11,1131
example,gpt2,vocab_embedding,1,12,1132
example,gpt2,input_layernorm,1,12,1133
example,gpt2,attention/qkv,1,12,1134
example,gpt2,attention/wrapper,1,12,1135
example,gpt2,attention/dense,1,12,1136
example,gpt2,mlp/fc,1,12,1137
example,gpt2,mlp/gelu,1,12,1138
example,gpt2,mlp/proj,1,12,1139
example,gpt2,post_layernorm,1,12,1140
example,gpt2,ln_f,1,12,1141
example,gpt2,lm_head,1,12,1142
example,gpt2,vocab_embedding,1,13,1143
example,gpt2,input_layernorm,1,13,1144
example,gpt2,attention/qkv,1,13,1145
example,gpt2,attention/wrapper,1,13,1146
example,gpt2,attention/dense,1,13,1147
example,gpt2,mlp/fc,1,13,1148
example,gpt2,mlp/gelu,1,13,1149
example,gpt2,mlp/proj,1,13,1150
example,gpt2,post_layernorm,1,13,1151
example,gpt2,ln_f,1,13,1152
example,gpt2,lm_head,1,13,1153
example,gpt2,vocab_embedding,1,14,1154
example,gpt2,input_layernorm,1,14,1155
example,gpt2,attention/qkv,1,14,1156
example,gpt2,attention/wrapper,1,14,1157
example,gpt2,attention/dense,1,14,1158
example,gpt2,mlp/fc,1,14,1159
example,gpt2,mlp/gelu,1,14,1160
example,gpt2,mlp/proj,1,14,1161
example,gpt2,post_layernorm,1,14,1162
example,gpt2,ln_f,1,14,1163
example,gpt2,lm_head,1,14,1164
example,gpt2,vocab_embedding,1,15,1165
example,gpt2,input_layernorm,1,15,1166
example,gpt2,attention/qkv,1,15,1167
