prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.31067
0,0,1,32,9.34367
0,0,1,64,9.42867
0,0,1,128,12.98
0,0,1,256,13.097
0,0,1,512,13.5243
0,0,1,1024,14.1853
0,0,1,2048,20.1687
0,0,1,4096,24.3187
0,0,1,8192,37.7687
0,0,1,16384,56.616
0,0,2,16,13.589
0,0,2,32,13.7583
0,0,2,64,13.8443
0,0,2,128,16.2433
0,0,2,256,16.884
0,0,2,512,18.5597
0,0,2,1024,24.9587
0,0,2,2048,36.8203
0,0,2,4096,53.9903
0,0,2,8192,89.413
0,0,2,16384,162.391
0,0,4,16,13.535
0,0,4,32,13.6953
0,0,4,64,14.079
0,0,4,128,16.8097
0,0,4,256,18.1857
0,0,4,512,24.0203
0,0,4,1024,36.105
0,0,4,2048,54.8873
0,0,4,4096,93.2117
0,0,4,8192,161.122
0,0,4,16384,305.074
0,0,8,16,14.026
0,0,8,32,14.4197
0,0,8,64,15.0493
0,0,8,128,18.3993
0,0,8,256,24.2867
0,0,8,512,35.54
0,0,8,1024,55.5817
0,0,8,2048,92.257
0,0,8,4096,164.678
0,0,8,8192,309.611
0,0,8,16384,588.825
0,0,16,16,14.3777
0,0,16,32,15.1357
0,0,16,64,16.48
0,0,16,128,25.172
0,0,16,256,36.5953
0,0,16,512,61.6397
0,0,16,1024,99.2593
0,0,16,2048,171.838
0,0,16,4096,315.456
0,0,16,8192,595.665
0,0,16,16384,1156.96
0,0,32,16,20.629
0,0,32,32,22.165
0,0,32,64,25.3217
0,0,32,128,40.5953
0,0,32,256,65.021
0,0,32,512,107.068
0,0,32,1024,181.391
0,0,32,2048,325.006
0,0,32,4096,607.175
0,0,32,8192,1172.8
0,0,32,16384,2294.07
0,0,64,16,32.2237
0,0,64,32,34.4747
0,0,64,64,39.3493
0,0,64,128,67.3387
0,0,64,256,113.578
0,0,64,512,191.925
0,0,64,1024,333.295
0,0,64,2048,620.241
0,0,64,4096,1184.96
0,0,64,8192,2311.1
0,0,64,16384,4553.32
0,0,128,16,53.7377
0,0,128,32,55.754
0,0,128,64,59.957
0,0,128,128,101.076
0,0,128,256,177.504
0,0,128,512,323.014
0,0,128,1024,606.193
0,0,128,2048,1179.97
0,0,128,4096,2302.31
0,0,128,8192,4575.41
0,0,128,16384,9052.46
0,0,256,16,97.866
0,0,256,32,100.117
0,0,256,64,104.374
0,0,256,128,185.993
0,0,256,256,328.874
0,0,256,512,618.713
0,0,256,1024,1182.93
0,0,256,2048,2312.57
0,0,256,4096,4554.5
0,0,256,8192,9055.93
0,0,256,16384,18003.5
16,0,0,0,9.546
16,0,1,16,9.696
16,0,1,32,9.66367
16,0,1,64,9.66333
16,0,1,128,12.768
16,0,1,256,16.6813
16,0,1,512,24.4897
16,0,1,1024,40.3813
16,0,1,2048,72.4117
16,0,1,4096,136.687
16,0,1,8192,264.791
16,0,1,16384,520.064
16,0,2,16,9.68533
16,0,2,32,9.69533
16,0,2,64,9.706
16,0,2,128,12.895
16,0,2,256,16.8427
16,0,2,512,24.8853
16,0,2,1024,40.8407
16,0,2,2048,72.8817
16,0,2,4096,137.432
16,0,2,8192,265.354
16,0,2,16384,521.245
16,0,4,16,15.0177
16,0,4,32,14.9647
16,0,4,64,15.1253
16,0,4,128,21.5137
16,0,4,256,29.3843
16,0,4,512,41.757
16,0,4,1024,57.8537
16,0,4,2048,89.1043
16,0,4,4096,151.492
16,0,4,8192,275.731
16,0,4,16384,526.168
16,0,8,16,20.2333
16,0,8,32,20.3087
16,0,8,64,20.607
16,0,8,128,30.8357
16,0,8,256,42.3557
16,0,8,512,58.205
16,0,8,1024,89.4887
16,0,8,2048,152.079
16,0,8,4096,278.611
16,0,8,8192,530.871
16,0,8,16384,1044.82
16,0,16,16,30.858
16,0,16,32,31.0817
16,0,16,64,31.593
16,0,16,128,48.9687
16,0,16,256,66.5463
16,0,16,512,97.724
16,0,16,1024,160.655
16,0,16,2048,286.783
16,0,16,4096,537.486
16,0,16,8192,1052.43
16,0,16,16384,2072.32
16,0,32,16,52.1687
16,0,32,32,52.7127
16,0,32,64,53.929
16,0,32,128,83.155
16,0,32,256,116.157
16,0,32,512,177.594
16,0,32,1024,304.312
16,0,32,2048,555.675
16,0,32,4096,1058.94
16,0,32,8192,2090.89
16,0,32,16384,4124.99
16,0,64,16,93.4603
16,0,64,32,94.4293
16,0,64,64,96.0947
16,0,64,128,158.45
16,0,64,256,228.827
16,0,64,512,364.91
16,0,64,1024,633.343
16,0,64,2048,1172.61
16,0,64,4096,2355.72
16,0,64,8192,4900.4
16,0,64,16384,12808.2
16,0,128,16,174.12
16,0,128,32,175.506
16,0,128,64,179.881
16,0,128,128,308.434
16,0,128,256,471.356
16,0,128,512,774.905
16,0,128,1024,1427.52
16,0,128,2048,4514.41
16,0,128,4096,9043.11
16,0,128,8192,18046
16,0,128,16384,36013.4
16,16,0,0,9.696
16,16,1,16,9.82267
16,16,1,32,9.81233
16,16,1,64,9.88767
16,16,1,128,12.7887
16,16,1,256,16.6923
16,16,1,512,24.467
16,16,1,1024,40.3503
16,16,1,2048,72.576
16,16,1,4096,136.621
16,16,1,8192,264.751
16,16,1,16384,520.152
16,16,2,16,9.80233
16,16,2,32,9.89767
16,16,2,64,10.0903
16,16,2,128,12.895
16,16,2,256,16.916
16,16,2,512,24.916
16,16,2,1024,40.7127
16,16,2,2048,72.9023
16,16,2,4096,137.561
16,16,2,8192,265.607
16,16,2,16384,521.086
16,16,4,16,15.0817
16,16,4,32,15.221
16,16,4,64,15.4333
16,16,4,128,21.556
16,16,4,256,29.4497
16,16,4,512,42.013
16,16,4,1024,57.982
16,16,4,2048,89.382
16,16,4,4096,152.399
16,16,4,8192,276.747
16,16,4,16384,528.45
16,16,8,16,20.3947
16,16,8,32,20.638
16,16,8,64,21.0547
16,16,8,128,30.794
16,16,8,256,42.5573
16,16,8,512,58.4287
16,16,8,1024,89.525
16,16,8,2048,152.511
16,16,8,4096,278.656
16,16,8,8192,532.298
16,16,8,16384,1044.67
16,16,16,16,31.0403
16,16,16,32,31.4023
16,16,16,64,32.0843
16,16,16,128,48.8403
16,16,16,256,66.8143
16,16,16,512,98.0063
16,16,16,1024,160.434
16,16,16,2048,286.965
16,16,16,4096,538.021
16,16,16,8192,1052.12
16,16,16,16384,2072.77
16,16,32,16,52.063
16,16,32,32,52.7453
16,16,32,64,53.9507
16,16,32,128,82.997
16,16,32,256,116.333
16,16,32,512,178.021
16,16,32,1024,304.556
16,16,32,2048,555.42
16,16,32,4096,1058.09
16,16,32,8192,2091.67
16,16,32,16384,4126.02
16,16,64,16,93.5327
16,16,64,32,94.5793
16,16,64,64,96.2003
16,16,64,128,158.29
16,16,64,256,230.16
16,16,64,512,365.432
16,16,64,1024,633.11
16,16,64,2048,1172.24
16,16,64,4096,2353.25
16,16,64,8192,4721.37
16,16,64,16384,12573.3
16,16,128,16,174.217
16,16,128,32,175.625
16,16,128,64,180.095
16,16,128,128,307.261
16,16,128,256,469.231
16,16,128,512,771.588
16,16,128,1024,1425.67
16,16,128,2048,4518.02
16,16,128,4096,9041.74
16,16,128,8192,18005.9
16,16,128,16384,36045.7
16,32,0,0,9.74933
16,32,1,16,9.80233
16,32,1,32,9.87667
16,32,1,64,9.92
16,32,1,128,12.8417
16,32,1,256,16.6927
16,32,1,512,24.5
16,32,1,1024,40.3283
16,32,1,2048,72.53
