layer,tokens,time_us
act_fn,1,2.592
act_fn,2,3.18967
act_fn,3,3.221
act_fn,4,3.179
act_fn,5,3.264
act_fn,6,3.27433
act_fn,7,3.22167
act_fn,8,3.274
act_fn,9,3.253
act_fn,10,3.264
act_fn,11,3.285
act_fn,12,3.253
act_fn,13,3.27467
act_fn,14,3.306
act_fn,15,3.28567
act_fn,16,3.285
act_fn,20,3.018
act_fn,24,3.00767
act_fn,28,3.00767
act_fn,32,3.00767
act_fn,36,3.05033
act_fn,40,3.09333
act_fn,44,3.07167
act_fn,48,3.09367
act_fn,52,3.09367
act_fn,56,3.11433
act_fn,60,3.146
act_fn,64,3.18867
act_fn,80,4.725
act_fn,96,5.26933
act_fn,112,3.904
act_fn,128,4.181
act_fn,144,6.549
act_fn,160,6.86933
act_fn,176,7.06133
act_fn,192,9.749
act_fn,208,10.2393
act_fn,224,10.9003
act_fn,240,11.6577
act_fn,256,12.3937
act_fn,272,18.5057
act_fn,288,19.2623
act_fn,304,19.7857
act_fn,320,20.4573
act_fn,336,16.7667
act_fn,352,17.6737
act_fn,368,18.4833
act_fn,384,19.4017
act_fn,400,22.228
act_fn,416,22.804
act_fn,432,23.5503
act_fn,448,24.34
act_fn,464,24.4893
act_fn,480,25.4487
act_fn,496,26.4947
act_fn,512,27.54
act_fn,528,33.278
act_fn,544,33.438
act_fn,560,33.779
act_fn,576,34.2487
act_fn,592,37.7683
act_fn,608,38.3983
act_fn,624,39.071
act_fn,640,39.688
act_fn,656,43.603
act_fn,672,44.7223
act_fn,688,45.779
act_fn,704,46.7063
act_fn,720,46.2263
act_fn,736,47.1973
act_fn,752,48.2527
act_fn,768,49.2453
act_fn,784,52.6583
act_fn,800,54.301
act_fn,816,55.4637
act_fn,832,56.6367
act_fn,848,55.7207
act_fn,864,57.2017
act_fn,880,58.429
act_fn,896,59.517
act_fn,912,63.9857
act_fn,928,66.3113
act_fn,944,68.028
act_fn,960,69.5863
act_fn,976,70.6523
act_fn,992,72.0923
act_fn,1008,73.6493
act_fn,1024,75.388
act_fn,1040,69.885
act_fn,1056,72.2087
act_fn,1072,74.2577
act_fn,1088,76.7747
act_fn,1104,78.0437
act_fn,1120,79.9103
act_fn,1136,81.7553
act_fn,1152,83.4627
act_fn,1168,85.5957
act_fn,1184,87.3987
act_fn,1200,89.403
act_fn,1216,91.515
act_fn,1232,91.324
act_fn,1248,92.966
act_fn,1264,94.7797
act_fn,1280,96.454
act_fn,1296,94.9393
act_fn,1312,97.468
act_fn,1328,99.9627
act_fn,1344,102.097
act_fn,1360,103.824
act_fn,1376,105.542
act_fn,1392,107.494
act_fn,1408,108.645
act_fn,1424,109.382
act_fn,1440,111.537
act_fn,1456,113.093
act_fn,1472,114.704
act_fn,1488,116.624
act_fn,1504,117.958
act_fn,1520,119.322
act_fn,1536,121.403
act_fn,1552,112.998
act_fn,1568,115.441
act_fn,1584,118.033
act_fn,1600,119.781
act_fn,1616,121.499
act_fn,1632,123.503
act_fn,1648,125.019
act_fn,1664,127.046
act_fn,1680,128.73
act_fn,1696,130.949
act_fn,1712,132.642
act_fn,1728,134.64
act_fn,1744,134.501
act_fn,1760,136.528
act_fn,1776,137.924
act_fn,1792,139.695
