layer,sequences,time_us
lm_head,1,1096.93
lm_head,2,1102.86
lm_head,3,1104.86
lm_head,4,1106.89
lm_head,5,1108.38
lm_head,6,1111.64
lm_head,7,1112.45
lm_head,8,1114.31
lm_head,9,1116.03
lm_head,10,1117.91
lm_head,11,1118.46
lm_head,12,1120.91
lm_head,13,1121.63
lm_head,14,1123.16
lm_head,15,1124.79
lm_head,16,1125.59
lm_head,20,1179.45
lm_head,24,1183.85
lm_head,28,1188.01
lm_head,32,1190.84
lm_head,36,1194.8
lm_head,40,1196.74
lm_head,44,1201.27
lm_head,48,1218.74
lm_head,52,1221.16
lm_head,56,1204.14
lm_head,60,1205.66
lm_head,64,1211.84
lm_head,80,1206.82
lm_head,96,1254.74
lm_head,112,1267.9
lm_head,128,1273.49
lm_head,144,1315.73
lm_head,160,1322.07
lm_head,176,1328.33
lm_head,192,1345.92
lm_head,208,1657.69
lm_head,224,1659.5
lm_head,240,1663.6
lm_head,256,1671.15
sampler,1,25.001
sampler,2,26.932
sampler,3,26.8787
sampler,4,27.071
sampler,5,27.4653
sampler,6,27.935
sampler,7,29.0977
sampler,8,29.257
sampler,9,29.4707
sampler,10,29.417
sampler,11,30.026
sampler,12,30.121
sampler,13,30.8257
sampler,14,31.327
sampler,15,31.6357
sampler,16,31.519
sampler,20,32.9803
sampler,24,33.8333
sampler,28,35.4657
sampler,32,36.8307
sampler,36,37.8557
sampler,40,39.455
sampler,44,40.5967
sampler,48,41.8013
sampler,52,43.114
sampler,56,43.7323
sampler,60,44.9373
sampler,64,46.8363
sampler,80,57.9293
sampler,96,68.9913
sampler,112,92.8203
sampler,128,109.3
sampler,144,131.263
sampler,160,151.188
sampler,176,174.911
sampler,192,198.551
sampler,208,230.196
sampler,224,254.272
sampler,240,280.308
sampler,256,310.944
