regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,52.128,56.254,53.343,0.2945
pure,2,1,0.5,4.0,0,0,256,1024,640,59.68,75.264,60.895,0.078
pure,2,1,0.5,4.0,0,0,512,2048,1280,81.856,110.142,78.175,-0.1301
pure,2,1,0.5,4.0,0,0,1024,4096,2560,121.215,162.526,115.679,-0.134
pure,2,1,0.5,4.0,0,0,2048,8192,5120,189.143,269.023,197.365,0.1029
pure,2,1,0.5,4.0,0,0,4096,16384,10240,326.757,491.299,339.058,0.0748
mixed,2,1,0.5,4.0,16,0,128,512,320,52.287,74.973,74.206,0.9662
mixed,2,1,0.5,4.0,16,0,256,1024,640,87.329,123.386,122.642,0.9794
mixed,2,1,0.5,4.0,16,0,512,2048,1280,147.573,221.466,220.843,0.9916
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,271.427,418.712,417.098,0.989
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,516.792,809.708,807.154,0.9913
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,1003.684,1589.186,1585.847,0.9943
mixed,2,1,0.5,4.0,16,512,128,512,320,74.944,76.127,74.841,-0.0871
mixed,2,1,0.5,4.0,16,512,256,1024,640,87.805,124.188,123.542,0.9822
mixed,2,1,0.5,4.0,16,512,512,2048,1280,148.185,222.162,221.62,0.9927
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,270.766,419.148,417.508,0.9889
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,517.656,808.984,808.415,0.998
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,1003.158,1588.942,1585.85,0.9947
mixed,2,1,0.5,4.0,16,1024,128,512,320,122.447,124.159,122.966,0.3032
mixed,2,1,0.5,4.0,16,1024,256,1024,640,123.898,125.47,123.515,-0.2436
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,148.379,223.915,221.737,0.9712
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,273.161,419.792,419.152,0.9956
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,516.782,811.138,808.32,0.9904
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,1005.094,1588.544,1587.343,0.9979
mixed,2,1,0.5,4.0,16,2048,128,512,320,219.625,221.029,219.944,0.2272
mixed,2,1,0.5,4.0,16,2048,256,1024,640,221.19,221.473,221.216,0.0919
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,222.537,224.802,222.142,-0.1744
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,272.251,420.608,419.342,0.9915
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,517.773,811.224,809.889,0.9955
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,1004.872,1589.179,1586.448,0.9953
mixed,2,1,0.5,4.0,16,4096,128,512,320,413.455,415.504,414.032,0.2816
mixed,2,1,0.5,4.0,16,4096,256,1024,640,415.116,415.694,415.148,0.0554
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,416.436,416.173,414.411,
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,416.557,420.333,419.465,0.7701
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,517.869,811.422,808.376,0.9896
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,1004.887,1589.973,1586.925,0.9948
mixed,2,1,0.5,4.0,16,8192,128,512,320,803.8,804.393,804.335,0.9022
mixed,2,1,0.5,4.0,16,8192,256,1024,640,805.076,805.416,804.504,-1.6824
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,806.142,805.62,804.411,
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,805.268,804.338,804.724,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,805.309,810.871,808.691,0.6081
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,1005.045,1589.063,1587.486,0.9973
mixed,2,1,0.5,4.0,32,0,128,512,320,52.033,75.33,74.178,0.9506
mixed,2,1,0.5,4.0,32,0,256,1024,640,87.587,123.298,122.594,0.9803
mixed,2,1,0.5,4.0,32,0,512,2048,1280,147.908,221.8,220.647,0.9844
