layer,n_label,pc_label,lev_label,alpha,n_samples
attention,n=128,pc0,lev3,0.0298,36
attention,n=128,pcL,lev0,0.0234,104
attention,n=128,pcL,lev1,0.0173,87
attention,n=128,pcL,lev2,0.0054,48
attention,n=128,pcL,lev3,0.0073,108
attention,n=128,pcM,lev0,0.0082,140
attention,n=128,pcM,lev1,0.0136,147
attention,n=128,pcM,lev2,0.0069,131
attention,n=128,pcM,lev3,0.0078,212
attention,n=128,pcM,lev4,0.0089,90
attention,n=128,pcS,lev0,-0.0011,306
attention,n=128,pcS,lev1,-0.0007,245
attention,n=128,pcS,lev2,0.004,367
attention,n=128,pcS,lev3,0.0077,563
attention,n=128,pcS,lev4,0.007,319
attention,n=16,pcL,lev0,0.1034,171
attention,n=16,pcL,lev1,0.1303,51
attention,n=16,pcL,lev2,0.1317,20
attention,n=16,pcM,lev0,0.1647,247
attention,n=16,pcM,lev1,0.1231,134
attention,n=16,pcM,lev2,0.1823,96
attention,n=16,pcM,lev3,0.1995,27
attention,n=16,pcS,lev0,0.2048,434
attention,n=16,pcS,lev1,0.0865,352
attention,n=16,pcS,lev2,0.1751,330
attention,n=16,pcS,lev3,0.2072,144
attention,n=2,pcL,lev0,0.3022,34
attention,n=2,pcM,lev0,0.4233,47
attention,n=2,pcM,lev1,0.7734,25
attention,n=2,pcS,lev0,0.2529,68
attention,n=2,pcS,lev1,0.9928,104
attention,n=256,pc0,lev3,0.0058,36
attention,n=32,pcL,lev0,0.0788,152
attention,n=32,pcL,lev1,0.0352,66
attention,n=32,pcL,lev2,0.0391,31
attention,n=32,pcL,lev3,0.0468,33
attention,n=32,pcM,lev0,0.2003,211
attention,n=32,pcM,lev1,0.0589,164
attention,n=32,pcM,lev2,0.0844,92
attention,n=32,pcM,lev3,0.0944,99
attention,n=32,pcS,lev0,0.369,377
attention,n=32,pcS,lev1,0.0772,340
attention,n=32,pcS,lev2,0.0744,339
attention,n=32,pcS,lev3,0.1161,381
attention,n=4,pcL,lev0,0.2293,94
attention,n=4,pcM,lev0,0.3074,151
attention,n=4,pcM,lev1,0.5067,54
attention,n=4,pcS,lev0,-0.088,310
attention,n=4,pcS,lev1,0.442,156
attention,n=4,pcS,lev2,0.4556,79
attention,n=64,pc0,lev3,0.0761,28
attention,n=64,pcL,lev0,0.0843,127
attention,n=64,pcL,lev1,0.0269,85
attention,n=64,pcL,lev2,0.0111,38
attention,n=64,pcL,lev3,0.0204,62
attention,n=64,pcM,lev0,0.2209,174
attention,n=64,pcM,lev1,0.0401,163
attention,n=64,pcM,lev2,0.0353,121
attention,n=64,pcM,lev3,0.0518,157
attention,n=64,pcM,lev4,0.0192,32
attention,n=64,pcS,lev0,0.5892,324
attention,n=64,pcS,lev1,0.0952,293
attention,n=64,pcS,lev2,0.0363,355
attention,n=64,pcS,lev3,0.0615,551
attention,n=64,pcS,lev4,0.0671,96
attention,n=8,pcL,lev0,0.1455,173
attention,n=8,pcL,lev1,0.3167,38
attention,n=8,pcM,lev0,0.1894,281
attention,n=8,pcM,lev1,0.3151,104
attention,n=8,pcM,lev2,0.3297,47
attention,n=8,pcS,lev0,0.1179,519
attention,n=8,pcS,lev1,0.178,316
attention,n=8,pcS,lev2,0.3214,224
attention,n=8,pcS,lev3,0.5206,25
