layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,0,0,1,16,1,20.8207
attention,0,0,1,32,1,20.981
attention,0,0,1,64,1,24
attention,0,0,1,128,1,34.453
attention,0,0,1,256,1,35.669
attention,0,0,1,512,1,37.045
attention,0,0,1,1024,1,40.0323
attention,0,0,1,2048,1,47.028
attention,0,0,1,4096,1,62.753
attention,0,0,1,8192,1,95.1797
attention,0,0,1,16384,1,128.395
attention,0,0,2,16,1,35.3597
attention,0,0,2,32,1,35.392
attention,0,0,2,64,1,38.4757
attention,0,0,2,128,1,46.5163
attention,0,0,2,256,1,47.732
attention,0,0,2,512,1,49.5273
attention,0,0,2,1024,1,55.0723
attention,0,0,2,2048,1,67.2417
attention,0,0,2,4096,1,92.832
attention,0,0,2,8192,1,125.867
attention,0,0,2,16384,1,198.519
attention,0,0,4,16,1,36.8017
attention,0,0,4,32,1,36.5013
attention,0,0,4,64,1,39.9367
attention,0,0,4,128,1,46.9443
attention,0,0,4,256,1,48.939
attention,0,0,4,512,1,52.585
attention,0,0,4,1024,1,62.9453
attention,0,0,4,2048,1,85.1627
attention,0,0,4,4096,1,120.288
attention,0,0,4,8192,1,188.983
attention,0,0,4,16384,1,321.174
attention,0,0,8,16,1,36.9717
attention,0,0,8,32,1,37.3317
attention,0,0,8,64,1,40.587
attention,0,0,8,128,1,47.7443
attention,0,0,8,256,1,51.9147
attention,0,0,8,512,1,61.868
attention,0,0,8,1024,1,83.989
attention,0,0,8,2048,1,120.479
attention,0,0,8,4096,1,186.101
attention,0,0,8,8192,1,320.501
attention,0,0,8,16384,1,582.913
attention,0,0,16,16,1,37.8567
attention,0,0,16,32,1,38.7317
attention,0,0,16,64,1,43.5193
attention,0,0,16,128,1,52.565
attention,0,0,16,256,1,64.9927
attention,0,0,16,512,1,85.6537
attention,0,0,16,1024,1,121.259
attention,0,0,16,2048,1,188.886
attention,0,0,16,4096,1,321.408
attention,0,0,16,8192,1,586.881
attention,0,0,16,16384,1,1121.73
attention,0,0,32,16,1,38.4843
attention,0,0,32,32,1,40.1177
attention,0,0,32,64,1,46.038
attention,0,0,32,128,1,66.39
attention,0,0,32,256,1,86.144
attention,0,0,32,512,1,125.269
attention,0,0,32,1024,1,195.786
attention,0,0,32,2048,1,335.264
attention,0,0,32,4096,1,618.582
attention,0,0,32,8192,1,1141.19
attention,0,0,32,16384,1,2193.66
attention,0,0,64,16,1,44.2877
attention,0,0,64,32,1,49.6633
attention,0,0,64,64,1,61.898
attention,0,0,64,128,1,83.532
attention,0,0,64,256,1,122.892
attention,0,0,64,512,1,212.354
attention,0,0,64,1024,1,352.875
attention,0,0,64,2048,1,639.298
attention,0,0,64,4096,1,1187.02
attention,0,0,64,8192,1,2244.04
attention,0,0,64,16384,1,4346.87
attention,0,0,128,16,1,59.957
attention,0,0,128,32,1,65.7273
attention,0,0,128,64,1,83.0613
attention,0,0,128,128,1,118.613
attention,0,0,128,256,1,190.155
attention,0,0,128,512,1,330.26
attention,0,0,128,1024,1,611.095
attention,0,0,128,2048,1,1142.59
attention,0,0,128,4096,1,2187.35
attention,0,0,128,8192,1,4283.63
attention,0,0,128,16384,1,8475.28
attention,0,0,256,16,1,85.5473
attention,0,0,256,32,1,91.5527
attention,0,0,256,64,1,127.084
attention,0,0,256,128,1,196.81
attention,0,0,256,256,1,345.44
attention,0,0,256,512,1,634.871
attention,0,0,256,1024,1,1170.77
attention,0,0,256,2048,1,2218.8
attention,0,0,256,4096,1,4304.62
attention,0,0,256,8192,1,8488.87
attention,0,0,256,16384,1,16850.9
attention,16,0,0,0,1,25.8873
attention,16,0,1,16,1,25.4823
attention,16,0,1,32,1,25.3553
attention,16,0,1,64,1,25.4187
attention,16,0,1,128,1,30.731
attention,16,0,1,256,1,38.4963
attention,16,0,1,512,1,52.4793
attention,16,0,1,1024,1,82.7623
attention,16,0,1,2048,1,142.09
attention,16,0,1,4096,1,261.184
attention,16,0,1,8192,1,498.986
attention,16,0,1,16384,1,974.925
attention,16,0,2,16,1,36.5027
attention,16,0,2,32,1,36.704
attention,16,0,2,64,1,36.9493
attention,16,0,2,128,1,46.015
attention,16,0,2,256,1,54.3683
attention,16,0,2,512,1,69.0567
attention,16,0,2,1024,1,99.744
attention,16,0,2,2048,1,160.192
attention,16,0,2,4096,1,277.451
attention,16,0,2,8192,1,514.411
attention,16,0,2,16384,1,988.395
attention,16,0,4,16,1,37.579
attention,16,0,4,32,1,37.93
attention,16,0,4,64,1,38.5067
attention,16,0,4,128,1,49.973
attention,16,0,4,256,1,65.429
attention,16,0,4,512,1,95.435
attention,16,0,4,1024,1,158.379
attention,16,0,4,2048,1,279.019
attention,16,0,4,4096,1,517.078
attention,16,0,4,8192,1,989.079
attention,16,0,4,16384,1,1937.69
attention,16,0,8,16,1,62.443
attention,16,0,8,32,1,61.131
attention,16,0,8,64,1,61.7387
attention,16,0,8,128,1,81.0883
attention,16,0,8,256,1,104.064
attention,16,0,8,512,1,149.973
attention,16,0,8,1024,1,242.753
attention,16,0,8,2048,1,421.067
attention,16,0,8,4096,1,776.097
attention,16,0,8,8192,1,1482.67
