layer,tokens,time_us
act_fn,1,8.757
act_fn,2,9.803
act_fn,3,9.877
act_fn,4,10.016
act_fn,5,10.005
act_fn,6,10.0373
act_fn,7,10.049
act_fn,8,10.111
act_fn,9,10.09
act_fn,10,10.08
act_fn,11,10.1013
act_fn,12,10.1443
act_fn,13,10.155
act_fn,14,10.122
act_fn,15,10.197
act_fn,16,10.176
act_fn,20,10.1653
act_fn,24,10.165
act_fn,28,10.357
act_fn,32,10.3677
act_fn,36,10.3577
act_fn,40,10.4317
act_fn,44,10.3467
act_fn,48,10.3047
act_fn,52,10.4217
act_fn,56,10.3473
act_fn,60,10.3573
act_fn,64,10.624
act_fn,80,10.6883
act_fn,96,10.4537
act_fn,112,10.666
act_fn,128,11.0193
act_fn,144,11.1357
act_fn,160,11.488
act_fn,176,11.7013
act_fn,192,16.7037
act_fn,208,17.152
act_fn,224,17.0457
act_fn,240,17.0453
act_fn,256,17.386
act_fn,272,17.099
act_fn,288,16.8857
act_fn,304,16.832
act_fn,320,16.6187
act_fn,336,16.853
act_fn,352,17.0987
act_fn,368,16.9387
act_fn,384,22.336
act_fn,400,22.389
act_fn,416,22.88
act_fn,432,23.0937
act_fn,448,23.328
act_fn,464,23.5083
act_fn,480,23.616
act_fn,496,23.5307
act_fn,512,23.808
act_fn,528,23.937
act_fn,544,24.0957
act_fn,560,24.054
act_fn,576,27.136
act_fn,592,26.8377
act_fn,608,27.2537
act_fn,624,27.606
act_fn,640,27.872
act_fn,656,28.8
act_fn,672,29.2053
act_fn,688,29.5253
act_fn,704,29.7703
act_fn,720,29.5577
act_fn,736,30.3683
act_fn,752,30.5283
act_fn,768,32.8957
act_fn,784,34.614
act_fn,800,34.0903
act_fn,816,34.6987
act_fn,832,35.264
act_fn,848,36.3733
act_fn,864,37.504
act_fn,880,38.7733
act_fn,896,40.4797
act_fn,912,42.5067
act_fn,928,43.307
act_fn,944,44.1927
act_fn,960,44.0643
act_fn,976,44.9813
act_fn,992,45.76
act_fn,1008,45.9737
act_fn,1024,45.7277
act_fn,1040,85.963
act_fn,1056,88.608
act_fn,1072,90.2297
act_fn,1088,91.8507
act_fn,1104,93.1843
act_fn,1120,94.9867
act_fn,1136,95.2423
act_fn,1152,96.7573
act_fn,1168,52.8427
act_fn,1184,54.1757
act_fn,1200,55.9047
act_fn,1216,56.896
act_fn,1232,58.0273
act_fn,1248,59.9043
act_fn,1264,60.3413
act_fn,1280,59.905
act_fn,1296,128.032
act_fn,1312,129.846
act_fn,1328,132.021
act_fn,1344,134.763
act_fn,1360,136.662
act_fn,1376,139.424
act_fn,1392,141.152
act_fn,1408,143.722
act_fn,1424,77.931
act_fn,1440,79.1143
act_fn,1456,83.083
act_fn,1472,84.16
act_fn,1488,87.0933
act_fn,1504,88.1173
act_fn,1520,90.9113
act_fn,1536,91.1253
act_fn,1552,172.821
act_fn,1568,175.158
act_fn,1584,177.525
act_fn,1600,178.891
act_fn,1616,183.158
act_fn,1632,185.057
act_fn,1648,186.699
act_fn,1664,188.064
act_fn,1680,182.123
act_fn,1696,184.289
act_fn,1712,186.496
act_fn,1728,187.979
act_fn,1744,190.539
act_fn,1760,193.024
act_fn,1776,195.019
act_fn,1792,197.473
act_fn,1808,212.576
act_fn,1824,216.245
act_fn,1840,218.229
act_fn,1856,220.171
act_fn,1872,221.099
act_fn,1888,224.001
act_fn,1904,227.552
act_fn,1920,228.481
act_fn,1936,219.808
act_fn,1952,222.272
act_fn,1968,223.925
act_fn,1984,225.728
act_fn,2000,228.138
act_fn,2016,233.835
act_fn,2032,235.221
act_fn,2048,237.333
down_proj,1,313.12
down_proj,2,322.913
down_proj,3,323.798
down_proj,4,324.907
down_proj,5,325.558
down_proj,6,326.688
down_proj,7,327.339
down_proj,8,327.339
down_proj,9,328.917
down_proj,10,328.908
down_proj,11,329.974
down_proj,12,330.305
down_proj,13,331.659
down_proj,14,332.565
down_proj,15,331.414
down_proj,16,333.525
down_proj,20,331.573
down_proj,24,333.174
down_proj,28,333.61
down_proj,32,335.093
down_proj,36,326.977
down_proj,40,326.358
down_proj,44,327.724
down_proj,48,328.372
down_proj,52,331.297
down_proj,56,333.132
down_proj,60,333.973
down_proj,64,335.862
down_proj,80,339.008
down_proj,96,339.649
down_proj,112,345.131
down_proj,128,347.157
down_proj,144,418.828
down_proj,160,421.366
down_proj,176,423.712
down_proj,192,425.131
down_proj,208,428.097
down_proj,224,429.889
down_proj,240,432.416
down_proj,256,428.247
down_proj,272,496.182
down_proj,288,496.022
