ep,tokens,activated_experts,time_us
1,1,4,139.54
1,2,4,138.529
1,2,8,209.246
1,4,4,128.083
1,4,8,211.801
1,4,16,372.397
1,8,4,139.102
1,8,8,209.791
1,8,16,362.626
1,8,32,663.272
1,16,4,138.409
1,16,8,212.524
1,16,16,364.175
1,16,32,668.834
1,16,64,1273.05
1,32,4,130.844
1,32,8,215.511
1,32,16,367.981
1,32,32,672.991
1,32,64,1280.22
1,32,128,2494.01
1,64,4,148.059
1,64,8,220.876
1,64,16,372.941
1,64,32,673.113
1,64,64,1281.28
1,64,128,2496.4
1,128,4,148.358
1,128,8,233.487
1,128,16,393.754
1,128,32,689.684
1,128,64,1311.75
1,128,128,2615.26
1,256,4,239.074
1,256,8,254.412
1,256,16,441.803
1,256,32,711.343
1,256,64,1350.37
1,256,128,2569.56
1,512,4,407.285
1,512,8,413.605
1,512,16,457.875
1,512,32,837.464
1,512,64,1323.25
1,512,128,2525.04
1,1024,4,541.854
1,1024,8,548.979
1,1024,16,576.091
1,1024,32,934.251
1,1024,64,1421.22
1,1024,128,2637.27
1,2048,4,1181.54
1,2048,8,1183.72
1,2048,16,1192.92
1,2048,32,1234.78
1,2048,64,1795.33
1,2048,128,2816.49
2,1,2,66.2084
2,2,2,73.7288
2,2,4,124.582
2,4,2,68.6778
2,4,4,125.185
2,4,8,209.111
2,8,2,70.2109
2,8,4,142.993
2,8,8,211.868
2,8,16,363.175
2,16,2,69.3897
2,16,4,126.662
2,16,8,210.191
2,16,16,378.591
2,16,32,662.441
2,32,2,71.3738
2,32,4,127.566
2,32,8,219.697
2,32,16,387.191
2,32,32,665.927
2,32,64,1289.4
2,64,2,81.8937
2,64,4,129.51
2,64,8,224.289
2,64,16,387.936
2,64,32,667.983
2,64,64,1292.41
2,128,2,88.5363
2,128,4,146.953
2,128,8,230.231
2,128,16,402.6
2,128,32,688.423
2,128,64,1314.5
2,256,2,137.035
2,256,4,161.379
2,256,8,242.548
2,256,16,390.4
2,256,32,701.018
2,256,64,1335.96
2,512,2,238.866
2,512,4,247.687
2,512,8,264.81
2,512,16,433.014
2,512,32,696.809
2,512,64,1296.24
2,1024,2,335.887
2,1024,4,345.37
2,1024,8,355.421
2,1024,16,514.344
2,1024,32,774.162
2,1024,64,1380.8
2,2048,2,698.529
