layer,sequences,time_us
mtp_eh_proj,1,103.723
mtp_eh_proj,2,109.686
mtp_eh_proj,3,110.006
mtp_eh_proj,4,110.902
mtp_eh_proj,5,111.595
mtp_eh_proj,6,112.449
mtp_eh_proj,7,113.814
mtp_eh_proj,8,113.963
mtp_eh_proj,9,115.425
mtp_eh_proj,10,116.043
mtp_eh_proj,11,116.161
mtp_eh_proj,12,117.451
mtp_eh_proj,13,117.537
mtp_eh_proj,14,118.145
mtp_eh_proj,15,118.507
mtp_eh_proj,16,118.7
mtp_eh_proj,20,120.47
mtp_eh_proj,24,122.059
mtp_eh_proj,28,123.275
mtp_eh_proj,32,124.224
mtp_eh_proj,36,127.062
mtp_eh_proj,40,128.065
mtp_eh_proj,44,128.897
mtp_eh_proj,48,130.668
mtp_eh_proj,52,132.289
mtp_eh_proj,56,132.588
mtp_eh_proj,60,134.658
mtp_eh_proj,64,133.857
mtp_eh_proj,80,134.496
mtp_eh_proj,96,137.036
mtp_eh_proj,112,141.281
mtp_eh_proj,128,144.108
mtp_eh_proj,144,167.287
mtp_eh_proj,160,165.868
mtp_eh_proj,176,164.694
mtp_eh_proj,192,163.094
mtp_eh_proj,208,159.734
mtp_eh_proj,224,156.524
mtp_eh_proj,240,153.088
mtp_eh_proj,256,137.1
mtp_embed,1,3.08233
mtp_embed,2,3.22133
mtp_embed,3,3.477
mtp_embed,4,3.65867
mtp_embed,5,4.10667
mtp_embed,6,4.23467
mtp_embed,7,4.43767
mtp_embed,8,4.44833
mtp_embed,9,4.97067
mtp_embed,10,5.205
mtp_embed,11,5.39767
mtp_embed,12,5.65333
mtp_embed,13,6.04833
mtp_embed,14,6.41067
mtp_embed,15,6.47467
mtp_embed,16,6.48533
mtp_embed,20,2.82667
mtp_embed,24,2.73067
mtp_embed,28,2.97633
mtp_embed,32,2.65633
mtp_embed,36,2.88
mtp_embed,40,2.699
mtp_embed,44,2.90167
mtp_embed,48,2.73067
mtp_embed,52,2.98667
mtp_embed,56,2.87967
mtp_embed,60,3.02967
mtp_embed,64,2.88
mtp_embed,80,3.01867
mtp_embed,96,3.18933
mtp_embed,112,3.33867
mtp_embed,128,3.43467
mtp_embed,144,3.86167
mtp_embed,160,3.947
mtp_embed,176,4.16
mtp_embed,192,4.26667
mtp_embed,208,4.203
mtp_embed,224,4.27733
mtp_embed,240,4.38367
mtp_embed,256,4.37333
mtp_glue,1,9.536
mtp_glue,2,11.2217
mtp_glue,3,11.3917
mtp_glue,4,10.0587
mtp_glue,5,10.1227
mtp_glue,6,10.485
mtp_glue,7,10.4417
mtp_glue,8,9.89967
mtp_glue,9,10.421
mtp_glue,10,10.4537
mtp_glue,11,10.208
mtp_glue,12,9.91967
mtp_glue,13,10.133
mtp_glue,14,10.3457
mtp_glue,15,10.187
mtp_glue,16,10.1447
mtp_glue,20,9.88833
mtp_glue,24,9.77067
mtp_glue,28,9.82467
mtp_glue,32,9.888
mtp_glue,36,10.7097
mtp_glue,40,10.7093
mtp_glue,44,10.603
mtp_glue,48,10.9873
mtp_glue,52,11.0183
mtp_glue,56,11.532
mtp_glue,60,11.3173
mtp_glue,64,11.115
mtp_glue,80,12.693
mtp_glue,96,12.917
mtp_glue,112,12.7897
mtp_glue,128,13.098
mtp_glue,144,14.3897
mtp_glue,160,14.9013
mtp_glue,176,15.7447
mtp_glue,192,17.6107
mtp_glue,208,18.9857
mtp_glue,224,19.5633
mtp_glue,240,20.9817
mtp_glue,256,21.6217
mtp_norms,1,9.05633
mtp_norms,2,10.784
mtp_norms,3,10.7623
mtp_norms,4,11.8933
mtp_norms,5,11.4767
mtp_norms,6,11.915
mtp_norms,7,11.3377
mtp_norms,8,12.139
mtp_norms,9,11.5307
mtp_norms,10,12.0103
mtp_norms,11,11.5097
mtp_norms,12,12.043
mtp_norms,13,11.9353
mtp_norms,14,12.2137
mtp_norms,15,11.872
mtp_norms,16,12.384
mtp_norms,20,12.704
mtp_norms,24,12.5867
mtp_norms,28,12.7893
mtp_norms,32,12.9063
mtp_norms,36,12.8963
mtp_norms,40,13.0023
mtp_norms,44,13.109
mtp_norms,48,13.0667
mtp_norms,52,13.0453
mtp_norms,56,13.163
mtp_norms,60,13.3223
mtp_norms,64,13.2373
mtp_norms,80,13.5257
mtp_norms,96,15.3387
mtp_norms,112,14.0587
mtp_norms,128,15.4667
mtp_norms,144,14.6687
mtp_norms,160,14.689
mtp_norms,176,15.2853
mtp_norms,192,15.2107
mtp_norms,208,15.2427
mtp_norms,224,15.861
mtp_norms,240,15.958
mtp_norms,256,16.2143
