layer,sequences,time_us
lm_head,1,1644.02
lm_head,2,1623.3
lm_head,3,1624.63
lm_head,4,1628.08
lm_head,5,1630.86
lm_head,6,1632.17
lm_head,7,1633.03
lm_head,8,1634.71
lm_head,9,1637.6
lm_head,10,1636.92
lm_head,11,1638.43
lm_head,12,1639.45
lm_head,13,1641.5
lm_head,14,1643.08
lm_head,15,1644.04
lm_head,16,1645.7
lm_head,20,1658.62
lm_head,24,1665.4
lm_head,28,1665.76
lm_head,32,1669.26
lm_head,36,1700.14
lm_head,40,1695.83
lm_head,44,1690.97
lm_head,48,1694.83
lm_head,52,1696.12
lm_head,56,1698.83
lm_head,60,1702.37
lm_head,64,1698.95
lm_head,80,1737.65
lm_head,96,1743.37
lm_head,112,1754.36
lm_head,128,1759.02
lm_head,144,1947.7
lm_head,160,1950.82
lm_head,176,1929.19
lm_head,192,1935.33
lm_head,208,1922.39
lm_head,224,1938.98
lm_head,240,1938.65
lm_head,256,2007.43
sampler,1,10.7097
sampler,2,10.9323
sampler,3,10.9547
sampler,4,11.0183
sampler,5,11.3917
sampler,6,13.0347
sampler,7,13.6753
sampler,8,14.2823
sampler,9,14.5173
sampler,10,14.7843
sampler,11,15.1577
sampler,12,15.8727
sampler,13,16.5863
sampler,14,16.9387
sampler,15,17.3227
sampler,16,17.6853
sampler,20,20.1173
sampler,24,24.1063
sampler,28,26.4323
sampler,32,28.63
sampler,36,30.2087
sampler,40,33.5143
sampler,44,34.945
sampler,48,37.4823
sampler,52,39.488
sampler,56,42.2933
sampler,60,44.8533
sampler,64,47.0943
sampler,80,63.0297
sampler,96,77.7813
sampler,112,95.179
sampler,128,110.016
sampler,144,129.11
sampler,160,153.153
sampler,176,184.3
sampler,192,206.156
sampler,208,236.61
sampler,224,269.122
sampler,240,298.125
sampler,256,339.17
