layer,tokens,time_us
embedding,1,2.81567
embedding,2,3.08267
embedding,3,3.12533
embedding,4,3.41267
embedding,5,3.92533
embedding,6,4.171
embedding,7,4.352
embedding,8,4.42667
embedding,9,4.91733
embedding,10,5.28033
embedding,11,5.408
embedding,12,5.536
embedding,13,5.995
embedding,14,6.23
embedding,15,6.347
embedding,16,6.39933
embedding,20,2.78433
embedding,24,2.60267
embedding,28,2.784
embedding,32,2.54933
embedding,36,2.795
embedding,40,2.58133
embedding,44,2.837
embedding,48,2.65667
embedding,52,2.901
embedding,56,2.656
embedding,60,3.03967
embedding,64,2.784
embedding,80,2.923
embedding,96,2.94433
embedding,112,2.97633
embedding,128,3.06133
embedding,144,3.286
embedding,160,3.33833
embedding,176,3.47733
embedding,192,3.573
embedding,208,3.616
embedding,224,3.65867
embedding,240,3.605
embedding,256,3.66933
embedding,272,3.91467
embedding,288,3.926
embedding,304,3.88233
embedding,320,3.968
embedding,336,3.883
embedding,352,3.93567
embedding,368,3.882
embedding,384,4.04267
embedding,400,4.36333
embedding,416,4.331
embedding,432,4.352
embedding,448,4.341
embedding,464,4.341
embedding,480,4.34133
embedding,496,4.34167
embedding,512,4.32
embedding,528,4.33067
embedding,544,4.32
embedding,560,4.341
embedding,576,4.43767
embedding,592,4.45867
embedding,608,4.45833
embedding,624,4.50133
embedding,640,4.49033
embedding,656,4.46933
embedding,672,4.49067
embedding,688,4.46933
embedding,704,4.48067
embedding,720,4.51233
embedding,736,4.534
embedding,752,4.55467
embedding,768,4.587
embedding,784,4.59733
embedding,800,4.59733
embedding,816,4.576
embedding,832,4.57633
embedding,848,4.576
embedding,864,4.672
embedding,880,4.661
embedding,896,4.70433
embedding,912,4.704
embedding,928,4.77833
embedding,944,4.76767
embedding,960,4.78933
embedding,976,4.779
embedding,992,4.757
embedding,1008,4.78867
embedding,1024,4.843
embedding,1040,4.822
embedding,1056,4.84267
embedding,1072,4.85333
embedding,1088,4.87433
embedding,1104,4.91733
embedding,1120,4.92867
embedding,1136,4.96
embedding,1152,5.024
