ep,tokens,activated_experts,time_us
1,1,8,47.7773
1,2,8,59.1483
1,2,16,130.261
1,4,8,56.2567
1,4,16,137.174
1,4,32,234.54
1,8,8,52.2033
1,8,16,122.902
1,8,32,240.407
1,8,64,434.498
1,16,8,54.603
1,16,16,126.145
1,16,32,243.457
1,16,64,436.546
1,16,128,829.123
1,32,8,61.0247
1,32,16,127.978
1,32,32,246.006
1,32,64,439.298
1,32,128,833.753
1,64,8,72.619
1,64,16,139.723
1,64,32,238.805
1,64,64,436.129
1,64,128,827.737
1,128,8,97.4833
1,128,16,152.683
1,128,32,248.311
1,128,64,447.853
1,128,128,841.518
1,256,8,159.66
1,256,16,175.03
1,256,32,264.364
1,256,64,467.329
1,256,128,863.599
1,512,8,288.556
1,512,16,294.679
1,512,32,328.193
1,512,64,500.888
1,512,128,907.631
1,1024,8,539.064
1,1024,16,544.376
1,1024,32,553.815
1,1024,64,619.758
1,1024,128,970.062
1,2048,8,721.336
1,2048,16,736.216
1,2048,32,752.653
1,2048,64,790.693
1,2048,128,1093.84
2,1,4,36.0743
2,2,4,40.6187
2,2,8,49.6537
2,4,4,42.272
2,4,8,51.0287
2,4,16,132.96
2,8,4,46.1977
2,8,8,55.243
2,8,16,130.06
2,8,32,245.313
2,16,4,43.19
2,16,8,49.6223
2,16,16,123.114
2,16,32,239.073
2,16,64,431.809
2,32,4,46.2933
2,32,8,51.9787
2,32,16,124.545
2,32,32,240.481
2,32,64,434.038
2,64,4,45.0777
2,64,8,50.2393
2,64,16,130.901
2,64,32,230.892
2,64,64,426.103
2,128,4,62.1757
2,128,8,67.2647
2,128,16,137.27
2,128,32,236.587
2,128,64,432.707
2,256,4,89.0453
2,256,8,93.249
2,256,16,149.088
2,256,32,244.748
2,256,64,445.271
2,512,4,157.749
2,512,8,159.787
2,512,16,178.966
2,512,32,266.059
2,512,64,468.568
2,1024,4,261.142
2,1024,8,265.452
2,1024,16,268.673
2,1024,32,329.942
2,1024,64,505.217
2,2048,4,374.23
2,2048,8,376.865
2,2048,16,381.486
2,2048,32,407.468
2,2048,64,563.789
4,1,2,30.1657
4,2,2,35.861
4,2,4,38.7103
4,4,2,36.3523
4,4,4,38.6453
4,4,8,42.7307
4,8,2,38.2507
4,8,4,40.384
4,8,8,42.4747
4,8,16,134.218
4,16,2,43.7757
4,16,4,44.2667
4,16,8,46.764
4,16,16,128.193
4,16,32,242.945
4,32,2,36.9923
4,32,4,36.8757
4,32,8,39.4457
4,32,16,124.672
4,32,32,223.052
4,64,2,41.1423
4,64,4,41.2483
4,64,8,43.339
4,64,16,127.083
4,64,32,227.777
4,128,2,42.592
4,128,4,42.8907
4,128,8,49.1523
4,128,16,131.691
4,128,32,231.841
4,256,2,60.9383
4,256,4,61.217
4,256,8,63.5727
4,256,16,136.576
4,256,32,237.323
4,512,2,93.75
4,512,4,93.9433
4,512,8,98.6027
4,512,16,156.897
4,512,32,265.805
4,1024,2,144.801
4,1024,4,145.035
4,1024,8,154.74
4,1024,16,197.771
4,1024,32,283.649
4,2048,2,193.483
4,2048,4,194.241
4,2048,8,195.169
4,2048,16,215.724
4,2048,32,303.053
8,1,1,27.809
8,2,1,33.8133
8,2,2,36.16
8,4,1,34.0583
8,4,2,35.5743
8,4,4,38.315
8,8,1,34.625
8,8,2,36.013
8,8,4,38.1647
8,8,8,39.765
8,16,1,37.91
8,16,2,38.4113
8,16,4,40.128
8,16,8,41.2157
8,16,16,131.394
8,32,1,34.4643
8,32,2,34.1437
8,32,4,35.1787
8,32,8,37.483
8,32,16,122.433
8,64,1,41.2803
8,64,2,42.0483
8,64,4,39.9373
8,64,8,42.2717
8,64,16,115.446
8,128,1,42.8267
8,128,2,43.2973
8,128,4,43.796
8,128,8,46.305
8,128,16,119.649
8,256,1,44.7997
8,256,2,45.0567
8,256,4,45.6537
8,256,8,51.339
8,256,16,125.654
8,512,1,54.603
8,512,2,54.2073
8,512,4,54.8807
8,512,8,58.3357
8,512,16,145.675
8,1024,1,85.078
8,1024,2,85.5473
8,1024,4,85.974
8,1024,8,102.08
8,1024,16,165.622
8,2048,1,126.421
8,2048,2,128.012
8,2048,4,129.483
8,2048,8,133.771
8,2048,16,179.264
