layer,n_label,pc_label,lev_label,alpha,n_samples
attention,n=128,pc0,lev3,0.1148,37
attention,n=128,pcL,lev0,0.0981,117
attention,n=128,pcL,lev1,0.0167,105
attention,n=128,pcL,lev2,0.0151,46
attention,n=128,pcL,lev3,0.0097,62
attention,n=128,pcL,lev4,0.0097,56
attention,n=128,pcM,lev0,0.1646,144
attention,n=128,pcM,lev1,0.0217,179
attention,n=128,pcM,lev2,0.0161,146
attention,n=128,pcM,lev3,0.0284,103
attention,n=128,pcM,lev4,0.0128,174
attention,n=128,pcS,lev0,0.241,284
attention,n=128,pcS,lev1,0.0401,304
attention,n=128,pcS,lev2,0.0202,425
attention,n=128,pcS,lev3,0.0292,376
attention,n=128,pcS,lev4,0.0144,489
attention,n=16,pcL,lev0,0.089,175
attention,n=16,pcL,lev1,0.2113,52
attention,n=16,pcL,lev2,0.2519,24
attention,n=16,pcM,lev0,0.146,260
attention,n=16,pcM,lev1,0.1566,130
attention,n=16,pcM,lev2,0.2616,96
attention,n=16,pcS,lev0,0.7471,479
attention,n=16,pcS,lev1,0.152,341
attention,n=16,pcS,lev2,0.2932,281
attention,n=16,pcS,lev3,0.2947,159
attention,n=2,pcL,lev0,0.3619,42
attention,n=2,pcM,lev0,0.3625,49
attention,n=2,pcM,lev1,0.9621,32
attention,n=2,pcS,lev0,-0.1094,72
attention,n=2,pcS,lev1,0.9901,121
attention,n=256,pc0,lev3,0.0543,37
attention,n=32,pcL,lev0,0.0819,175
attention,n=32,pcL,lev1,0.0584,76
attention,n=32,pcL,lev2,0.1195,36
attention,n=32,pcL,lev3,0.0748,23
attention,n=32,pcM,lev0,0.1323,227
attention,n=32,pcM,lev1,0.0661,177
attention,n=32,pcM,lev2,0.1167,105
attention,n=32,pcM,lev3,0.1333,85
attention,n=32,pcS,lev0,0.2956,419
attention,n=32,pcS,lev1,0.0899,414
attention,n=32,pcS,lev2,0.0944,322
attention,n=32,pcS,lev3,0.133,355
attention,n=4,pcL,lev0,0.1672,93
attention,n=4,pcM,lev0,0.4131,145
attention,n=4,pcM,lev1,0.7028,62
attention,n=4,pcS,lev0,0.3407,313
attention,n=4,pcS,lev1,0.9489,141
attention,n=4,pcS,lev2,0.9672,80
attention,n=64,pc0,lev3,0.0,28
attention,n=64,pcL,lev0,0.0847,135
attention,n=64,pcL,lev1,0.0267,87
attention,n=64,pcL,lev2,0.0409,36
attention,n=64,pcL,lev3,0.033,33
attention,n=64,pcL,lev4,0.0221,33
attention,n=64,pcM,lev0,0.2221,175
attention,n=64,pcM,lev1,0.031,186
attention,n=64,pcM,lev2,0.0358,118
attention,n=64,pcM,lev3,0.0539,122
attention,n=64,pcM,lev4,0.0321,47
attention,n=64,pcS,lev0,0.3044,333
attention,n=64,pcS,lev1,0.0384,349
attention,n=64,pcS,lev2,0.0374,368
attention,n=64,pcS,lev3,0.0559,472
attention,n=64,pcS,lev4,0.0497,98
attention,n=8,pcL,lev0,0.1352,186
attention,n=8,pcL,lev1,0.4116,49
attention,n=8,pcM,lev0,0.2091,290
attention,n=8,pcM,lev1,0.3883,115
attention,n=8,pcM,lev2,0.42,43
attention,n=8,pcS,lev0,0.74,585
attention,n=8,pcS,lev1,0.0643,270
attention,n=8,pcS,lev2,0.3068,227
attention,n=8,pcS,lev3,0.4011,68
