branch,num_tokens,n_decode,kv_decode,prefill_chunk,step_us,saved_us,sem_us,n_pairs
full,1,1,1024,0,1318.752,984.704,3.422,60
full,1,1,8192,0,1387.536,807.68,17.031,60
full,2,2,1024,0,1269.04,763.568,7.039,60
full,2,2,8192,0,1649.344,751.12,8.158,60
full,4,4,1024,0,1348.832,774.896,7.593,60
full,4,4,8192,0,2096.144,750.832,13.886,60
full,8,8,1024,0,1697.264,976.432,1.829,60
full,8,8,8192,0,3576.256,912.384,8.5,60
full,16,16,1024,0,1764.608,767.504,9.864,60
full,16,16,8192,0,4596.592,619.104,63.036,60
full,24,24,1024,0,2044.656,761.184,11.448,60
full,24,24,8192,0,6290.848,537.296,25.418,60
full,32,32,1024,0,2322.112,749.008,11.06,60
full,32,32,8192,0,7901.008,472.688,60.756,60
full,40,40,1024,0,2630.96,736.32,73.497,60
full,40,40,8192,0,9851.824,398.8,154.552,60
full,48,48,1024,0,2925.232,728.928,120.835,60
full,48,48,8192,0,11339.856,292.816,55.673,60
full,56,56,1024,0,3190.448,701.024,95.191,60
full,56,56,8192,0,12962.928,328.16,42.351,60
full,64,64,1024,0,3448.512,693.104,11.994,60
full,64,64,8192,0,14627.168,335.44,57.475,60
full,72,72,1024,0,3751.76,689.36,12.0,60
full,72,72,8192,0,16262.064,413.983,52.617,60
full,80,80,1024,0,4022.752,657.296,11.584,60
full,80,80,8192,0,18000.208,325.872,41.945,60
full,88,88,1024,0,4316.176,654.88,27.399,60
full,88,88,8192,0,19647.088,302.048,116.318,60
full,96,96,1024,0,4601.792,626.064,29.649,60
full,96,96,8192,0,21563.184,398.705,118.716,60
full,104,104,1024,0,4858.992,608.0,67.416,60
full,104,104,8192,0,23537.536,348.08,127.602,60
full,112,112,1024,0,5147.136,576.656,106.771,60
full,112,112,8192,0,24920.816,258.048,240.859,60
full,120,120,1024,0,5405.328,607.504,15.946,60
full,120,120,8192,0,26408.928,349.248,139.476,60
full,128,128,1024,0,5668.656,581.008,10.892,60
full,128,128,8192,0,28039.329,335.361,220.43,60
full,136,136,1024,0,5969.584,578.848,27.489,60
full,136,136,8192,0,29735.984,408.64,131.201,60
full,144,144,1024,0,6225.76,560.816,25.205,60
full,144,144,8192,0,31622.176,314.337,216.154,60
full,152,152,1024,0,6521.456,559.008,23.338,60
full,152,152,8192,0,33011.713,444.096,115.78,60
full,160,160,1024,0,6822.816,528.848,78.754,60
full,160,160,8192,0,34642.464,526.722,356.54,60
full,168,168,1024,0,7093.456,530.016,21.155,60
full,168,168,8192,0,36451.664,638.559,121.614,60
full,176,176,1024,0,7355.264,510.48,37.86,60
full,176,176,8192,0,38125.248,316.769,151.825,60
full,184,184,1024,0,7622.0,519.072,79.875,60
full,184,184,8192,0,39985.056,539.28,309.627,60
full,192,192,1024,0,7969.536,457.776,83.513,60
full,192,192,8192,0,41576.385,483.904,244.596,60
full,200,200,1024,0,8273.408,524.224,24.219,60
full,200,200,8192,0,43497.025,384.895,262.004,60
full,208,208,1024,0,8537.584,422.032,68.369,60
full,208,208,8192,0,45308.016,524.544,313.74,60
full,216,216,1024,0,8797.008,457.872,61.35,60
full,216,216,8192,0,47137.44,324.703,184.99,60
full,224,224,1024,0,9032.4,459.952,62.766,60
full,224,224,8192,0,48660.08,606.001,227.228,60
full,232,232,1024,0,9283.792,409.712,55.271,60
full,232,232,8192,0,50210.623,669.905,310.875,60
full,240,240,1024,0,9634.064,403.328,62.433,60
full,240,240,8192,0,51989.616,511.25,339.548,60
full,248,248,1024,0,9858.496,397.471,72.6,60
full,248,248,8192,0,54418.242,400.558,264.864,60
full,256,256,1024,0,10198.752,381.424,71.967,60
full,256,256,8192,0,55703.041,495.792,242.764,60
piecewise,1,0,1024,1,1270.112,969.008,16.077,60
piecewise,2,0,1024,2,1568.752,643.504,1.926,60
piecewise,4,0,1024,4,1406.08,558.4,7.755,60
piecewise,8,0,1024,8,1568.192,658.464,1.87,60
piecewise,16,0,1024,16,1574.72,649.728,1.683,60
piecewise,24,0,1024,24,1408.992,571.824,7.727,60
piecewise,32,0,1024,32,1568.176,649.296,55.826,60
piecewise,40,0,1024,40,1416.368,568.56,9.346,60
piecewise,40,32,1024,8,3189.712,534.464,3.747,60
piecewise,48,0,1024,48,1417.2,579.312,9.94,60
piecewise,48,32,1024,16,2699.744,427.392,18.419,60
piecewise,56,0,1024,56,1572.384,653.84,1.314,60
piecewise,56,32,1024,24,2706.672,415.808,31.294,60
piecewise,64,0,1024,64,1404.304,548.96,6.744,60
piecewise,64,32,1024,32,2692.896,410.544,20.622,60
piecewise,72,0,1024,72,1430.72,559.664,8.775,60
piecewise,72,32,1024,40,2701.312,401.952,17.593,60
piecewise,80,0,1024,80,1586.048,657.584,1.816,60
piecewise,80,32,1024,48,3199.024,523.456,3.223,60
piecewise,88,0,1024,88,1525.312,589.024,18.935,60
piecewise,88,32,1024,56,2685.744,403.568,14.519,60
piecewise,96,0,1024,96,1428.24,538.752,3.362,60
piecewise,96,32,1024,64,2698.112,399.808,18.508,60
piecewise,104,0,1024,104,1433.904,527.056,4.295,60
piecewise,104,32,1024,72,2690.528,411.616,18.499,60
piecewise,112,0,1024,112,1437.136,521.248,5.578,60
piecewise,112,32,1024,80,2697.376,402.448,12.027,60
piecewise,120,0,1024,120,1443.792,523.504,7.492,60
piecewise,120,32,1024,88,2719.744,402.528,28.224,60
piecewise,128,0,1024,128,1451.344,524.288,5.474,60
piecewise,128,32,1024,96,2716.352,394.56,44.43,60
piecewise,136,0,1024,136,1473.648,516.544,16.013,60
piecewise,136,32,1024,104,2769.168,419.568,53.59,60
piecewise,144,0,1024,144,1480.288,518.112,8.659,60
piecewise,144,32,1024,112,2728.256,374.928,25.094,60
piecewise,152,0,1024,152,1479.888,507.28,16.243,60
piecewise,152,32,1024,120,2740.048,388.768,13.064,60
piecewise,160,0,1024,160,1479.712,510.352,5.257,60
piecewise,160,32,1024,128,2732.96,380.304,18.332,60
piecewise,168,0,1024,168,1493.12,502.384,4.318,60
piecewise,168,32,1024,136,2752.64,376.352,26.625,60
piecewise,176,0,1024,176,1500.512,504.608,12.435,60
piecewise,176,32,1024,144,2749.712,372.96,15.867,60
piecewise,184,0,1024,184,1494.704,508.608,4.775,60
piecewise,184,32,1024,152,2749.616,371.472,15.762,60
piecewise,192,0,1024,192,1493.376,498.736,9.305,60
piecewise,192,32,1024,160,2763.008,377.664,19.328,60
piecewise,200,0,1024,200,1522.048,493.568,13.527,60
piecewise,200,32,1024,168,2760.384,349.264,14.778,60
piecewise,208,0,1024,208,1505.888,481.68,16.406,60
piecewise,208,32,1024,176,2752.016,353.808,23.457,60
piecewise,216,0,1024,216,1501.616,480.128,7.039,60
piecewise,216,32,1024,184,2760.704,363.776,25.372,60
piecewise,224,0,1024,224,1512.912,489.248,12.61,60
piecewise,224,32,1024,192,2760.192,355.856,17.52,60
piecewise,232,0,1024,232,1522.048,488.464,40.491,60
piecewise,232,32,1024,200,2770.912,346.592,21.744,60
piecewise,240,0,1024,240,1516.224,474.976,9.243,60
piecewise,240,32,1024,208,2785.68,353.136,24.367,60
piecewise,248,0,1024,248,1519.568,472.592,9.481,60
piecewise,248,32,1024,216,2774.832,347.248,10.937,60
piecewise,256,0,1024,256,1527.424,468.848,9.876,60
piecewise,256,32,1024,224,2786.016,355.616,19.969,60
piecewise,272,0,1024,272,1545.856,442.064,5.916,60
piecewise,272,32,1024,240,2789.36,319.92,4.388,60
piecewise,288,0,1024,288,1545.008,442.72,5.948,60
piecewise,288,32,1024,256,2805.856,321.264,18.68,60
piecewise,304,0,1024,304,1552.304,445.712,8.972,60
piecewise,304,32,1024,272,2806.08,314.192,7.716,60
piecewise,320,0,1024,320,1558.256,438.656,8.856,60
piecewise,320,32,1024,288,2819.92,313.92,35.203,60
piecewise,336,0,1024,336,1585.536,440.048,34.612,60
piecewise,336,32,1024,304,2835.968,310.448,21.333,60
piecewise,352,0,1024,352,1582.272,444.88,7.193,60
piecewise,352,32,1024,320,3080.496,381.36,30.792,60
piecewise,368,0,1024,368,1590.384,439.312,3.66,60
piecewise,368,32,1024,336,2911.376,308.4,39.868,60
piecewise,384,0,1024,384,1618.192,448.48,20.4,60
piecewise,384,32,1024,352,2854.032,307.952,13.119,60
piecewise,400,0,1024,400,1627.84,438.768,7.958,60
piecewise,400,32,1024,368,2878.256,303.52,17.315,60
piecewise,416,0,1024,416,1625.344,436.768,9.335,60
piecewise,416,32,1024,384,2875.152,307.968,32.094,60
piecewise,432,0,1024,432,1630.224,435.984,32.705,60
piecewise,432,32,1024,400,2890.112,293.744,13.098,60
piecewise,448,0,1024,448,1627.264,440.912,10.291,60
piecewise,448,32,1024,416,2891.04,300.72,9.307,60
piecewise,464,0,1024,464,1659.056,433.904,17.345,60
piecewise,464,32,1024,432,2920.448,296.016,41.617,60
piecewise,480,0,1024,480,1668.032,432.992,15.106,60
piecewise,480,32,1024,448,2922.448,289.472,12.28,60
piecewise,496,0,1024,496,1672.576,429.28,8.826,60
piecewise,496,32,1024,464,3441.024,384.512,24.903,60
piecewise,512,0,1024,512,1843.632,523.072,27.605,60
piecewise,512,32,1024,480,3354.624,349.568,30.603,60
none,537,0,1024,537,2104.16,-1.424,3.703,60
none,2048,0,1024,2048,2555.008,-0.064,12.265,60
