layer,sequences,time_us
lm_head,1,216.715
lm_head,2,213.622
lm_head,3,214.487
lm_head,4,214.999
lm_head,5,215.66
lm_head,6,210.849
lm_head,7,213.644
lm_head,8,213.985
lm_head,9,213.697
lm_head,10,212.129
lm_head,11,213.996
lm_head,12,216.833
lm_head,13,215.371
lm_head,14,214.71
lm_head,15,215.98
lm_head,16,214.187
lm_head,20,217.43
lm_head,24,219.457
lm_head,28,220.748
lm_head,32,223.382
lm_head,36,224.172
lm_head,40,223.596
lm_head,44,223.905
lm_head,48,226.465
lm_head,52,227.894
lm_head,56,227.894
lm_head,60,228.598
lm_head,64,229.793
lm_head,80,248.012
lm_head,96,250.476
lm_head,112,251.233
lm_head,128,252.375
lm_head,144,245.42
lm_head,160,300.428
lm_head,176,303.265
lm_head,192,306.657
lm_head,208,312.215
lm_head,224,316.055
lm_head,240,319.223
lm_head,256,324.162
sampler,1,10.0373
sampler,2,11.243
sampler,3,11.2747
sampler,4,11.3183
sampler,5,11.5737
sampler,6,11.7117
sampler,7,11.861
sampler,8,13.238
sampler,9,13.664
sampler,10,14.5913
sampler,11,15.018
sampler,12,14.56
sampler,13,15.0723
sampler,14,15.5733
sampler,15,15.6587
sampler,16,15.9467
sampler,20,18.101
sampler,24,19.904
sampler,28,21.0133
sampler,32,24.9283
sampler,36,25.8567
sampler,40,28.1067
sampler,44,28.9813
sampler,48,31.2967
sampler,52,32.502
sampler,56,34.7203
sampler,60,36.758
sampler,64,38.4213
sampler,80,48.8743
sampler,96,57.0027
sampler,112,70.0597
sampler,128,82.3367
sampler,144,92.694
sampler,160,107.094
sampler,176,120.032
sampler,192,135.158
sampler,208,153.345
sampler,224,175.04
sampler,240,196.747
sampler,256,217.398
