layer,pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
attention,0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0001,7
attention,0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0991,7
attention,0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0027,7
attention,0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0081,2
attention,0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0613,2
attention,0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0084,2
attention,0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0003,8
attention,0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0967,8
attention,0,n<=128,sr<=5%,kvB<=4k,kp=0,-0.0009,8
attention,0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0153,2
attention,0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0581,2
attention,0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0129,2
attention,0,n<=128,sr>70%,kvB<=16k,kp=0,0.0207,4
attention,0,n<=128,sr>70%,kvB<=1k,kp=0,0.0568,4
attention,0,n<=128,sr>70%,kvB<=4k,kp=0,-0.0222,4
attention,0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0498,4
attention,0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1612,4
attention,0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0119,4
attention,0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0121,4
attention,0,n<=16,sr<=40%,kvB<=1k,kp=0,0.1143,4
attention,0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.0285,4
attention,0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0464,2
attention,0,n<=16,sr<=70%,kvB<=1k,kp=0,0.1535,2
attention,0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0057,2
attention,0,n<=16,sr>70%,kvB<=16k,kp=0,0.1568,4
attention,0,n<=16,sr>70%,kvB<=1k,kp=0,0.3607,4
attention,0,n<=16,sr>70%,kvB<=4k,kp=0,0.0523,4
attention,0,n<=2,sr<=70%,kvB<=16k,kp=0,0.1873,5
attention,0,n<=2,sr<=70%,kvB<=1k,kp=0,0.7148,5
attention,0,n<=2,sr<=70%,kvB<=4k,kp=0,0.5151,5
attention,0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0368,7
attention,0,n<=256,sr<=15%,kvB<=1k,kp=0,0.038,7
attention,0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0403,7
attention,0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0003,2
attention,0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0057,2
attention,0,n<=256,sr<=40%,kvB<=4k,kp=0,0.0004,2
attention,0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0984,8
attention,0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0741,8
attention,0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0984,8
attention,0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0818,2
attention,0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0196,2
attention,0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0467,2
attention,0,n<=256,sr>70%,kvB<=16k,kp=0,0.5267,4
attention,0,n<=256,sr>70%,kvB<=1k,kp=0,0.4662,4
attention,0,n<=256,sr>70%,kvB<=4k,kp=0,0.5039,4
attention,0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0583,9
