layer,tokens,time_us
act_fn,1,4.768
act_fn,2,5.82433
act_fn,3,5.835
act_fn,4,5.888
act_fn,5,5.88833
act_fn,6,5.888
act_fn,7,5.899
act_fn,8,5.94133
act_fn,9,5.85533
act_fn,10,5.888
act_fn,11,5.81333
act_fn,12,5.97333
act_fn,13,5.92
act_fn,14,5.90967
act_fn,15,5.824
act_fn,16,5.94133
act_fn,20,6.10133
act_fn,24,6.19733
act_fn,28,6.26133
act_fn,32,6.208
act_fn,36,5.78167
act_fn,40,5.90933
act_fn,44,5.93067
act_fn,48,6.03767
act_fn,52,6.01633
act_fn,56,5.856
act_fn,60,5.94133
act_fn,64,5.90933
act_fn,80,5.44
act_fn,96,5.54667
act_fn,112,5.57833
act_fn,128,5.87733
act_fn,144,6.02667
act_fn,160,6.30433
act_fn,176,6.63467
act_fn,192,10.272
act_fn,208,10.496
act_fn,224,10.7627
act_fn,240,11.2537
act_fn,256,11.1787
act_fn,272,11.488
act_fn,288,11.5093
act_fn,304,11.5093
act_fn,320,11.9463
act_fn,336,12.309
act_fn,352,12.8423
act_fn,368,13.3013
act_fn,384,16.224
act_fn,400,17.3973
act_fn,416,18.1867
act_fn,432,18.5493
act_fn,448,19.1257
act_fn,464,20.1173
act_fn,480,21.0347
act_fn,496,22.0267
act_fn,512,22.912
act_fn,528,24.8213
act_fn,544,25.9307
act_fn,560,27.3817
act_fn,576,30.4537
act_fn,592,31.2
act_fn,608,32.288
act_fn,624,33.7493
act_fn,640,34.7947
act_fn,656,41.9623
act_fn,672,43.072
act_fn,688,44.384
act_fn,704,45.792
act_fn,720,47.2537
act_fn,736,48.747
act_fn,752,50.7417
act_fn,768,53.557
act_fn,784,56.8537
act_fn,800,58.016
act_fn,816,59.6587
act_fn,832,60.9707
act_fn,848,62.3363
act_fn,864,63.904
act_fn,880,65.5683
act_fn,896,67.083
act_fn,912,70.4747
act_fn,928,72.2663
act_fn,944,74.1013
act_fn,960,76.5123
act_fn,976,78.8053
act_fn,992,80.1813
act_fn,1008,81.92
act_fn,1024,83.4453
act_fn,1040,85.387
act_fn,1056,87.2747
act_fn,1072,89.9097
act_fn,1088,90.6347
act_fn,1104,92.1177
act_fn,1120,94.0267
act_fn,1136,96.1173
act_fn,1152,97.8453
act_fn,1168,101.664
act_fn,1184,103.744
act_fn,1200,104.406
act_fn,1216,106.081
act_fn,1232,107.638
act_fn,1248,109.995
act_fn,1264,111.094
act_fn,1280,113.269
act_fn,1296,116.683
act_fn,1312,118.422
act_fn,1328,119.84
act_fn,1344,121.739
act_fn,1360,123.435
act_fn,1376,124.705
act_fn,1392,126.198
act_fn,1408,127.723
act_fn,1424,129.6
act_fn,1440,131.712
act_fn,1456,133.59
act_fn,1472,135.521
act_fn,1488,136.694
act_fn,1504,138.646
act_fn,1520,140.63
act_fn,1536,140.651
act_fn,1552,143.073
act_fn,1568,144.694
act_fn,1584,145.835
act_fn,1600,147.478
act_fn,1616,149.483
act_fn,1632,150.689
act_fn,1648,152.747
act_fn,1664,154.368
act_fn,1680,157.259
act_fn,1696,158.464
act_fn,1712,160.342
act_fn,1728,162.934
act_fn,1744,164.224
act_fn,1760,166.444
act_fn,1776,166.966
act_fn,1792,166.987
act_fn,1808,171.211
act_fn,1824,173.6
act_fn,1840,175.243
act_fn,1856,176.843
act_fn,1872,177.984
act_fn,1888,180.15
act_fn,1904,181.697
act_fn,1920,184.16
act_fn,1936,184.118
act_fn,1952,184.917
act_fn,1968,186.699
act_fn,1984,188.865
act_fn,2000,190.38
act_fn,2016,191.521
act_fn,2032,193.686
act_fn,2048,193.43
down_proj,1,183.979
down_proj,2,179.595
down_proj,3,179.915
down_proj,4,180.032
down_proj,5,181.355
down_proj,6,181.067
down_proj,7,181.622
down_proj,8,180.992
down_proj,9,181.452
down_proj,10,181.803
down_proj,11,182.198
down_proj,12,183.392
down_proj,13,182.87
down_proj,14,183.488
down_proj,15,183.104
down_proj,16,183.392
down_proj,20,185.537
down_proj,24,185.931
down_proj,28,186.752
down_proj,32,186.795
down_proj,36,192.139
down_proj,40,194.315
down_proj,44,194.497
down_proj,48,195.179
down_proj,52,196.598
down_proj,56,195.946
down_proj,60,198.176
down_proj,64,198.261
down_proj,80,207.179
down_proj,96,208.971
down_proj,112,224.373
down_proj,128,228.833
down_proj,144,239.329
down_proj,160,241.942
down_proj,176,242.988
down_proj,192,244.448
down_proj,208,249.419
down_proj,224,250.123
down_proj,240,253.559
down_proj,256,253.141
down_proj,272,284.875
down_proj,288,287.2
down_proj,304,286.859
down_proj,320,287.659
down_proj,336,289.621
down_proj,352,290.251
down_proj,368,292.022
down_proj,384,293.099
down_proj,400,362.646
down_proj,416,363.873
down_proj,432,362.924
down_proj,448,364.502
down_proj,464,363.98
down_proj,480,364.609
down_proj,496,365.26
down_proj,512,365.622
down_proj,528,466.209
down_proj,544,466.444
down_proj,560,467.233
down_proj,576,466.582
down_proj,592,467.861
down_proj,608,467.979
down_proj,624,468.822
down_proj,640,469.185
down_proj,656,522.231
down_proj,672,521.954
down_proj,688,523.691
down_proj,704,523.148
down_proj,720,523.436
down_proj,736,524.758
down_proj,752,525.908
down_proj,768,527.094
down_proj,784,593.292
down_proj,800,559.02
down_proj,816,594.913
down_proj,832,594.7
down_proj,848,596.15
down_proj,864,598.422
down_proj,880,599.757
down_proj,896,598.593
down_proj,912,690.999
down_proj,928,694.135
down_proj,944,694.177
down_proj,960,695.372
down_proj,976,696.375
down_proj,992,656.257
down_proj,1008,696.46
down_proj,1024,697.697
down_proj,1040,740.003
down_proj,1056,788.589
down_proj,1072,789.26
down_proj,1088,758.476
down_proj,1104,783.831
down_proj,1120,787.383
down_proj,1136,786.999
down_proj,1152,755.746
down_proj,1168,899.448
down_proj,1184,898.967
down_proj,1200,899.726
