layer,sequences,time_us
lm_head,1,1074.57
lm_head,2,1041.28
lm_head,3,1042.46
lm_head,4,1044.1
lm_head,5,1045.09
lm_head,6,1045.77
lm_head,7,1047.17
lm_head,8,1048.57
lm_head,9,1049.42
lm_head,10,1050.66
lm_head,11,1052.42
lm_head,12,1053.66
lm_head,13,1054.47
lm_head,14,1055.14
lm_head,15,1055.55
lm_head,16,1056.73
lm_head,20,1062.23
lm_head,24,1064.57
lm_head,28,1067.29
lm_head,32,1069.61
lm_head,36,1096.82
lm_head,40,1096.01
lm_head,44,1098.64
lm_head,48,1098.97
lm_head,52,1098.34
lm_head,56,1098.29
lm_head,60,1098.33
lm_head,64,1096.26
lm_head,80,1175.87
lm_head,96,1180.01
lm_head,112,1130.53
lm_head,128,1233.86
lm_head,144,1253.44
lm_head,160,1257.02
lm_head,176,1260.16
lm_head,192,1266.22
lm_head,208,1273.18
lm_head,224,1277.94
lm_head,240,1283.64
lm_head,256,1288.33
sampler,1,39.477
sampler,2,48.588
sampler,3,107.264
sampler,4,32.3627
sampler,5,67.6583
sampler,6,48.7797
sampler,7,94.1017
sampler,8,33.6967
sampler,9,106.976
sampler,10,68.192
sampler,11,96.4593
sampler,12,45.718
sampler,13,94.752
sampler,14,92.042
sampler,15,99.168
sampler,16,64.32
sampler,20,58.3893
sampler,24,71.2427
sampler,28,74.0373
sampler,32,86.976
sampler,36,106.017
sampler,40,93.5367
sampler,44,97.8993
sampler,48,82.528
sampler,52,99.35
sampler,56,104.353
sampler,60,99.1253
sampler,64,95.4777
sampler,80,115.287
sampler,96,105.515
sampler,112,116.512
sampler,128,115.936
sampler,144,120.096
sampler,160,139.498
sampler,176,140.992
sampler,192,142.688
sampler,208,147.575
sampler,224,151.638
sampler,240,158.752
sampler,256,161.867
