layer,pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
attention,0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0384,7
attention,0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0453,7
attention,0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0358,7
attention,0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0459,2
attention,0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0319,2
attention,0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0471,2
attention,0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0591,8
attention,0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0522,8
attention,0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0614,8
attention,0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0287,2
attention,0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0277,2
attention,0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0138,2
attention,0,n<=128,sr>70%,kvB<=16k,kp=0,0.1675,4
attention,0,n<=128,sr>70%,kvB<=1k,kp=0,0.162,4
attention,0,n<=128,sr>70%,kvB<=4k,kp=0,0.1715,4
attention,0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0023,4
attention,0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0062,4
attention,0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0004,4
attention,0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0099,4
attention,0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0561,4
attention,0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.0075,4
attention,0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0258,2
attention,0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0157,2
attention,0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0021,2
attention,0,n<=16,sr>70%,kvB<=16k,kp=0,-0.0323,4
attention,0,n<=16,sr>70%,kvB<=1k,kp=0,-0.0145,4
attention,0,n<=16,sr>70%,kvB<=4k,kp=0,0.0025,4
attention,0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0397,5
attention,0,n<=2,sr<=70%,kvB<=1k,kp=0,0.2172,5
attention,0,n<=2,sr<=70%,kvB<=4k,kp=0,0.0085,5
attention,0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0194,7
attention,0,n<=256,sr<=15%,kvB<=1k,kp=0,0.018,7
attention,0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0199,7
attention,0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0128,2
attention,0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0144,2
attention,0,n<=256,sr<=40%,kvB<=4k,kp=0,0.0132,2
attention,0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0207,8
attention,0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0223,8
attention,0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0223,8
attention,0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0043,2
attention,0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0009,2
attention,0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0057,2
attention,0,n<=256,sr>70%,kvB<=16k,kp=0,0.0776,4
attention,0,n<=256,sr>70%,kvB<=1k,kp=0,0.0704,4
attention,0,n<=256,sr>70%,kvB<=4k,kp=0,0.0668,4
attention,0,n<=32,sr<=15%,kvB<=16k,kp=0,-0.0004,9
attention,0,n<=32,sr<=15%,kvB<=1k,kp=0,0.0778,9
attention,0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0023,9
attention,0,n<=32,sr<=40%,kvB<=16k,kp=0,-0.0052,2
attention,0,n<=32,sr<=40%,kvB<=1k,kp=0,0.055,2
attention,0,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0091,2
attention,0,n<=32,sr<=5%,kvB<=16k,kp=0,0.002,2
attention,0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0735,2
attention,0,n<=32,sr<=5%,kvB<=4k,kp=0,0.002,2
attention,0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0132,2
attention,0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0532,2
attention,0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0181,2
attention,0,n<=32,sr>70%,kvB<=16k,kp=0,0.0362,4
attention,0,n<=32,sr>70%,kvB<=1k,kp=0,0.0472,4
attention,0,n<=32,sr>70%,kvB<=4k,kp=0,-0.032,4
attention,0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0061,2
attention,0,n<=4,sr<=40%,kvB<=1k,kp=0,0.1435,2
attention,0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0027,2
attention,0,n<=4,sr<=70%,kvB<=16k,kp=0,0.049,2
attention,0,n<=4,sr<=70%,kvB<=1k,kp=0,0.134,2
attention,0,n<=4,sr<=70%,kvB<=4k,kp=0,0.013,2
attention,0,n<=4,sr>70%,kvB<=16k,kp=0,0.2097,2
attention,0,n<=4,sr>70%,kvB<=1k,kp=0,0.3116,2
attention,0,n<=4,sr>70%,kvB<=4k,kp=0,-0.004,2
attention,0,n<=64,sr<=15%,kvB<=16k,kp=0,0.1156,4
attention,0,n<=64,sr<=15%,kvB<=1k,kp=0,0.1015,4
attention,0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0881,4
attention,0,n<=64,sr<=40%,kvB<=16k,kp=0,0.064,2
attention,0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0362,2
attention,0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0359,2
attention,0,n<=64,sr<=5%,kvB<=16k,kp=0,0.1226,6
attention,0,n<=64,sr<=5%,kvB<=1k,kp=0,0.1134,6
attention,0,n<=64,sr<=5%,kvB<=4k,kp=0,0.1243,6
attention,0,n<=64,sr<=70%,kvB<=16k,kp=0,0.0682,2
attention,0,n<=64,sr<=70%,kvB<=1k,kp=0,0.0545,2
attention,0,n<=64,sr<=70%,kvB<=4k,kp=0,0.0448,2
attention,0,n<=64,sr>70%,kvB<=16k,kp=0,0.3928,4
attention,0,n<=64,sr>70%,kvB<=1k,kp=0,0.3921,4
attention,0,n<=64,sr>70%,kvB<=4k,kp=0,0.4596,4
attention,0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0558,5
attention,0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0346,5
attention,0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0452,5
attention,0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0175,4
attention,0,n<=8,sr<=40%,kvB<=1k,kp=0,-0.0009,4
attention,0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0058,4
attention,0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0373,2
attention,0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.1791,2
attention,0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0235,2
attention,0,n<=8,sr>70%,kvB<=16k,kp=0,0.1104,4
attention,0,n<=8,sr>70%,kvB<=1k,kp=0,0.1795,4
attention,0,n<=8,sr>70%,kvB<=4k,kp=0,0.3056,4
attention,16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.1044,4
attention,16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.1025,4
attention,16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0984,4
attention,16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.1042,4
attention,16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.1023,4
attention,16,n<=128,sr<=15%,kvB<=16k,kp=0,0.101,8
attention,16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0605,4
attention,16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0635,4
attention,16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.073,4
attention,16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0615,4
attention,16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0607,4
attention,16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0759,9
attention,16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0072,4
attention,16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0047,4
attention,16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0027,4
attention,16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0074,4
attention,16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0033,4
attention,16,n<=128,sr<=15%,kvB<=4k,kp=0,0.01,8
attention,16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.177,2
attention,16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.1822,2
attention,16,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.1644,2
attention,16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.1867,2
attention,16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.1421,2
attention,16,n<=128,sr<=40%,kvB<=16k,kp=0,0.1856,2
attention,16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0967,2
attention,16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.1029,2
attention,16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.1097,2
attention,16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.1005,2
attention,16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.1011,2
attention,16,n<=128,sr<=40%,kvB<=1k,kp=0,0.102,2
attention,16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0178,2
attention,16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0192,2
attention,16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0286,2
attention,16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0204,2
attention,16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0246,2
attention,16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0182,2
attention,16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0151,8
attention,16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0226,8
attention,16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0176,8
attention,16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0147,8
attention,16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0168,8
attention,16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0153,8
attention,16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0028,8
attention,16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.003,8
attention,16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0119,8
attention,16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0076,8
attention,16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0076,8
attention,16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0149,8
attention,16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0096,8
attention,16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0071,8
attention,16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0045,8
attention,16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0101,8
attention,16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.007,8
attention,16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0097,8
attention,16,n<=128,sr<=70%,kvB<=16k,kp<=1k,0.3322,2
attention,16,n<=128,sr<=70%,kvB<=16k,kp<=2k,0.2635,2
attention,16,n<=128,sr<=70%,kvB<=16k,kp<=4k,0.1419,2
attention,16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.2693,2
attention,16,n<=128,sr<=70%,kvB<=16k,kp<=8k,0.1737,2
attention,16,n<=128,sr<=70%,kvB<=16k,kp=0,0.2157,6
attention,16,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0198,2
attention,16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0246,2
attention,16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0428,2
attention,16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0117,2
attention,16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0477,2
attention,16,n<=128,sr<=70%,kvB<=1k,kp=0,0.028,7
attention,16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0513,2
attention,16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0562,2
attention,16,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0178,2
attention,16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0236,2
attention,16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0412,2
attention,16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0733,6
attention,16,n<=128,sr>70%,kvB<=16k,kp<=1k,0.4132,4
attention,16,n<=128,sr>70%,kvB<=16k,kp<=2k,0.3085,4
attention,16,n<=128,sr>70%,kvB<=16k,kp<=4k,0.3428,4
attention,16,n<=128,sr>70%,kvB<=16k,kp<=512,0.4032,4
attention,16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.2877,4
attention,16,n<=128,sr>70%,kvB<=16k,kp=0,0.4149,4
attention,16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.2961,4
attention,16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.3141,4
