layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,0,0.0,1,16,1,7.23233
attention,0,0.0,1,24,1,7.14667
attention,0,0.0,1,36,1,7.21033
attention,0,0.0,1,54,1,7.243
attention,0,0.0,1,81,1,8.501
attention,0,0.0,1,122,1,8.43733
attention,0,0.0,1,182,1,11.6587
attention,0,0.0,1,273,1,11.8713
attention,0,0.0,1,410,1,12.1387
attention,0,0.0,1,615,1,12.4377
attention,0,0.0,1,923,1,13.1093
attention,0,0.0,1,1384,1,13.9413
attention,0,0.0,1,2076,1,15.7977
attention,0,0.0,1,3114,1,18.2933
attention,0,0.0,1,4671,1,22.4107
attention,0,0.0,1,7006,1,29.1523
attention,0,0.0,1,10509,1,37.952
attention,0,0.0,1,15764,1,41.7287
attention,0,0.0,1,16384,1,42.9433
attention,0,0.0,2,16,1,11.391
attention,0,0.0,2,24,1,11.3067
attention,0,0.0,2,36,1,11.4133
attention,0,0.0,2,54,1,11.4557
attention,0,0.0,2,81,1,12.7897
attention,0,0.0,2,122,1,12.629
attention,0,0.0,2,182,1,14.8917
attention,0,0.0,2,273,1,15.2423
attention,0,0.0,2,410,1,15.445
attention,0,0.0,2,615,1,15.7863
attention,0,0.0,2,923,1,17.0027
attention,0,0.0,2,1384,1,18.6987
attention,0,0.0,2,2076,1,21.5463
attention,0,0.0,2,3114,1,26.5067
attention,0,0.0,2,4671,1,31.8403
attention,0,0.0,2,7006,1,38.4633
attention,0,0.0,2,10509,1,48.768
attention,0,0.0,2,15764,1,62.8377
attention,0,0.0,2,16384,1,65.077
attention,0,0.0,4,16,1,11.3067
attention,0,0.0,4,24,1,11.3817
attention,0,0.0,4,36,1,11.3817
attention,0,0.0,4,54,1,11.4563
attention,0,0.0,4,81,1,12.7787
attention,0,0.0,4,122,1,12.693
attention,0,0.0,4,182,1,15.2103
attention,0,0.0,4,273,1,15.4667
attention,0,0.0,4,410,1,16.0527
attention,0,0.0,4,615,1,17.2047
attention,0,0.0,4,923,1,19.2537
attention,0,0.0,4,1384,1,22.4103
attention,0,0.0,4,2076,1,27.3393
attention,0,0.0,4,3114,1,34.9017
attention,0,0.0,4,4671,1,41.4937
attention,0,0.0,4,7006,1,54.0377
attention,0,0.0,4,10509,1,73.6327
attention,0,0.0,4,15764,1,102.549
attention,0,0.0,4,16384,1,106.837
attention,0,0.0,8,16,1,11.8933
attention,0,0.0,8,24,1,11.968
attention,0,0.0,8,36,1,11.957
attention,0,0.0,8,54,1,12.053
attention,0,0.0,8,81,1,13.44
attention,0,0.0,8,122,1,13.4183
attention,0,0.0,8,182,1,15.6587
attention,0,0.0,8,273,1,16.48
attention,0,0.0,8,410,1,18.165
attention,0,0.0,8,615,1,20.7043
attention,0,0.0,8,923,1,24.9063
attention,0,0.0,8,1384,1,30.1443
attention,0,0.0,8,2076,1,37.2057
attention,0,0.0,8,3114,1,48.4157
attention,0,0.0,8,4671,1,66.399
attention,0,0.0,8,7006,1,91.9783
attention,0,0.0,8,10509,1,131.947
attention,0,0.0,8,15764,1,188.054
attention,0,0.0,8,16384,1,193.974
attention,0,0.0,16,16,1,11.8187
attention,0,0.0,16,24,1,11.9887
attention,0,0.0,16,36,1,12.1173
attention,0,0.0,16,54,1,12.4053
attention,0,0.0,16,81,1,13.7177
attention,0,0.0,16,122,1,14.1443
attention,0,0.0,16,182,1,17.364
attention,0,0.0,16,273,1,21.494
attention,0,0.0,16,410,1,23.7223
attention,0,0.0,16,615,1,27.712
attention,0,0.0,16,923,1,33.8343
attention,0,0.0,16,1384,1,45.4503
attention,0,0.0,16,2076,1,60.0107
attention,0,0.0,16,3114,1,82.6673
attention,0,0.0,16,4671,1,119.585
attention,0,0.0,16,7006,1,168.417
attention,0,0.0,16,10509,1,249.174
attention,0,0.0,16,15764,1,362.529
attention,0,0.0,16,16384,1,377.164
attention,0,0.0,32,16,1,12.1173
attention,0,0.0,32,24,1,12.331
attention,0,0.0,32,36,1,12.6933
attention,0,0.0,32,54,1,13.365
attention,0,0.0,32,81,1,14.9333
attention,0,0.0,32,122,1,15.8293
attention,0,0.0,32,182,1,23.1573
attention,0,0.0,32,273,1,26.977
attention,0,0.0,32,410,1,31.9577
attention,0,0.0,32,615,1,41.2697
attention,0,0.0,32,923,1,56.0863
attention,0,0.0,32,1384,1,76.8
attention,0,0.0,32,2076,1,111.744
attention,0,0.0,32,3114,1,157.846
attention,0,0.0,32,4671,1,229.824
attention,0,0.0,32,7006,1,326.732
attention,0,0.0,32,10509,1,479.042
attention,0,0.0,32,15764,1,707.608
attention,0,0.0,32,16384,1,729.454
attention,0,0.0,64,16,1,13.5783
attention,0,0.0,64,24,1,14.1543
attention,0,0.0,64,36,1,14.9863
attention,0,0.0,64,54,1,16.4163
attention,0,0.0,64,81,1,18.6337
attention,0,0.0,64,122,1,22.0267
attention,0,0.0,64,182,1,27.3077
attention,0,0.0,64,273,1,35.2863
attention,0,0.0,64,410,1,52.5653
attention,0,0.0,64,615,1,72.0113
attention,0,0.0,64,923,1,103.179
attention,0,0.0,64,1384,1,148.961
attention,0,0.0,64,2076,1,209.025
attention,0,0.0,64,3114,1,301.846
attention,0,0.0,64,4671,1,438.07
attention,0,0.0,64,7006,1,637.688
attention,0,0.0,64,10509,1,937.635
attention,0,0.0,64,15764,1,1392.76
attention,0,0.0,64,16384,1,1446.6
attention,0,0.0,128,16,1,18.0593
attention,0,0.0,128,24,1,18.7097
attention,0,0.0,128,36,1,19.7767
attention,0,0.0,128,54,1,21.4933
attention,0,0.0,128,81,1,26.571
attention,0,0.0,128,122,1,32.9393
attention,0,0.0,128,182,1,45.664
attention,0,0.0,128,273,1,63.8827
attention,0,0.0,128,410,1,91.392
attention,0,0.0,128,615,1,132.682
attention,0,0.0,128,923,1,186.667
