layer,regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
attention,mixed,2,1,0.5,1.5,16,0,128,192,160,10.069,10.251,10.208,0.7615
attention,mixed,2,1,0.5,2.0,16,0,128,256,192,10.187,12.438,12.267,0.9242
attention,mixed,2,1,0.5,4.0,16,0,128,512,320,12.779,17.483,17.366,0.9751
attention,mixed,2,1,0.5,8.0,16,0,128,1024,576,17.91,27.85,27.68,0.9829
attention,mixed,2,1,0.5,16.0,16,0,128,2048,1088,28.246,48.971,48.565,0.9804
attention,mixed,2,1,0.5,1.5,16,0,512,768,640,20.053,22.709,22.528,0.9317
attention,mixed,2,1,0.5,2.0,16,0,512,1024,768,22.677,27.883,27.67,0.959
attention,mixed,2,1,0.5,4.0,16,0,512,2048,1280,33.152,48.8,48.79,0.9993
attention,mixed,2,1,0.5,8.0,16,0,512,4096,2304,54.123,90.368,90.027,0.9906
attention,mixed,2,1,0.5,16.0,16,0,512,8192,4352,95.745,173.451,172.609,0.9892
attention,mixed,2,1,0.5,1.5,16,0,2048,3072,2560,59.414,69.686,69.388,0.971
attention,mixed,2,1,0.5,2.0,16,0,2048,4096,3072,69.632,90.23,90.037,0.9906
attention,mixed,2,1,0.5,4.0,16,0,2048,8192,5120,111.03,173.302,172.428,0.986
attention,mixed,2,1,0.5,8.0,16,0,2048,16384,9216,193.473,339.33,337.335,0.9863
attention,mixed,2,1,0.5,1.5,16,0,8192,12288,10240,214.455,255.447,255.735,1.007
attention,mixed,2,1,0.5,2.0,16,0,8192,16384,12288,255.297,337.879,337.25,0.9924
attention,mixed,8,1,0.125,1.5,16,0,128,192,136,17.002,17.355,16.555,-1.2684
attention,mixed,8,1,0.125,2.0,16,0,128,256,144,17.035,22.165,18.912,0.3659
attention,mixed,8,1,0.125,4.0,16,0,128,512,176,17.077,33.184,24.043,0.4325
attention,mixed,8,1,0.125,8.0,16,0,128,1024,240,17.792,54.998,34.688,0.4541
attention,mixed,8,1,0.125,16.0,16,0,128,2048,368,23.477,98.806,55.254,0.4218
attention,mixed,8,4,0.5,1.5,16,0,128,192,160,17.077,17.387,16.736,-1.1012
attention,mixed,8,4,0.5,2.0,16,0,128,256,192,17.301,22.091,19.168,0.3898
attention,mixed,8,4,0.5,4.0,16,0,128,512,320,22.944,32.917,24.597,0.1658
attention,mixed,8,4,0.5,8.0,16,0,128,1024,576,33.706,55.072,35.573,0.0874
attention,mixed,8,4,0.5,16.0,16,0,128,2048,1088,56.256,98.624,57.526,0.03
attention,mixed,8,1,0.125,1.5,16,0,512,768,544,33.313,44.213,38.187,0.4471
attention,mixed,8,1,0.125,2.0,16,0,512,1024,576,33.739,55.2,43.488,0.4543
attention,mixed,8,1,0.125,4.0,16,0,512,2048,704,39.285,98.646,64.373,0.4226
