layer,n_label,pc_label,lev_label,alpha,n_samples
attention,n=128,pc0,lev3,0.1173,38
attention,n=128,pcL,lev0,0.1003,120
attention,n=128,pcL,lev1,0.0132,101
attention,n=128,pcL,lev2,0.0149,48
attention,n=128,pcL,lev3,0.0082,64
attention,n=128,pcL,lev4,0.0063,53
attention,n=128,pcM,lev0,0.1837,137
attention,n=128,pcM,lev1,0.0167,187
attention,n=128,pcM,lev2,0.0165,148
attention,n=128,pcM,lev3,0.0237,103
attention,n=128,pcM,lev4,0.0109,170
attention,n=128,pcS,lev0,0.2178,279
attention,n=128,pcS,lev1,0.0352,303
attention,n=128,pcS,lev2,0.0211,438
attention,n=128,pcS,lev3,0.0261,366
attention,n=128,pcS,lev4,0.0139,492
attention,n=16,pcL,lev0,0.0844,177
attention,n=16,pcL,lev1,0.1929,53
attention,n=16,pcL,lev2,0.2556,22
attention,n=16,pcM,lev0,0.1497,258
attention,n=16,pcM,lev1,0.1119,136
attention,n=16,pcM,lev2,0.2575,92
attention,n=16,pcS,lev0,0.4138,475
attention,n=16,pcS,lev1,0.0102,364
attention,n=16,pcS,lev2,0.293,278
attention,n=16,pcS,lev3,0.2919,143
attention,n=2,pcL,lev0,0.4587,42
attention,n=2,pcM,lev0,0.2927,50
attention,n=2,pcM,lev1,0.9731,32
attention,n=2,pcS,lev0,-0.1154,87
attention,n=2,pcS,lev1,0.9859,117
attention,n=256,pc0,lev3,0.0576,36
attention,n=32,pcL,lev0,0.0767,173
attention,n=32,pcL,lev1,0.0313,76
attention,n=32,pcL,lev2,0.0961,39
attention,n=32,pcL,lev3,0.0669,23
attention,n=32,pcM,lev0,0.1248,228
attention,n=32,pcM,lev1,0.0573,185
attention,n=32,pcM,lev2,0.1156,96
attention,n=32,pcM,lev3,0.1312,87
attention,n=32,pcS,lev0,0.2181,415
attention,n=32,pcS,lev1,0.0746,439
attention,n=32,pcS,lev2,0.1002,309
attention,n=32,pcS,lev3,0.1319,346
attention,n=4,pcL,lev0,0.0842,92
attention,n=4,pcM,lev0,0.3295,146
attention,n=4,pcM,lev1,0.7081,62
attention,n=4,pcS,lev0,0.3074,318
attention,n=4,pcS,lev1,0.9366,142
attention,n=4,pcS,lev2,0.9589,75
attention,n=64,pc0,lev3,0.0012,29
attention,n=64,pcL,lev0,0.0743,135
attention,n=64,pcL,lev1,0.025,89
attention,n=64,pcL,lev2,0.0165,34
attention,n=64,pcL,lev3,0.0303,37
attention,n=64,pcL,lev4,0.0257,29
attention,n=64,pcM,lev0,0.2184,174
attention,n=64,pcM,lev1,0.0327,190
attention,n=64,pcM,lev2,0.0325,123
attention,n=64,pcM,lev3,0.0523,113
attention,n=64,pcM,lev4,0.0301,48
attention,n=64,pcS,lev0,0.3455,329
attention,n=64,pcS,lev1,0.0393,356
attention,n=64,pcS,lev2,0.0389,386
attention,n=64,pcS,lev3,0.0516,454
attention,n=64,pcS,lev4,0.0527,95
attention,n=8,pcL,lev0,0.139,190
attention,n=8,pcL,lev1,0.4156,44
attention,n=8,pcM,lev0,0.1832,294
attention,n=8,pcM,lev1,0.3626,113
attention,n=8,pcM,lev2,0.4155,43
attention,n=8,pcS,lev0,0.782,592
attention,n=8,pcS,lev1,0.0783,269
attention,n=8,pcS,lev2,0.3129,225
attention,n=8,pcS,lev3,0.4093,64
