branch,num_tokens,n_decode,kv_decode,prefill_chunk,step_us,saved_us,sem_us,n_pairs
full,1,1,1024,0,48538.063,712.786,84.343,60
full,1,1,8192,0,50580.32,817.327,30.781,60
full,2,2,1024,0,48716.368,978.992,28.286,60
full,2,2,8192,0,52758.497,1099.922,24.158,60
full,4,4,1024,0,49160.786,1046.448,22.773,60
full,4,4,8192,0,55692.177,1099.167,29.643,60
full,8,8,1024,0,50277.216,1444.496,13.147,60
full,8,8,8192,0,63412.399,1387.568,41.163,60
full,16,16,1024,0,53656.015,1156.097,21.391,60
full,24,24,1024,0,56616.72,1309.263,72.766,60
full,32,32,1024,0,58871.376,1197.233,51.771,60
full,40,40,1024,0,60594.448,1068.287,27.825,60
full,48,48,1024,0,64371.902,909.428,35.733,60
full,56,56,1024,0,67282.223,1091.774,24.814,60
full,64,64,1024,0,69238.85,880.955,13.658,60
full,72,72,1024,0,69831.905,1023.407,85.112,60
full,80,80,1024,0,74307.026,923.019,36.091,60
piecewise,1,0,1024,1,47966.927,728.544,12.533,60
piecewise,2,0,1024,2,47367.104,1054.304,15.123,60
piecewise,4,0,1024,4,47216.576,1102.48,12.148,60
piecewise,8,0,1024,8,47414.896,1443.697,45.89,60
piecewise,16,0,1024,16,48188.272,1131.233,9.892,60
piecewise,24,0,1024,24,49407.505,1240.017,12.058,60
piecewise,32,0,1024,32,49664.721,1161.537,13.956,60
piecewise,40,0,1024,40,50028.736,1059.582,20.538,60
piecewise,40,32,1024,8,70095.455,1067.215,40.588,60
piecewise,48,0,1024,48,50252.768,983.265,5.801,60
piecewise,48,32,1024,16,70324.127,986.832,20.478,60
piecewise,56,0,1024,56,50379.183,1026.672,18.675,60
piecewise,56,32,1024,24,70364.128,1069.729,29.783,60
piecewise,64,0,1024,64,51000.736,869.793,10.517,60
piecewise,64,32,1024,32,71081.184,887.856,30.003,60
piecewise,72,0,1024,72,51035.2,990.704,18.756,60
piecewise,72,32,1024,40,71064.205,1085.133,17.651,60
piecewise,80,0,1024,80,53663.937,803.52,25.822,60
piecewise,80,32,1024,48,73784.176,880.688,46.686,60
piecewise,88,0,1024,88,54000.769,763.266,20.824,60
piecewise,88,32,1024,56,73980.56,853.664,43.808,60
piecewise,96,0,1024,96,54399.92,793.039,16.453,60
piecewise,96,32,1024,64,74580.448,962.482,22.081,60
piecewise,104,0,1024,104,55123.28,811.853,16.514,60
piecewise,104,32,1024,72,75771.568,872.959,26.71,60
piecewise,112,0,1024,112,55700.369,243.216,63.079,60
piecewise,112,32,1024,80,76249.329,226.734,23.773,60
piecewise,120,0,1024,120,55999.056,486.912,13.767,60
piecewise,120,32,1024,88,76756.908,494.244,36.567,60
piecewise,128,0,1024,128,56643.36,288.033,13.674,60
piecewise,128,32,1024,96,77542.11,342.735,71.283,60
piecewise,136,0,1024,136,65396.786,1068.291,64.077,60
piecewise,136,32,1024,104,84411.808,1164.848,103.48,60
piecewise,144,0,1024,144,66042.881,295.181,70.628,60
piecewise,144,32,1024,112,85246.384,95.055,109.901,60
piecewise,152,0,1024,152,65352.177,114.349,58.229,60
piecewise,152,32,1024,120,85006.992,-48.084,86.283,60
piecewise,160,0,1024,160,65409.554,224.289,60.674,60
piecewise,160,32,1024,128,85548.18,72.75,108.597,60
piecewise,168,0,1024,168,66897.984,417.217,61.563,60
piecewise,168,32,1024,136,86648.815,434.895,86.26,60
piecewise,176,0,1024,176,66667.278,414.814,69.783,60
piecewise,176,32,1024,144,86646.976,434.605,84.094,60
piecewise,184,0,1024,184,66741.039,287.796,61.713,60
piecewise,184,32,1024,152,86832.367,247.696,112.353,60
piecewise,192,0,1024,192,67120.304,173.374,68.028,60
piecewise,192,32,1024,160,87555.279,49.789,109.294,60
piecewise,200,0,1024,200,67595.264,522.396,54.131,60
piecewise,200,32,1024,168,87775.089,328.495,109.214,60
piecewise,208,0,1024,208,68167.229,383.633,59.749,60
piecewise,208,32,1024,176,88660.065,376.225,135.99,60
piecewise,216,0,1024,216,68489.647,306.755,49.759,60
piecewise,216,32,1024,184,88456.093,172.928,141.239,60
piecewise,224,0,1024,224,68317.661,-45.506,56.286,60
piecewise,224,32,1024,192,88541.393,-69.729,161.573,60
piecewise,232,0,1024,232,68039.169,-197.361,53.27,60
piecewise,232,32,1024,200,88748.848,-281.12,124.486,60
piecewise,240,0,1024,240,68832.962,-592.67,42.801,60
piecewise,240,32,1024,208,89140.816,-983.906,165.007,60
piecewise,248,0,1024,248,69108.593,174.32,35.391,60
piecewise,248,32,1024,216,89943.954,-35.297,138.507,60
piecewise,256,0,1024,256,69503.891,-265.903,38.632,60
piecewise,256,32,1024,224,89539.822,100.075,128.613,60
none,268,0,1024,268,90436.802,214.657,90.847,60
none,1024,0,1024,1024,228258.705,-44.998,112.414,60
