layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,0,0,1,16,1,27.518
attention,0,0,1,32,1,27.585
attention,0,0,1,64,1,38.69
attention,0,0,1,128,1,39.936
attention,0,0,1,256,1,41.665
attention,0,0,1,512,1,44.544
attention,0,0,1,1024,1,51.616
attention,0,0,1,2048,1,67.901
attention,0,0,1,4096,1,102.049
attention,0,0,1,8192,1,135.49
attention,0,0,1,16384,1,212.321
attention,0,0,2,16,1,40.992
attention,0,0,2,32,1,41.855
attention,0,0,2,64,1,49.63
attention,0,0,2,128,1,50.752
attention,0,0,2,256,1,53.023
attention,0,0,2,512,1,58.559
attention,0,0,2,1024,1,70.624
attention,0,0,2,2048,1,96.062
attention,0,0,2,4096,1,129.984
attention,0,0,2,8192,1,200.764
attention,0,0,2,16384,1,331.231
attention,0,0,4,16,1,41.729
attention,0,0,4,32,1,41.566
attention,0,0,4,64,1,49.856
attention,0,0,4,128,1,52.224
attention,0,0,4,256,1,55.615
attention,0,0,4,512,1,66.687
attention,0,0,4,1024,1,88.767
attention,0,0,4,2048,1,121.632
attention,0,0,4,4096,1,188.704
attention,0,0,4,8192,1,322.018
attention,0,0,4,16384,1,586.944
attention,0,0,8,16,1,42.814
attention,0,0,8,32,1,43.52
attention,0,0,8,64,1,51.488
attention,0,0,8,128,1,54.4
attention,0,0,8,256,1,63.71
attention,0,0,8,512,1,85.058
attention,0,0,8,1024,1,119.167
attention,0,0,8,2048,1,184.511
attention,0,0,8,4096,1,315.523
attention,0,0,8,8192,1,583.716
attention,0,0,8,16384,1,1122.24
attention,0,0,16,16,1,43.233
attention,0,0,16,32,1,44
attention,0,0,16,64,1,54.56
attention,0,0,16,128,1,66.655
attention,0,0,16,256,1,82.975
attention,0,0,16,512,1,115.871
attention,0,0,16,1024,1,183.362
attention,0,0,16,2048,1,319.839
attention,0,0,16,4096,1,581.733
attention,0,0,16,8192,1,1118.6
attention,0,0,16,16384,1,2164.48
attention,0,0,32,16,1,45.089
attention,0,0,32,32,1,47.424
attention,0,0,32,64,1,67.968
attention,0,0,32,128,1,84.77
attention,0,0,32,256,1,118.624
attention,0,0,32,512,1,186.783
attention,0,0,32,1024,1,328.768
attention,0,0,32,2048,1,612.254
attention,0,0,32,4096,1,1131.24
attention,0,0,32,8192,1,2187.65
attention,0,0,32,16384,1,4294.57
attention,0,0,64,16,1,59.103
attention,0,0,64,32,1,64
attention,0,0,64,64,1,83.327
attention,0,0,64,128,1,115.967
attention,0,0,64,256,1,188.354
attention,0,0,64,512,1,330.56
attention,0,0,64,1024,1,612.098
attention,0,0,64,2048,1,1159.17
attention,0,0,64,4096,1,2211.68
attention,0,0,64,8192,1,4304.49
attention,0,0,64,16384,1,8497.1
attention,0,0,128,16,1,76.799
attention,0,0,128,32,1,86.816
attention,0,0,128,64,1,123.712
attention,0,0,128,128,1,189.506
attention,0,0,128,256,1,330.977
attention,0,0,128,512,1,618.626
attention,0,0,128,1024,1,1143.39
attention,0,0,128,2048,1,2186.82
attention,0,0,128,4096,1,4275.91
attention,0,0,128,8192,1,8455.19
