layer,sequences,time_us
mtp_embed,1,3.20033
mtp_embed,2,3.37067
mtp_embed,3,3.605
mtp_embed,4,3.882
mtp_embed,5,4.224
mtp_embed,6,4.40533
mtp_embed,7,4.69333
mtp_embed,8,4.661
mtp_embed,9,5.32233
mtp_embed,10,5.547
mtp_embed,11,5.695
mtp_embed,12,5.952
mtp_embed,13,6.35733
mtp_embed,14,6.528
mtp_embed,15,6.741
mtp_embed,16,6.79433
mtp_embed,20,3.03967
mtp_embed,24,2.79467
mtp_embed,28,3.01867
mtp_embed,32,2.79467
mtp_embed,36,2.987
mtp_embed,40,2.85867
mtp_embed,44,3.082
mtp_embed,48,2.912
mtp_embed,52,3.10367
mtp_embed,56,2.976
mtp_embed,60,3.18967
mtp_embed,64,2.997
mtp_embed,80,3.14667
mtp_embed,96,3.29667
mtp_embed,112,3.46633
mtp_embed,128,3.669
mtp_embed,144,4.043
mtp_embed,160,4.11767
mtp_embed,176,4.33067
mtp_embed,192,4.256
mtp_embed,208,4.29867
mtp_embed,224,4.448
mtp_embed,240,4.37333
mtp_embed,256,4.224
mtp_fc,1,73.3867
mtp_fc,2,74.8173
mtp_fc,3,74.5177
mtp_fc,4,74.6137
mtp_fc,5,75.5843
mtp_fc,6,74.763
mtp_fc,7,74.945
mtp_fc,8,74.6247
mtp_fc,9,74.7413
mtp_fc,10,74.859
mtp_fc,11,75.4667
mtp_fc,12,75.3603
mtp_fc,13,75.2003
mtp_fc,14,75.2003
mtp_fc,15,75.264
mtp_fc,16,75.4133
mtp_fc,20,78.688
mtp_fc,24,79.5203
mtp_fc,28,80.7893
mtp_fc,32,82.8063
mtp_fc,36,87.5307
mtp_fc,40,88.064
mtp_fc,44,90.347
mtp_fc,48,90.816
mtp_fc,52,91.1893
mtp_fc,56,92.1607
mtp_fc,60,93.1637
mtp_fc,64,93.846
mtp_fc,80,101.718
mtp_fc,96,104.769
mtp_fc,112,109.686
mtp_fc,128,111.094
mtp_fc,144,119.307
mtp_fc,160,114.646
mtp_fc,176,114.784
mtp_fc,192,111.425
mtp_fc,208,102.486
mtp_fc,224,102.337
mtp_fc,240,102.432
mtp_fc,256,101.088
mtp_norms,1,50.7307
mtp_norms,2,54.0053
mtp_norms,3,54.528
mtp_norms,4,57.2883
mtp_norms,5,56.7463
mtp_norms,6,56.7247
mtp_norms,7,56.3733
mtp_norms,8,60.9367
mtp_norms,9,60.801
mtp_norms,10,61.494
mtp_norms,11,62.09
mtp_norms,12,61.1073
mtp_norms,13,61.2577
mtp_norms,14,60.991
mtp_norms,15,60.9947
mtp_norms,16,72.31
mtp_norms,20,74.015
mtp_norms,24,72.757
mtp_norms,28,73.1443
mtp_norms,32,73.6207
mtp_norms,36,74.068
mtp_norms,40,75.476
mtp_norms,44,76.4573
mtp_norms,48,77.184
mtp_norms,52,77.5577
mtp_norms,56,77.9733
mtp_norms,60,78.251
mtp_norms,64,79.275
mtp_norms,80,80.6833
mtp_norms,96,82.399
mtp_norms,112,84.6203
mtp_norms,128,87.4673
mtp_norms,144,89.9717
mtp_norms,160,90.986
mtp_norms,176,92.417
mtp_norms,192,93.4513
mtp_norms,208,95.0293
mtp_norms,224,99.8627
mtp_norms,240,107.147
mtp_norms,256,103.906
