layer,tokens,time_us
act_fn,1,8.29575
act_fn,2,12.5042
act_fn,3,11.4797
act_fn,4,12.5123
act_fn,5,12.632
act_fn,6,12.6963
act_fn,7,12.7118
act_fn,8,12.6955
act_fn,9,12.8238
act_fn,10,12.7845
act_fn,11,12.7763
act_fn,12,12.8235
act_fn,13,12.8643
act_fn,14,11.8397
act_fn,15,12.8085
act_fn,16,12.7995
act_fn,20,12.8002
act_fn,24,12.864
act_fn,28,12.8322
act_fn,32,12.9357
act_fn,36,12.96
act_fn,40,12.9597
act_fn,44,11.2
act_fn,48,13.1517
act_fn,52,13.1998
act_fn,56,13.184
act_fn,60,13.2397
act_fn,64,13.296
act_fn,80,13.3033
act_fn,96,13.4078
act_fn,112,13.8637
act_fn,128,14.072
act_fn,144,13.3442
act_fn,160,13.4722
act_fn,176,13.7927
act_fn,192,18.1762
act_fn,208,19.208
act_fn,224,19.1442
act_fn,240,16.6077
act_fn,256,14.016
act_fn,272,19
act_fn,288,19.056
act_fn,304,18.9195
act_fn,320,19.1197
act_fn,336,19.0963
act_fn,352,19.232
act_fn,368,19.457
act_fn,384,24.272
act_fn,400,24.944
act_fn,416,25.104
act_fn,432,25.0723
act_fn,448,25.3042
act_fn,464,25.648
act_fn,480,23.8963
act_fn,496,24.1445
act_fn,512,24.4558
act_fn,528,25.7283
act_fn,544,26.1357
act_fn,560,28.7197
act_fn,576,31.3843
act_fn,592,31.9763
act_fn,608,31.736
act_fn,624,31.9845
act_fn,640,32.3837
act_fn,656,31.8715
act_fn,672,32.0965
act_fn,688,32.1517
act_fn,704,32.3998
act_fn,720,32.5755
act_fn,736,32.8167
act_fn,752,33.1442
act_fn,768,36.5035
act_fn,784,36.904
act_fn,800,37.2805
act_fn,816,37.624
act_fn,832,36.8162
act_fn,848,31.8395
act_fn,864,32.064
act_fn,880,32.2645
act_fn,896,32.5598
act_fn,912,41.7843
act_fn,928,42.1757
act_fn,944,40.8962
act_fn,960,41.5682
act_fn,976,42.408
act_fn,992,43.1842
act_fn,1008,44.456
act_fn,1024,45.3038
act_fn,1040,44.2638
act_fn,1056,44.6
act_fn,1072,44.832
act_fn,1088,45.0078
act_fn,1104,45.2082
act_fn,1120,45.6167
act_fn,1136,48.032
act_fn,1152,48.6562
act_fn,1168,49.216
act_fn,1184,49.736
act_fn,1200,49.8078
act_fn,1216,50.456
act_fn,1232,50.824
act_fn,1248,51.9605
act_fn,1264,51.8885
act_fn,1280,52.1043
act_fn,1296,68.832
act_fn,1312,71.2085
act_fn,1328,72.1927
act_fn,1344,73.7205
act_fn,1360,74.3923
act_fn,1376,75.8958
act_fn,1392,77.9605
act_fn,1408,78.8963
act_fn,1424,62.464
act_fn,1440,59.0325
act_fn,1456,59.8077
act_fn,1472,60.4002
act_fn,1488,60.4723
act_fn,1504,61.272
act_fn,1520,62.376
act_fn,1536,62.8638
act_fn,1552,92.096
act_fn,1568,93.2405
act_fn,1584,93.0802
act_fn,1600,94.041
act_fn,1616,96.2883
act_fn,1632,97.7842
act_fn,1648,99.192
act_fn,1664,99.2955
act_fn,1680,69.112
act_fn,1696,67.0563
act_fn,1712,69.4085
act_fn,1728,69.7125
act_fn,1744,69.9838
act_fn,1760,69.768
act_fn,1776,71.2637
act_fn,1792,72.1118
act_fn,1808,120.36
act_fn,1824,125.272
act_fn,1840,127.016
act_fn,1856,127.785
act_fn,1872,129.28
act_fn,1888,129.608
act_fn,1904,131.561
act_fn,1920,132.416
act_fn,1936,136.521
act_fn,1952,137.368
act_fn,1968,138.768
act_fn,1984,139.544
act_fn,2000,143.712
act_fn,2016,144.76
act_fn,2032,146.288
act_fn,2048,147.008
attn_glue,1,29.119
attn_glue,2,27.613
attn_glue,3,28.482
attn_glue,4,28.928
attn_glue,5,28.641
attn_glue,6,28.672
attn_glue,7,28.673
attn_glue,8,28.48
attn_glue,9,28.992
attn_glue,10,28.702
attn_glue,11,28.67
attn_glue,12,28.576
attn_glue,13,28.768
attn_glue,14,28.702
attn_glue,15,28.738
attn_glue,16,28.542
attn_glue,20,27.805
attn_glue,24,27.874
attn_glue,28,28.097
attn_glue,32,27.712
attn_glue,36,27.712
attn_glue,40,27.586
attn_glue,44,27.68
attn_glue,48,27.774
attn_glue,52,27.806
attn_glue,56,27.773
attn_glue,60,27.84
attn_glue,64,27.68
attn_glue,80,28.384
attn_glue,96,28.609
attn_glue,112,29.791
attn_glue,128,29.889
attn_glue,144,30.306
attn_glue,160,30.369
attn_glue,176,30.433
attn_glue,192,31.074
attn_glue,208,31.008
attn_glue,224,32.257
attn_glue,240,32.453
attn_glue,256,31.715
attn_glue,272,31.939
attn_glue,288,33.085
attn_glue,304,32.096
attn_glue,320,33.537
attn_glue,336,32.771
attn_glue,352,32.995
attn_glue,368,35.104
attn_glue,384,36.447
attn_glue,400,35.997
attn_glue,416,35.007
attn_glue,432,36.674
attn_glue,448,36.895
attn_glue,464,36.446
attn_glue,480,35.907
attn_glue,496,36.994
attn_glue,512,37.79
attn_glue,528,35.454
attn_glue,544,35.585
attn_glue,560,38.975
attn_glue,576,37.216
attn_glue,592,37.539
attn_glue,608,37.38
attn_glue,624,36.224
attn_glue,640,37.122
attn_glue,656,37.376
attn_glue,672,37.664
attn_glue,688,37.438
attn_glue,704,38.628
attn_glue,720,39.36
attn_glue,736,39.137
attn_glue,752,38.497
attn_glue,768,39.007
attn_glue,784,39.84
attn_glue,800,40.064
attn_glue,816,40.545
attn_glue,832,41.054
attn_glue,848,40.61
attn_glue,864,40.864
attn_glue,880,40.896
attn_glue,896,41.184
attn_glue,912,41.12
attn_glue,928,41.984
attn_glue,944,42.144
attn_glue,960,41.889
attn_glue,976,43.169
attn_glue,992,42.498
attn_glue,1008,42.849
attn_glue,1024,42.786
attn_glue,1040,43.777
attn_glue,1056,43.81
attn_glue,1072,43.806
attn_glue,1088,44.223
attn_glue,1104,44.129
attn_glue,1120,43.937
attn_glue,1136,44.319
attn_glue,1152,45.089
attn_glue,1168,46.305
attn_glue,1184,48.478
attn_glue,1200,46.56
attn_glue,1216,47.902
attn_glue,1232,47.968
attn_glue,1248,47.999
attn_glue,1264,48.352
attn_glue,1280,47.679
attn_glue,1296,49.791
attn_glue,1312,51.359
attn_glue,1328,50.912
attn_glue,1344,50.593
attn_glue,1360,50.496
attn_glue,1376,52.19
attn_glue,1392,50.53
attn_glue,1408,52.191
attn_glue,1424,51.839
attn_glue,1440,52.003
attn_glue,1456,52.418
attn_glue,1472,52.191
attn_glue,1488,52.801
attn_glue,1504,52.319
attn_glue,1520,53.443
attn_glue,1536,53.248
attn_glue,1552,53.345
attn_glue,1568,54.081
attn_glue,1584,54.144
attn_glue,1600,52.672
attn_glue,1616,53.473
attn_glue,1632,51.681
attn_glue,1648,54.399
attn_glue,1664,53.921
attn_glue,1680,57.983
attn_glue,1696,59.04
attn_glue,1712,59.135
attn_glue,1728,60.03
attn_glue,1744,60.032
attn_glue,1760,59.133
attn_glue,1776,59.649
attn_glue,1792,60.253
attn_glue,1808,59.359
attn_glue,1824,59.81
attn_glue,1840,60.575
attn_glue,1856,59.999
attn_glue,1872,61.184
attn_glue,1888,60.802
attn_glue,1904,61.502
attn_glue,1920,62.592
attn_glue,1936,58.272
attn_glue,1952,58.238
attn_glue,1968,56.897
attn_glue,1984,57.856
attn_glue,2000,59.551
attn_glue,2016,58.718
attn_glue,2032,59.552
attn_glue,2048,59.236
down_proj,1,189.441
down_proj,2,191.288
down_proj,3,191.233
down_proj,4,191.24
down_proj,5,191.137
down_proj,6,192.137
down_proj,7,192.041
down_proj,8,192
down_proj,9,199.105
down_proj,10,199.856
down_proj,11,200.513
down_proj,12,199.657
down_proj,13,200.464
down_proj,14,201.344
down_proj,15,201.28
down_proj,16,199.801
down_proj,20,197.68
down_proj,24,198.848
down_proj,28,199.257
down_proj,32,198.952
down_proj,36,209.409
down_proj,40,208.496
down_proj,44,209.569
down_proj,48,209.705
down_proj,52,209.944
down_proj,56,210.153
down_proj,60,210.416
down_proj,64,210.896
down_proj,80,208.786
down_proj,96,211.369
down_proj,112,229.88
down_proj,128,229.576
down_proj,144,240.672
down_proj,160,240.24
down_proj,176,257.072
down_proj,192,257.32
down_proj,208,258.489
down_proj,224,258.985
down_proj,240,259.768
down_proj,256,261.888
down_proj,272,311.145
down_proj,288,312.369
down_proj,304,311.737
down_proj,320,312.248
down_proj,336,312.48
down_proj,352,312.041
down_proj,368,312.416
down_proj,384,313.32
down_proj,400,420.392
down_proj,416,422.28
down_proj,432,415.201
down_proj,448,414.792
down_proj,464,416.632
down_proj,480,418.393
down_proj,496,418.848
down_proj,512,419.93
down_proj,528,525.697
down_proj,544,525.352
down_proj,560,525.545
down_proj,576,533.312
down_proj,592,532.736
down_proj,608,532.552
down_proj,624,533.936
down_proj,640,533.145
down_proj,656,561.721
down_proj,672,564.121
down_proj,688,563.705
down_proj,704,562.8
down_proj,720,562.64
down_proj,736,563.761
down_proj,752,562.497
down_proj,768,565.04
down_proj,784,639.009
down_proj,800,640.353
down_proj,816,640.025
down_proj,832,640.577
down_proj,848,642.913
down_proj,864,643.889
down_proj,880,642.889
down_proj,896,644.216
down_proj,912,773.993
down_proj,928,774.977
down_proj,944,774.312
down_proj,960,775.985
down_proj,976,776.176
down_proj,992,777.018
down_proj,1008,778.666
down_proj,1024,780.273
down_proj,1040,818.026
down_proj,1056,818.25
down_proj,1072,818.569
down_proj,1088,817.001
down_proj,1104,819.426
down_proj,1120,819.77
down_proj,1136,820.616
down_proj,1152,821.129
down_proj,1168,997.354
down_proj,1184,997.082
down_proj,1200,998.139
down_proj,1216,999.329
down_proj,1232,997.954
down_proj,1248,1000.77
down_proj,1264,1000.99
down_proj,1280,1003.89
down_proj,1296,1018.74
down_proj,1312,1018.24
down_proj,1328,1018.65
down_proj,1344,1019.97
down_proj,1360,1020.61
down_proj,1376,1022.67
down_proj,1392,1023.62
down_proj,1408,1023.44
down_proj,1424,1081.8
down_proj,1440,1083.63
down_proj,1456,1086.06
down_proj,1472,1085.72
down_proj,1488,1086.93
down_proj,1504,1074.53
down_proj,1520,1088.05
down_proj,1536,1088.94
down_proj,1552,1177.5
down_proj,1568,1184.43
down_proj,1584,1176.73
down_proj,1600,1170.72
down_proj,1616,1178.47
down_proj,1632,1176.76
down_proj,1648,1178.33
down_proj,1664,1154.99
down_proj,1680,1179.35
down_proj,1696,1202.3
down_proj,1712,1199.38
down_proj,1728,1198.51
down_proj,1744,1200.07
down_proj,1760,1171.08
down_proj,1776,1199.38
down_proj,1792,1201.63
down_proj,1808,1319.38
down_proj,1824,1307.16
down_proj,1840,1311.65
down_proj,1856,1299.4
down_proj,1872,1319.67
down_proj,1888,1318.9
down_proj,1904,1336.6
down_proj,1920,1350.25
down_proj,1936,1488.56
down_proj,1952,1473.29
down_proj,1968,1519.97
down_proj,1984,1498.73
down_proj,2000,1495.4
down_proj,2016,1500.12
down_proj,2032,1517.85
down_proj,2048,1521.14
embedding,1,9.824
embedding,2,10.688
embedding,3,11.231
embedding,4,11.967
embedding,5,12.991
embedding,6,13.792
embedding,7,14.432
embedding,8,14.272
embedding,9,16.256
embedding,10,16.959
embedding,11,17.632
embedding,12,18.272
embedding,13,19.329
embedding,14,20.064
embedding,15,20.544
embedding,16,20.575
embedding,20,9.472
embedding,24,8.768
embedding,28,9.57
embedding,32,8.705
embedding,36,9.376
embedding,40,8.895
embedding,44,9.504
embedding,48,9.12
embedding,52,9.696
embedding,56,9.025
embedding,60,9.792
embedding,64,9.119
embedding,80,9.824
embedding,96,10.047
embedding,112,10.56
embedding,128,11.008
embedding,144,12.352
embedding,160,12.672
embedding,176,13.027
embedding,192,13.44
embedding,208,13.568
embedding,224,13.375
embedding,240,13.504
embedding,256,13.632
embedding,272,14.813
embedding,288,14.656
embedding,304,15.008
embedding,320,14.977
embedding,336,15.232
embedding,352,15.264
embedding,368,15.486
embedding,384,15.713
embedding,400,16.736
embedding,416,16.864
embedding,432,16.991
embedding,448,16.927
embedding,464,16.926
embedding,480,17.408
embedding,496,17.314
embedding,512,17.441
embedding,528,17.407
embedding,544,17.536
embedding,560,17.697
embedding,576,17.858
embedding,592,18.016
embedding,608,18.111
embedding,624,18.303
embedding,640,18.335
embedding,656,18.656
embedding,672,18.688
embedding,688,18.848
embedding,704,19.134
embedding,720,19.072
embedding,736,19.232
embedding,752,19.521
embedding,768,19.808
embedding,784,19.774
embedding,800,19.744
embedding,816,19.905
embedding,832,20
embedding,848,20.288
embedding,864,20.545
embedding,880,20.576
embedding,896,20.736
embedding,912,20.897
embedding,928,20.961
embedding,944,20.958
embedding,960,20.767
embedding,976,20.992
embedding,992,20.797
embedding,1008,20.992
embedding,1024,21.536
embedding,1040,21.567
embedding,1056,21.792
embedding,1072,22.176
embedding,1088,22.304
embedding,1104,22.367
embedding,1120,22.272
embedding,1136,22.785
embedding,1152,22.848
embedding,1168,22.945
embedding,1184,23.072
embedding,1200,23.584
embedding,1216,23.455
embedding,1232,23.327
embedding,1248,24.064
embedding,1264,24.223
embedding,1280,23.936
embedding,1296,23.872
embedding,1312,24.16
embedding,1328,24.577
embedding,1344,24.32
embedding,1360,24.863
embedding,1376,24.737
embedding,1392,24.992
embedding,1408,25.184
embedding,1424,25.055
embedding,1440,25.536
embedding,1456,26.176
embedding,1472,25.952
embedding,1488,26.208
embedding,1504,26.462
embedding,1520,26.368
embedding,1536,26.178
embedding,1552,27.136
embedding,1568,26.72
embedding,1584,25.857
embedding,1600,25.95
embedding,1616,26.177
embedding,1632,26.336
embedding,1648,27.904
embedding,1664,27.777
embedding,1680,28.352
embedding,1696,26.464
embedding,1712,26.592
embedding,1728,26.496
embedding,1744,26.945
embedding,1760,26.657
embedding,1776,27.263
embedding,1792,27.008
embedding,1808,27.104
embedding,1824,29.087
embedding,1840,29.407
embedding,1856,29.087
embedding,1872,29.12
embedding,1888,29.344
embedding,1904,29.119
embedding,1920,29.758
embedding,1936,30.432
embedding,1952,29.758
embedding,1968,30.687
embedding,1984,30.272
embedding,2000,30.786
embedding,2016,31.424
embedding,2032,30.976
embedding,2048,31.552
final_layernorm,1,18.6563
final_layernorm,2,20.939
final_layernorm,3,20.8747
final_layernorm,4,21.8987
final_layernorm,5,21.814
final_layernorm,6,21.302
final_layernorm,7,21.4517
final_layernorm,8,22.902
final_layernorm,9,22.9013
final_layernorm,10,23.0827
final_layernorm,11,23.136
final_layernorm,12,23.1573
final_layernorm,13,23.572
final_layernorm,14,23.787
final_layernorm,15,24.2033
final_layernorm,16,27.1353
final_layernorm,20,27.6803
final_layernorm,24,27.4877
final_layernorm,28,28.1723
final_layernorm,32,27.796
final_layernorm,36,28.3933
final_layernorm,40,28.8217
final_layernorm,44,29.1947
final_layernorm,48,29.3007
final_layernorm,52,29.471
final_layernorm,56,29.4513
final_layernorm,60,30.152
