layer,prefill_tokens,n_decode,time_us
gdn_conv_decode,0,1,3.53033
gdn_conv_decode,0,2,7.18933
gdn_conv_decode,0,4,7.03933
gdn_conv_decode,0,8,6.699
gdn_conv_decode,0,16,8.075
gdn_conv_decode,0,32,9.13067
gdn_conv_decode,0,64,11.8497
gdn_conv_decode,0,128,19.1683
gdn_conv_decode,0,256,30.8057
gdn_conv_prefill,16,0,4.459
gdn_conv_prefill,16,1,9.57867
gdn_conv_prefill,16,2,9.621
gdn_conv_prefill,16,4,9.482
gdn_conv_prefill,16,8,9.34433
gdn_conv_prefill,16,16,10.3783
gdn_conv_prefill,16,32,11.7443
gdn_conv_prefill,16,64,14.944
gdn_conv_prefill,16,128,21.216
gdn_conv_prefill,32,0,4.38367
gdn_conv_prefill,32,1,9.35433
gdn_conv_prefill,32,2,9.48233
gdn_conv_prefill,32,4,9.69667
gdn_conv_prefill,32,8,9.41833
gdn_conv_prefill,32,16,10.923
gdn_conv_prefill,32,32,11.5733
gdn_conv_prefill,32,64,15.05
gdn_conv_prefill,32,128,21.0873
gdn_conv_prefill,64,0,4.56567
gdn_conv_prefill,64,1,9.45067
gdn_conv_prefill,64,2,9.66367
gdn_conv_prefill,64,4,9.418
gdn_conv_prefill,64,8,9.86667
gdn_conv_prefill,64,16,10.6777
gdn_conv_prefill,64,32,11.659
gdn_conv_prefill,64,64,15.0083
gdn_conv_prefill,64,128,21.824
gdn_conv_prefill,65,0,4.565
gdn_conv_prefill,65,1,9.36567
gdn_conv_prefill,65,2,9.44067
gdn_conv_prefill,65,4,9.472
gdn_conv_prefill,65,8,9.64267
gdn_conv_prefill,65,16,10.7307
gdn_conv_prefill,65,32,11.8823
gdn_conv_prefill,65,64,15.296
gdn_conv_prefill,65,128,21.5573
gdn_conv_prefill,128,0,5.077
gdn_conv_prefill,128,1,9.504
gdn_conv_prefill,128,2,9.58933
gdn_conv_prefill,128,4,9.504
gdn_conv_prefill,128,8,9.67433
gdn_conv_prefill,128,16,10.8913
gdn_conv_prefill,128,32,11.9043
gdn_conv_prefill,128,64,15.243
gdn_conv_prefill,128,128,22.72
gdn_conv_prefill,129,0,5.034
gdn_conv_prefill,129,1,9.42933
gdn_conv_prefill,129,2,9.62067
gdn_conv_prefill,129,4,9.55733
gdn_conv_prefill,129,8,9.35467
gdn_conv_prefill,129,16,10.698
gdn_conv_prefill,129,32,11.9037
gdn_conv_prefill,129,64,15.4023
gdn_conv_prefill,129,128,21.686
gdn_conv_prefill,256,0,5.87733
gdn_conv_prefill,256,1,9.48333
gdn_conv_prefill,256,2,9.76
gdn_conv_prefill,256,4,9.57867
gdn_conv_prefill,256,8,9.91
gdn_conv_prefill,256,16,10.6027
gdn_conv_prefill,256,32,12.4153
gdn_conv_prefill,256,64,15.3813
