layer,sequences,time_us
lm_head,1,7868.56
lm_head,2,7660.34
lm_head,3,7677.15
lm_head,4,7684.04
lm_head,5,7708.53
lm_head,6,7707.37
lm_head,7,7727.63
lm_head,8,7736.08
lm_head,9,7730.8
lm_head,10,7753.76
lm_head,11,7754.7
lm_head,12,7763.05
lm_head,13,7790.03
lm_head,14,7793.58
lm_head,15,7792.24
lm_head,16,7802.79
lm_head,20,7912.53
lm_head,24,7922.99
lm_head,28,7929.81
lm_head,32,7963.5
lm_head,36,7908.69
lm_head,40,7906.48
lm_head,44,7929.7
lm_head,48,7961.01
lm_head,52,7951.79
lm_head,56,7956.49
lm_head,60,7950.35
lm_head,64,7958.42
lm_head,80,8166.06
lm_head,96,8188.34
lm_head,112,8224.43
lm_head,128,8263.4
lm_head,144,9991.51
lm_head,160,10100.8
lm_head,176,10219.3
lm_head,192,10326.6
lm_head,208,10462.6
lm_head,224,10603.7
lm_head,240,10694.2
lm_head,256,10827
sampler,1,101.856
sampler,2,107.046
sampler,3,109.926
sampler,4,106.656
sampler,5,125.568
sampler,6,133.341
sampler,7,135.747
sampler,8,136.317
sampler,9,142.746
sampler,10,155.808
sampler,11,159.264
sampler,12,163.386
sampler,13,173.184
sampler,14,178.179
sampler,15,189.597
sampler,16,190.272
sampler,20,228
sampler,24,254.784
sampler,28,283.491
sampler,32,307.887
sampler,36,334.752
sampler,40,365.76
sampler,44,387.363
sampler,48,424.707
sampler,52,451.023
sampler,56,479.994
sampler,60,534.816
sampler,64,574.944
sampler,80,768.48
sampler,96,927.261
sampler,112,1158.63
sampler,128,1404.86
sampler,144,1633.45
sampler,160,2009
sampler,176,2315.81
sampler,192,2570.02
sampler,208,2999.05
sampler,224,3313.07
sampler,240,3671.92
sampler,256,3921.13
