layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,0,0,1,16,1,100.235
attention,0,0,1,16,2,148.236
attention,0,0,1,16,3,220.065
attention,0,0,1,16,5,306.828
attention,0,0,1,16,9,518.455
attention,0,0,1,32,1,99.8723
attention,0,0,1,32,2,147.989
attention,0,0,1,32,3,218.646
attention,0,0,1,32,5,307.223
attention,0,0,1,32,9,521.859
attention,0,0,1,64,1,99.3493
attention,0,0,1,64,2,145.654
attention,0,0,1,64,3,216.448
attention,0,0,1,64,5,302.295
attention,0,0,1,64,9,511.117
attention,0,0,1,128,1,97.4083
attention,0,0,1,128,2,142.818
attention,0,0,1,128,3,211.243
attention,0,0,1,128,5,296.193
attention,0,0,1,128,9,501.4
attention,0,0,1,256,1,94.0477
attention,0,0,1,256,2,137.355
attention,0,0,1,256,3,201.344
attention,0,0,1,256,5,280.257
attention,0,0,1,256,9,470.775
attention,0,0,1,512,1,86.5817
attention,0,0,1,512,2,121.024
attention,0,0,1,512,3,175.797
attention,0,0,1,512,5,245.516
attention,0,0,1,512,9,408.364
attention,0,0,1,1024,1,72.0743
attention,0,0,1,1024,2,95.6917
attention,0,0,1,1024,3,133.089
attention,0,0,1,1024,5,182.071
attention,0,0,1,1024,9,296.652
attention,0,0,1,2048,1,52.1277
attention,0,0,1,2048,2,66.337
attention,0,0,1,2048,3,67.883
attention,0,0,1,2048,5,89.8993
attention,0,0,1,2048,9,137.654
attention,0,0,1,4096,1,52.1173
attention,0,0,1,4096,2,68.3417
attention,0,0,1,4096,3,67.3383
attention,0,0,1,4096,5,90.0363
attention,0,0,1,4096,9,132.993
attention,0,0,1,8192,1,52.3953
attention,0,0,1,8192,2,67.7973
attention,0,0,1,8192,3,67.5093
attention,0,0,1,8192,5,91.425
attention,0,0,1,8192,9,132.576
attention,0,0,1,16384,1,52.2667
attention,0,0,1,16384,2,67.3713
attention,0,0,1,16384,3,67.2427
attention,0,0,1,16384,5,90.2937
attention,0,0,1,16384,9,133.59
attention,0,0,1,32768,1,52.533
attention,0,0,1,32768,2,67.8727
attention,0,0,1,32768,3,67.361
attention,0,0,1,32768,5,89.579
attention,0,0,1,32768,9,132.417
attention,0,0,1,65536,1,52.5233
attention,0,0,1,65536,2,67.68
attention,0,0,1,65536,3,67.562
attention,0,0,1,65536,5,90.923
attention,0,0,1,65536,9,132.715
attention,0,0,1,131072,1,52.79
attention,0,0,1,131072,2,68.2027
attention,0,0,1,131072,3,69.035
attention,0,0,1,131072,5,90.699
attention,0,0,1,131072,9,137.005
attention,0,0,1,163830,1,52.8223
attention,0,0,1,163830,2,68.0427
attention,0,0,1,163830,3,69.1523
attention,0,0,1,163830,5,90.6143
attention,0,0,1,163830,9,136.619
attention,0,0,2,16,1,157.452
attention,0,0,2,16,2,262.124
attention,0,0,2,16,3,387.158
attention,0,0,2,16,5,573.997
attention,0,0,2,16,9,1014.71
attention,0,0,2,32,1,157.505
attention,0,0,2,32,2,261.985
attention,0,0,2,32,3,392.982
attention,0,0,2,32,5,578.67
attention,0,0,2,32,9,1010.66
attention,0,0,2,64,1,155.052
attention,0,0,2,64,2,258.263
attention,0,0,2,64,3,382.614
attention,0,0,2,64,5,563.895
attention,0,0,2,64,9,990.258
attention,0,0,2,128,1,151.905
attention,0,0,2,128,2,250.391
attention,0,0,2,128,3,372.246
attention,0,0,2,128,5,553.324
attention,0,0,2,128,9,962.98
attention,0,0,2,256,1,145.834
attention,0,0,2,256,2,238.167
attention,0,0,2,256,3,346.114
attention,0,0,2,256,5,522.348
attention,0,0,2,256,9,903.354
attention,0,0,2,512,1,128.566
attention,0,0,2,512,2,207.574
attention,0,0,2,512,3,309.259
attention,0,0,2,512,5,452.92
attention,0,0,2,512,9,785.997
attention,0,0,2,1024,1,100.802
attention,0,0,2,1024,2,153.536
attention,0,0,2,1024,3,221.046
attention,0,0,2,1024,5,324.619
attention,0,0,2,1024,9,552.334
attention,0,0,2,2048,1,74.731
attention,0,0,2,2048,2,67.872
attention,0,0,2,2048,3,99.275
attention,0,0,2,2048,5,136.395
attention,0,0,2,2048,9,162.529
attention,0,0,2,4096,1,74.6027
attention,0,0,2,4096,2,68.3847
attention,0,0,2,4096,3,97.2693
attention,0,0,2,4096,5,137.11
attention,0,0,2,4096,9,162.252
attention,0,0,2,8192,1,75.3607
attention,0,0,2,8192,2,68.438
attention,0,0,2,8192,3,97.259
attention,0,0,2,8192,5,136.001
attention,0,0,2,8192,9,162.273
attention,0,0,2,16384,1,75.5517
attention,0,0,2,16384,2,67.735
attention,0,0,2,16384,3,97.184
attention,0,0,2,16384,5,136.629
attention,0,0,2,16384,9,162.198
attention,0,0,2,32768,1,75.659
attention,0,0,2,32768,2,67.904
attention,0,0,2,32768,3,96.9073
attention,0,0,2,32768,5,136.577
attention,0,0,2,32768,9,162.667
attention,0,0,2,65536,1,75.8197
attention,0,0,2,65536,2,69.59
attention,0,0,2,65536,3,98.2613
attention,0,0,2,65536,5,136.929
attention,0,0,2,65536,9,163.489
attention,0,0,2,131072,1,76.4483
attention,0,0,2,131072,2,68.875
attention,0,0,2,131072,3,97.1957
attention,0,0,2,131072,5,138.89
attention,0,0,2,131072,9,165.526
attention,0,0,2,163830,1,76.8747
attention,0,0,2,163830,2,68.5443
attention,0,0,2,163830,3,98.5493
attention,0,0,2,163830,5,140.598
attention,0,0,2,163830,9,166.241
attention,0,0,4,16,1,280.119
attention,0,0,4,16,2,467.246
attention,0,0,4,16,3,736.15
attention,0,0,4,16,5,1113.99
attention,0,0,4,16,9,1991.99
attention,0,0,4,32,1,279.98
attention,0,0,4,32,2,478.017
attention,0,0,4,32,3,743.683
attention,0,0,4,32,5,1103.23
