layer,tokens,time_us
act_fn,1,4.09967
act_fn,2,4.20967
act_fn,3,4.23833
act_fn,4,4.29856
act_fn,5,4.26678
act_fn,6,4.31289
act_fn,7,4.25278
act_fn,8,4.20967
act_fn,9,4.185
act_fn,10,4.19578
act_fn,11,4.20978
act_fn,12,4.17067
act_fn,13,4.18833
act_fn,14,4.19567
act_fn,15,4.17811
act_fn,16,4.18833
act_fn,20,4.256
act_fn,24,4.17789
act_fn,28,4.25267
act_fn,32,4.24889
act_fn,36,4.32722
act_fn,40,4.31978
act_fn,44,4.35189
act_fn,48,4.29156
act_fn,52,4.27356
act_fn,56,4.29522
act_fn,60,4.25967
act_fn,64,4.29856
act_fn,80,4.51567
act_fn,96,4.54056
act_fn,112,4.55456
act_fn,128,4.71489
act_fn,144,6.07989
act_fn,160,6.21178
act_fn,176,6.45322
act_fn,192,9.14867
act_fn,208,9.55733
act_fn,224,9.77767
act_fn,240,10.0159
act_fn,256,10.1476
act_fn,272,11.3456
act_fn,288,11.6943
act_fn,304,12.0287
act_fn,320,12.3698
act_fn,336,13.1092
act_fn,352,13.8596
act_fn,368,14.1972
act_fn,384,14.7736
act_fn,400,17.0776
act_fn,416,17.4864
act_fn,432,17.7672
act_fn,448,18.105
act_fn,464,18.3861
act_fn,480,19.2641
act_fn,496,19.9967
act_fn,512,20.4624
act_fn,528,21.7814
act_fn,544,22.4248
act_fn,560,23.0827
act_fn,576,25.1448
act_fn,592,25.3584
act_fn,608,26.2293
act_fn,624,26.5709
act_fn,640,27.3318
act_fn,656,28.2527
act_fn,672,28.9389
act_fn,688,30.002
act_fn,704,30.9799
act_fn,720,31.8259
act_fn,736,32.7433
act_fn,752,34.0551
act_fn,768,35.4597
act_fn,784,36.4233
act_fn,800,37.252
act_fn,816,38.322
act_fn,832,38.898
act_fn,848,40.2027
act_fn,864,41.2233
act_fn,880,42.3221
act_fn,896,43.5343
act_fn,912,43.9326
act_fn,928,45.3369
act_fn,944,46.6527
act_fn,960,47.5272
act_fn,976,49.3441
act_fn,992,50.3468
act_fn,1008,51.3318
act_fn,1024,52.4731
act_fn,1040,53.7568
act_fn,1056,55.2642
act_fn,1072,56.3343
act_fn,1088,57.5506
act_fn,1104,58.8803
act_fn,1120,60.4944
act_fn,1136,61.6467
act_fn,1152,63.4777
act_fn,1168,64.5621
act_fn,1184,65.6323
act_fn,1200,66.8626
act_fn,1216,68.2599
act_fn,1232,69.547
act_fn,1248,70.8696
act_fn,1264,71.4563
act_fn,1280,73.0741
act_fn,1296,74.3824
act_fn,1312,75.6413
act_fn,1328,77.433
act_fn,1344,79.1331
