ep,tokens,activated_experts,time_us
1,1,8,84.3285
1,2,8,93.7177
1,2,16,159.564
1,4,8,95.9096
1,4,16,163.315
1,4,32,321.353
1,8,8,91.4669
1,8,16,159.686
1,8,32,314.265
1,8,64,588.738
1,16,8,92.4513
1,16,16,160.694
1,16,32,317.591
1,16,64,587.146
1,32,8,118.393
1,32,16,181.923
1,32,32,307.684
1,32,64,576.151
1,64,8,105.547
1,64,16,171.977
1,64,32,302.364
1,64,64,556.999
1,128,8,109.566
1,128,16,175.148
1,128,32,305.657
1,128,64,561.021
1,256,8,136.56
1,256,16,192.417
1,256,32,315.962
1,256,64,573.096
1,512,8,213.628
1,512,16,229.294
1,512,32,337.391
1,512,64,582.259
1,1024,8,344.348
1,1024,16,352.839
1,1024,32,425.095
1,1024,64,669.608
1,2048,8,663.064
1,2048,16,662.725
1,2048,32,672.331
1,2048,64,817.672
