layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,0,0.0,1,16,1,94.849
attention,0,0.0,1,16,2,148.865
attention,0,0.0,1,16,3,205.835
attention,0,0.0,1,16,5,306.605
attention,0,0.0,1,16,9,518.126
attention,0,0.0,1,32,1,94.561
attention,0,0.0,1,32,2,148.449
attention,0,0.0,1,32,3,204.94
attention,0,0.0,1,32,5,307.703
attention,0,0.0,1,32,9,522.679
attention,0,0.0,1,64,1,93.6857
attention,0,0.0,1,64,2,146.123
attention,0,0.0,1,64,3,202.508
attention,0,0.0,1,64,5,302.849
attention,0,0.0,1,64,9,510.925
attention,0,0.0,1,128,1,92.299
attention,0,0.0,1,128,2,143.35
attention,0,0.0,1,128,3,197.228
attention,0,0.0,1,128,5,296.246
attention,0,0.0,1,128,9,501.09
attention,0,0.0,1,256,1,88.94
attention,0,0.0,1,256,2,137.835
attention,0,0.0,1,256,3,188.514
attention,0,0.0,1,256,5,280.353
attention,0,0.0,1,256,9,469.825
attention,0,0.0,1,512,1,82.0377
attention,0,0.0,1,512,2,121.185
attention,0,0.0,1,512,3,165.355
attention,0,0.0,1,512,5,246.23
attention,0,0.0,1,512,9,408.086
attention,0,0.0,1,1024,1,68.3957
attention,0,0.0,1,1024,2,95.4993
attention,0,0.0,1,1024,3,124.939
attention,0,0.0,1,1024,5,181.909
attention,0,0.0,1,1024,9,296.226
attention,0,0.0,1,2048,1,50.7947
attention,0,0.0,1,2048,2,67.905
attention,0,0.0,1,2048,3,65.5047
attention,0,0.0,1,2048,5,89.985
attention,0,0.0,1,2048,9,137.655
attention,0,0.0,1,4096,1,50.976
attention,0,0.0,1,4096,2,68.0113
attention,0,0.0,1,4096,3,66.5913
attention,0,0.0,1,4096,5,89.7497
attention,0,0.0,1,4096,9,132.545
attention,0,0.0,1,8192,1,50.955
attention,0,0.0,1,8192,2,66.7837
attention,0,0.0,1,8192,3,65.569
attention,0,0.0,1,8192,5,91.392
attention,0,0.0,1,8192,9,133.088
attention,0,0.0,1,16384,1,51.0307
attention,0,0.0,1,16384,2,66.4527
attention,0,0.0,1,16384,3,65.6427
attention,0,0.0,1,16384,5,90.646
attention,0,0.0,1,16384,9,131.915
attention,0,0.0,1,32768,1,51.2427
attention,0,0.0,1,32768,2,67.894
attention,0,0.0,1,32768,3,66.0483
attention,0,0.0,1,32768,5,89.323
attention,0,0.0,1,32768,9,133.046
attention,0,0.0,1,65536,1,51.6163
attention,0,0.0,1,65536,2,68.4487
attention,0,0.0,1,65536,3,65.952
attention,0,0.0,1,65536,5,90.8373
attention,0,0.0,1,65536,9,133.707
attention,0,0.0,1,131072,1,51.6267
attention,0,0.0,1,131072,2,67.5427
attention,0,0.0,1,131072,3,65.6953
attention,0,0.0,1,131072,5,91.4237
attention,0,0.0,1,131072,9,134.732
attention,0,0.0,1,163830,1,51.9577
attention,0,0.0,1,163830,2,67.4783
attention,0,0.0,1,163830,3,66.6663
attention,0,0.0,1,163830,5,91.2323
attention,0,0.0,1,163830,9,136.534
attention,0,0.0,2,16,1,148.62
attention,0,0.0,2,16,2,262.305
attention,0,0.0,2,16,3,361.185
attention,0,0.0,2,16,5,574.595
attention,0,0.0,2,16,9,1014.53
attention,0,0.0,2,32,1,148.437
attention,0,0.0,2,32,2,261.91
attention,0,0.0,2,32,3,365.719
attention,0,0.0,2,32,5,579.362
attention,0,0.0,2,32,9,1010.33
attention,0,0.0,2,64,1,146.069
attention,0,0.0,2,64,2,258.166
attention,0,0.0,2,64,3,356.205
attention,0,0.0,2,64,5,563.939
attention,0,0.0,2,64,9,988.047
attention,0,0.0,2,128,1,143.211
attention,0,0.0,2,128,2,250.679
attention,0,0.0,2,128,3,347.244
attention,0,0.0,2,128,5,552.355
attention,0,0.0,2,128,9,962.586
attention,0,0.0,2,256,1,137.623
attention,0,0.0,2,256,2,238.177
attention,0,0.0,2,256,3,324.546
attention,0,0.0,2,256,5,521.9
attention,0,0.0,2,256,9,904.324
attention,0,0.0,2,512,1,121.141
attention,0,0.0,2,512,2,207.851
attention,0,0.0,2,512,3,287.5
attention,0,0.0,2,512,5,452.001
attention,0,0.0,2,512,9,784.345
attention,0,0.0,2,1024,1,95.6697
attention,0,0.0,2,1024,2,153.771
attention,0,0.0,2,1024,3,205.728
attention,0,0.0,2,1024,5,323.479
attention,0,0.0,2,1024,9,549.87
attention,0,0.0,2,2048,1,72.8227
attention,0,0.0,2,2048,2,69.408
attention,0,0.0,2,2048,3,94.0473
attention,0,0.0,2,2048,5,139.488
attention,0,0.0,2,2048,9,162.519
attention,0,0.0,2,4096,1,72.8323
attention,0,0.0,2,4096,2,67.894
attention,0,0.0,2,4096,3,93.376
attention,0,0.0,2,4096,5,136.63
attention,0,0.0,2,4096,9,162.036
attention,0,0.0,2,8192,1,73.5467
attention,0,0.0,2,8192,2,67.0717
attention,0,0.0,2,8192,3,92.6737
attention,0,0.0,2,8192,5,135.479
attention,0,0.0,2,8192,9,161.889
attention,0,0.0,2,16384,1,74.516
attention,0,0.0,2,16384,2,67.296
attention,0,0.0,2,16384,3,94.4317
attention,0,0.0,2,16384,5,136.672
attention,0,0.0,2,16384,9,162.445
attention,0,0.0,2,32768,1,74.7843
attention,0,0.0,2,32768,2,67.9047
attention,0,0.0,2,32768,3,93.6423
attention,0,0.0,2,32768,5,137.728
attention,0,0.0,2,32768,9,162.391
attention,0,0.0,2,65536,1,74.88
attention,0,0.0,2,65536,2,68.4057
attention,0,0.0,2,65536,3,93.2693
attention,0,0.0,2,65536,5,135.872
attention,0,0.0,2,65536,9,162.849
attention,0,0.0,2,131072,1,75.2753
attention,0,0.0,2,131072,2,68.8323
attention,0,0.0,2,131072,3,94.5817
attention,0,0.0,2,131072,5,139.552
attention,0,0.0,2,131072,9,165.441
attention,0,0.0,2,163830,1,75.776
attention,0,0.0,2,163830,2,69.441
attention,0,0.0,2,163830,3,96.865
attention,0,0.0,2,163830,5,140.31
attention,0,0.0,2,163830,9,167.008
attention,0,0.0,4,16,1,262.625
attention,0,0.0,4,16,2,468.046
attention,0,0.0,4,16,3,684.932
attention,0,0.0,4,16,5,1138.03
attention,0,0.0,4,16,9,1995.36
attention,0,0.0,4,32,1,262.582
attention,0,0.0,4,32,2,479.107
attention,0,0.0,4,32,3,691.3
attention,0,0.0,4,32,5,1127.66
attention,0,0.0,4,32,9,1978.12
attention,0,0.0,4,64,1,258.412
attention,0,0.0,4,64,2,465.666
attention,0,0.0,4,64,3,675.373
attention,0,0.0,4,64,5,1115.42
attention,0,0.0,4,64,9,1954.73
attention,0,0.0,4,128,1,250.892
attention,0,0.0,4,128,2,447.916
attention,0,0.0,4,128,3,658.573
attention,0,0.0,4,128,5,1080.38
