layer,tokens,time_us
act_fn,1,12.4267
act_fn,2,12.6833
act_fn,3,12.7253
act_fn,4,12.8857
act_fn,5,12.8427
act_fn,6,13.046
act_fn,7,12.7787
act_fn,8,12.5437
act_fn,9,12.939
act_fn,10,12.586
act_fn,11,12.533
act_fn,12,12.5863
act_fn,13,12.5553
act_fn,14,12.651
act_fn,15,12.651
act_fn,16,12.608
act_fn,20,12.7253
act_fn,24,12.6823
act_fn,28,12.8427
act_fn,32,12.981
act_fn,36,12.8317
act_fn,40,13.0457
act_fn,44,12.9173
act_fn,48,12.9917
act_fn,52,12.917
act_fn,56,13.0027
act_fn,60,13.1087
act_fn,64,13.1413
act_fn,80,13.4727
act_fn,96,13.6213
act_fn,112,13.728
act_fn,128,14.112
act_fn,144,18.2927
act_fn,160,19.1683
act_fn,176,19.5413
act_fn,192,27.329
act_fn,208,29.0133
act_fn,224,29.6527
act_fn,240,30.5173
act_fn,256,30.8377
act_fn,272,34.731
act_fn,288,35.8083
act_fn,304,36.1703
act_fn,320,38.0053
act_fn,336,39.659
act_fn,352,41.824
act_fn,368,42.5597
act_fn,384,44.555
act_fn,400,51.243
act_fn,416,52.1703
act_fn,432,53.504
act_fn,448,54.24
act_fn,464,56.0213
act_fn,480,57.3543
act_fn,496,59.9043
act_fn,512,61.7063
act_fn,528,65.2053
act_fn,544,67.531
act_fn,560,68.5013
act_fn,576,75.456
act_fn,592,76.064
act_fn,608,78.8373
act_fn,624,80.47
act_fn,640,81.2903
act_fn,656,85.0243
act_fn,672,87.1253
act_fn,688,89.8883
act_fn,704,92.832
act_fn,720,95.819
act_fn,736,98.4533
act_fn,752,101.952
act_fn,768,106.592
act_fn,784,108.938
act_fn,800,111.541
act_fn,816,114.176
act_fn,832,116.641
act_fn,848,120.864
act_fn,864,124.246
act_fn,880,126.902
act_fn,896,130.304
act_fn,912,132.406
act_fn,928,135.637
act_fn,944,140.308
act_fn,960,142.955
act_fn,976,148.213
act_fn,992,151.787
act_fn,1008,153.312
act_fn,1024,157.206
act_fn,1040,161.898
act_fn,1056,165.483
act_fn,1072,169.141
act_fn,1088,173.397
act_fn,1104,176.64
act_fn,1120,180.938
act_fn,1136,184.566
act_fn,1152,189.696
act_fn,1168,194.081
act_fn,1184,196.96
act_fn,1200,200.396
act_fn,1216,205.782
act_fn,1232,209.078
act_fn,1248,212.725
act_fn,1264,214.304
act_fn,1280,219.286
act_fn,1296,223.253
act_fn,1312,229.654
act_fn,1328,232.534
act_fn,1344,237.237
act_fn,1360,241.387
act_fn,1376,244.459
act_fn,1392,244.47
act_fn,1408,249.665
act_fn,1424,253.749
act_fn,1440,255.83
act_fn,1456,261.653
act_fn,1472,263.84
act_fn,1488,269.035
act_fn,1504,272.587
act_fn,1520,275.211
act_fn,1536,279.211
act_fn,1552,283.647
act_fn,1568,286.677
act_fn,1584,289.739
act_fn,1600,292.79
act_fn,1616,296.214
act_fn,1632,298.901
act_fn,1648,301.536
act_fn,1664,304.854
act_fn,1680,311.265
act_fn,1696,316.256
act_fn,1712,316.523
act_fn,1728,320.971
act_fn,1744,324.875
act_fn,1760,327.829
act_fn,1776,330.229
act_fn,1792,334.389
act_fn,1808,338.219
act_fn,1824,343.904
act_fn,1840,349.099
act_fn,1856,349.995
act_fn,1872,355.104
act_fn,1888,358.891
act_fn,1904,365.206
act_fn,1920,365.515
act_fn,1936,369.846
act_fn,1952,374.144
act_fn,1968,377.014
act_fn,1984,378.987
act_fn,2000,384.608
act_fn,2016,386.187
act_fn,2032,391.264
act_fn,2048,395.883
down_proj,1,564.416
down_proj,2,565.589
down_proj,3,565.781
down_proj,4,565.492
down_proj,5,565.888
down_proj,6,564.747
down_proj,7,569.748
down_proj,8,572.778
down_proj,9,550.772
down_proj,10,574.229
down_proj,11,575.072
down_proj,12,574.955
down_proj,13,577.376
down_proj,14,576.949
down_proj,15,578.581
down_proj,16,579.189
down_proj,20,583.669
down_proj,24,585.301
down_proj,28,585.27
down_proj,32,586.357
down_proj,36,590.303
down_proj,40,590.592
down_proj,44,594.315
down_proj,48,597.526
down_proj,52,600.245
down_proj,56,602.922
down_proj,60,607.35
down_proj,64,610.677
down_proj,80,639.883
down_proj,96,650.996
down_proj,112,661.397
down_proj,128,671.253
down_proj,144,467.146
down_proj,160,476.064
down_proj,176,477.92
down_proj,192,476.757
down_proj,208,479.072
down_proj,224,485.408
down_proj,240,487.253
down_proj,256,490.218
down_proj,272,493.642
down_proj,288,497.206
down_proj,304,493.386
