ep,tokens,activated_experts,time_us
1,1,8,84.659
1,2,8,85.0055
1,2,16,149.921
1,4,8,87.3063
1,4,16,152.689
1,4,32,295.313
1,8,8,92.7548
1,8,16,157.58
1,8,32,297.724
1,8,64,587.325
1,16,8,102.774
1,16,16,167.766
1,16,32,303.14
1,16,64,593.277
1,16,128,1136.63
1,32,8,125.089
1,32,16,195.569
1,32,32,329.945
1,32,64,596.179
1,32,128,1118.54
1,32,256,2162.47
1,64,8,135.339
1,64,16,198.721
1,64,32,330.953
1,64,64,583.93
1,64,128,1093.37
1,64,256,2134.82
1,128,8,145.638
1,128,16,221.641
1,128,32,345.516
1,128,64,616.755
1,128,128,1142.19
1,128,256,2176.74
1,256,8,171.966
1,256,16,224.766
1,256,32,347.407
1,256,64,602.074
1,256,128,1113.71
1,256,256,2153.4
1,512,8,238.748
1,512,16,255.518
1,512,32,366.948
1,512,64,611.208
1,512,128,1122.98
1,512,256,2160.65
1,1024,8,439.833
1,1024,16,438.583
1,1024,32,470.4
1,1024,64,685.55
1,1024,128,1171.3
1,1024,256,2209.21
1,2048,8,821.758
1,2048,16,822.247
1,2048,32,820.374
1,2048,64,884.425
1,2048,128,1315.98
1,2048,256,2299.8
2,1,4,51.4907
2,2,4,60.635
2,2,8,91.2481
2,4,4,52.6191
2,4,8,83.4006
2,4,16,147.934
2,8,4,53.8218
2,8,8,85.9174
2,8,16,152.232
2,8,32,289.676
2,16,4,60.3845
2,16,8,92.3199
2,16,16,158.798
2,16,32,312.828
2,16,64,593.603
2,32,4,81.2246
2,32,8,102.264
2,32,16,171.03
2,32,32,313.855
2,32,64,589.707
2,32,128,1129.97
2,64,4,81.1123
2,64,8,112.582
2,64,16,180.42
2,64,32,307.884
2,64,64,562.275
2,64,128,1074.8
2,128,4,88.2483
2,128,8,131.838
2,128,16,199.699
2,128,32,328.791
2,128,64,616.589
2,128,128,1147.65
2,256,4,97.6214
2,256,8,125.094
2,256,16,189.545
2,256,32,320.359
2,256,64,576.002
2,256,128,1086.74
2,512,4,138.819
2,512,8,147.881
2,512,16,202.929
2,512,32,326.01
2,512,64,583.072
2,512,128,1095.44
2,1024,4,242.236
2,1024,8,242.425
2,1024,16,260.689
2,1024,32,371.295
2,1024,64,615.501
2,1024,128,1128.12
2,2048,4,447.832
2,2048,8,449.002
2,2048,16,452.469
2,2048,32,483.73
2,2048,64,699.529
2,2048,128,1186.5
4,1,2,34.5787
4,2,2,46.608
4,2,4,59.7233
4,4,2,46.7522
4,4,4,60.1977
4,4,8,91.5873
4,8,2,38.9334
4,8,4,52.1231
4,8,8,82.7925
4,8,16,148.673
4,16,2,41.4508
4,16,4,55.0855
4,16,8,86.1226
4,16,16,152.065
4,16,32,293.486
4,32,2,55.1228
4,32,4,67.4641
4,32,8,118.681
4,32,16,188.086
4,32,32,310.455
4,32,64,576.813
4,64,2,57.5308
4,64,4,71.6188
4,64,8,103.582
4,64,16,166.771
4,64,32,299.607
4,64,64,554.189
4,128,2,59.6192
4,128,4,69.0462
4,128,8,113.126
4,128,16,194.553
4,128,32,323.172
4,128,64,596.528
4,256,2,71.8298
4,256,4,80.3047
4,256,8,111.657
4,256,16,177.174
4,256,32,307.18
4,256,64,562.448
4,512,2,88.619
4,512,4,90.6993
4,512,8,117.222
4,512,16,181.876
4,512,32,312.164
4,512,64,567.243
4,1024,2,157.566
4,1024,4,155.121
4,1024,8,162.073
4,1024,16,215.857
4,1024,32,339.225
4,1024,64,596.158
4,2048,2,262.505
4,2048,4,265.42
4,2048,8,266.588
4,2048,16,284.193
4,2048,32,392.799
4,2048,64,638.504
8,1,1,27.1118
8,2,1,37.2799
8,2,2,44.7179
8,4,1,41.0618
8,4,2,47.4349
8,4,4,60.9416
8,8,1,41.7121
8,8,2,47.8802
8,8,4,61.1733
8,8,8,92.3361
8,16,1,34.0532
8,16,2,39.2646
8,16,4,53.3682
8,16,8,83.691
8,16,16,149.201
8,32,1,35.4992
8,32,2,42.8053
8,32,4,56.2507
8,32,8,87.0297
8,32,16,160.273
8,32,32,303.964
8,64,1,47.7522
8,64,2,56.7839
8,64,4,70.0487
8,64,8,98.7258
8,64,16,164.607
8,64,32,295.67
8,128,1,39.3255
8,128,2,49.4589
8,128,4,67.3979
8,128,8,106.958
8,128,16,164.828
8,128,32,294.836
8,256,1,53.6538
8,256,2,59.1707
8,256,4,75.3815
8,256,8,106.566
8,256,16,171.963
8,256,32,302.126
8,512,1,65.8326
8,512,2,66.7604
8,512,4,79.1256
8,512,8,109.515
8,512,16,175.31
8,512,32,305.676
8,1024,1,107
8,1024,2,106.814
8,1024,4,112.035
8,1024,8,136.019
8,1024,16,200.649
8,1024,32,330.852
8,2048,1,185.172
8,2048,2,185.977
8,2048,4,184.785
8,2048,8,191.98
8,2048,16,245.092
8,2048,32,368.852
16,1,1,27.1038
16,2,1,36.5067
16,2,2,43.944
16,4,1,40.3467
16,4,2,46.3707
16,4,4,60.2031
16,8,1,41.0562
16,8,2,47.1548
16,8,4,60.2567
16,8,8,91.8748
16,16,1,41.9281
16,16,2,48.4482
16,16,4,61.8884
16,16,8,92.1022
16,16,16,158.059
16,32,1,39.9873
16,32,2,47.5444
16,32,4,66.2801
16,32,8,105.723
16,32,16,157.569
16,64,1,43.1633
16,64,2,51.5601
16,64,4,65.8829
16,64,8,95.8325
16,64,16,162.208
16,128,1,41.5813
16,128,2,48.4905
16,128,4,65.8563
16,128,8,111.473
16,128,16,190.217
16,256,1,50.7869
16,256,2,56.4429
16,256,4,73.0326
16,256,8,103.331
16,256,16,169.129
16,512,1,60.9656
16,512,2,62.3289
16,512,4,77.1736
16,512,8,106.763
16,512,16,171.617
16,1024,1,105.011
16,1024,2,105.312
16,1024,4,111.289
16,1024,8,134.859
16,1024,16,198.462
16,2048,1,163.168
16,2048,2,164.331
16,2048,4,164.444
16,2048,8,179.94
16,2048,16,244.633
32,1,1,27.8107
32,2,1,36.552
32,2,2,43.7524
32,4,1,40.3202
32,4,2,46.6401
32,4,4,60.2029
32,8,1,41.3765
32,8,2,47.2108
32,8,4,60.9037
32,8,8,91.7654
32,16,1,39.3227
32,16,2,50.6377
32,16,4,64.1175
32,16,8,91.9873
32,32,1,31.3308
32,32,2,51.3362
32,32,4,67.4216
32,32,8,84.7683
32,64,1,41.6798
32,64,2,53.883
32,64,4,67.6617
32,64,8,94.4537
32,128,1,40.0907
32,128,2,47.2616
32,128,4,70.115
32,128,8,105.979
32,256,1,50.398
32,256,2,56.0406
32,256,4,73.3147
32,256,8,103.963
32,512,1,61.7416
32,512,2,62.2217
32,512,4,77.1579
32,512,8,107.013
32,1024,1,101.838
32,1024,2,105.096
32,1024,4,111.55
32,1024,8,137.121
32,2048,1,162.299
32,2048,2,162.42
32,2048,4,162.884
32,2048,8,178.939
