layer,sequences,time_us
mtp_eh_proj,1,140.182
mtp_eh_proj,2,140.812
mtp_eh_proj,3,141.515
mtp_eh_proj,4,141.91
mtp_eh_proj,5,142.54
mtp_eh_proj,6,143.307
mtp_eh_proj,7,143.564
mtp_eh_proj,8,144.31
mtp_eh_proj,9,144.886
mtp_eh_proj,10,145.387
mtp_eh_proj,11,146.017
mtp_eh_proj,12,146.646
mtp_eh_proj,13,146.987
mtp_eh_proj,14,147.766
mtp_eh_proj,15,148.128
mtp_eh_proj,16,148.587
mtp_eh_proj,20,154.71
mtp_eh_proj,24,156.651
mtp_eh_proj,28,158.145
mtp_eh_proj,32,159.756
mtp_eh_proj,36,166.006
mtp_eh_proj,40,167.957
mtp_eh_proj,44,170.38
mtp_eh_proj,48,172.161
mtp_eh_proj,52,174.571
mtp_eh_proj,56,174.774
mtp_eh_proj,60,178.241
mtp_eh_proj,64,179.788
mtp_eh_proj,80,196.085
mtp_eh_proj,96,199.51
mtp_eh_proj,112,200.055
mtp_eh_proj,128,199.756
mtp_eh_proj,144,210.658
mtp_eh_proj,160,210.113
mtp_eh_proj,176,212.428
mtp_eh_proj,192,212.46
mtp_eh_proj,208,212.417
mtp_eh_proj,224,213.42
mtp_eh_proj,240,211.51
mtp_eh_proj,256,211.436
mtp_embed,1,2.965
mtp_embed,2,3.27533
mtp_embed,3,3.51967
mtp_embed,4,3.627
mtp_embed,5,3.92567
mtp_embed,6,4.267
mtp_embed,7,4.43733
mtp_embed,8,4.39467
mtp_embed,9,4.94967
mtp_embed,10,5.33333
mtp_embed,11,5.557
mtp_embed,12,5.73867
mtp_embed,13,6.03733
mtp_embed,14,6.26167
mtp_embed,15,6.52833
mtp_embed,16,6.47533
mtp_embed,20,2.84733
mtp_embed,24,2.67733
mtp_embed,28,2.976
mtp_embed,32,2.656
mtp_embed,36,2.79467
mtp_embed,40,2.60267
mtp_embed,44,2.88033
mtp_embed,48,2.67667
mtp_embed,52,2.891
mtp_embed,56,2.70967
mtp_embed,60,2.85867
mtp_embed,64,2.72
mtp_embed,80,2.84833
mtp_embed,96,3.04067
mtp_embed,112,3.2
mtp_embed,128,3.18967
mtp_embed,144,3.541
mtp_embed,160,3.53033
mtp_embed,176,3.70133
mtp_embed,192,3.787
mtp_embed,208,3.86133
mtp_embed,224,3.968
mtp_embed,240,4.04267
mtp_embed,256,4.04267
mtp_enorm_hnorm,1,16.9603
mtp_enorm_hnorm,2,16.896
mtp_enorm_hnorm,3,16.9917
mtp_enorm_hnorm,4,17.109
mtp_enorm_hnorm,5,17.0453
mtp_enorm_hnorm,6,17.1963
mtp_enorm_hnorm,7,17.0883
mtp_enorm_hnorm,8,17.0773
mtp_enorm_hnorm,9,17.2687
mtp_enorm_hnorm,10,17.5673
mtp_enorm_hnorm,11,17.269
mtp_enorm_hnorm,12,17.5257
mtp_enorm_hnorm,13,17.451
mtp_enorm_hnorm,14,17.5457
mtp_enorm_hnorm,15,17.6853
mtp_enorm_hnorm,16,17.5143
mtp_enorm_hnorm,20,17.5787
mtp_enorm_hnorm,24,17.7917
mtp_enorm_hnorm,28,17.9527
mtp_enorm_hnorm,32,17.7917
mtp_enorm_hnorm,36,17.8563
mtp_enorm_hnorm,40,18.1333
mtp_enorm_hnorm,44,18.496
mtp_enorm_hnorm,48,18.261
mtp_enorm_hnorm,52,18.1013
mtp_enorm_hnorm,56,18.657
mtp_enorm_hnorm,60,19.062
mtp_enorm_hnorm,64,18.912
mtp_enorm_hnorm,80,20.192
mtp_enorm_hnorm,96,20.7253
mtp_enorm_hnorm,112,22.3257
mtp_enorm_hnorm,128,22.6463
mtp_enorm_hnorm,144,23.8187
mtp_enorm_hnorm,160,24.608
mtp_enorm_hnorm,176,25.898
mtp_enorm_hnorm,192,29.5043
mtp_enorm_hnorm,208,30.0587
mtp_enorm_hnorm,224,30.8793
mtp_enorm_hnorm,240,31.627
mtp_enorm_hnorm,256,32.534
mtp_glue,1,18.889
mtp_glue,2,20.2467
mtp_glue,3,21.024
mtp_glue,4,21.4407
mtp_glue,5,21.9413
mtp_glue,6,21.974
mtp_glue,7,22.3257
mtp_glue,8,21.9947
mtp_glue,9,22.5913
mtp_glue,10,23.0193
mtp_glue,11,23.4887
mtp_glue,12,23.5623
mtp_glue,13,24.1287
mtp_glue,14,24.4263
mtp_glue,15,25.1947
mtp_glue,16,24.5443
mtp_glue,20,25.5573
mtp_glue,24,26.1437
mtp_glue,28,27.4243
mtp_glue,32,27.8193
mtp_glue,36,28.9383
mtp_glue,40,29.7173
mtp_glue,44,30.582
mtp_glue,48,30.8797
mtp_glue,52,34.122
mtp_glue,56,37.291
mtp_glue,60,38.2503
mtp_glue,64,37.6967
mtp_glue,80,38.4223
mtp_glue,96,41.878
mtp_glue,112,45.6963
mtp_glue,128,48.395
mtp_glue,144,55.254
mtp_glue,160,59.328
mtp_glue,176,62.5717
mtp_glue,192,65.6857
mtp_glue,208,69.675
mtp_glue,224,73.9627
mtp_glue,240,76.0533
mtp_glue,256,79.3183
mtp_shared_head,1,2.54933
mtp_shared_head,2,2.592
mtp_shared_head,3,2.592
mtp_shared_head,4,2.656
mtp_shared_head,5,2.592
mtp_shared_head,6,2.624
mtp_shared_head,7,2.59233
mtp_shared_head,8,2.61333
mtp_shared_head,9,2.63467
mtp_shared_head,10,2.61333
mtp_shared_head,11,2.645
mtp_shared_head,12,2.656
mtp_shared_head,13,2.64567
mtp_shared_head,14,2.645
mtp_shared_head,15,2.656
mtp_shared_head,16,2.624
mtp_shared_head,20,2.68833
mtp_shared_head,24,2.66667
mtp_shared_head,28,2.67733
mtp_shared_head,32,2.72
mtp_shared_head,36,2.73067
mtp_shared_head,40,2.77333
mtp_shared_head,44,2.76267
mtp_shared_head,48,2.74133
mtp_shared_head,52,2.72
mtp_shared_head,56,2.72
mtp_shared_head,60,2.74133
mtp_shared_head,64,2.76267
mtp_shared_head,80,2.83733
mtp_shared_head,96,2.944
mtp_shared_head,112,3.06133
mtp_shared_head,128,3.136
mtp_shared_head,144,3.09333
mtp_shared_head,160,3.2
mtp_shared_head,176,3.36
mtp_shared_head,192,4.181
mtp_shared_head,208,4.28767
mtp_shared_head,224,4.43733
mtp_shared_head,240,4.427
mtp_shared_head,256,4.42667
