layer,sequences,time_us
lm_head,1,1280.63
lm_head,2,1241.17
lm_head,3,1242.01
lm_head,4,1244.65
lm_head,5,1244.59
lm_head,6,1244.95
lm_head,7,1247.55
lm_head,8,1250.11
lm_head,9,1249.39
lm_head,10,1251.48
lm_head,11,1251.27
lm_head,12,1252.49
lm_head,13,1254.78
lm_head,14,1255.79
lm_head,15,1256.99
lm_head,16,1256.86
lm_head,20,1265.68
lm_head,24,1267.79
lm_head,28,1267.39
lm_head,32,1274.48
lm_head,36,1264.57
lm_head,40,1269.15
lm_head,44,1268.53
lm_head,48,1268.35
lm_head,52,1275.56
lm_head,56,1271.33
lm_head,60,1273.65
lm_head,64,1272.5
lm_head,80,1293.18
lm_head,96,1297.32
lm_head,112,1295.85
lm_head,128,1298.4
lm_head,144,1483.63
lm_head,160,1463.06
lm_head,176,1464.66
lm_head,192,1478.79
lm_head,208,1476.81
lm_head,224,1483.65
lm_head,240,1524.24
lm_head,256,1533.7
sampler,1,24.939
sampler,2,25.8027
sampler,3,25.8983
sampler,4,25.8233
sampler,5,26.5273
sampler,6,26.4857
sampler,7,26.6347
sampler,8,26.6457
sampler,9,27.2217
sampler,10,28.256
sampler,11,28.704
sampler,12,28.619
sampler,13,28.8323
sampler,14,28.8647
sampler,15,28.8323
sampler,16,29.056
sampler,20,30.432
sampler,24,31.5197
sampler,28,32.4697
sampler,32,33.3333
sampler,36,33.7923
sampler,40,34.9653
sampler,44,35.7657
sampler,48,36.9073
sampler,52,37.8243
sampler,56,38.6773
sampler,60,39.819
sampler,64,40.7033
sampler,80,45.0347
sampler,96,49.782
sampler,112,56.3203
sampler,128,63.6597
sampler,144,73.5687
sampler,160,82.5287
sampler,176,107.564
sampler,192,118.123
sampler,208,127.724
sampler,224,138.699
sampler,240,150.699
sampler,256,162.827
