layer,regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
attention,mixed,2,1,0.5,1.5,16,0,128,192,160,999.537,994.831,998.565,0.2065
indexer,mixed,2,1,0.5,1.5,16,0,128,192,160,13.867,14.122,14.047,0.7076
attention,mixed,2,1,0.5,2.0,16,0,128,256,192,994.853,989.049,995.023,-0.0293
indexer,mixed,2,1,0.5,2.0,16,0,128,256,192,14.038,13.91,14.026,
attention,mixed,2,1,0.5,4.0,16,0,128,512,320,994.938,976.954,991.504,0.1909
indexer,mixed,2,1,0.5,4.0,16,0,128,512,320,14.197,14.036,14.005,
attention,mixed,2,1,0.5,8.0,16,0,128,1024,576,969.306,955.29,974.554,-0.3744
indexer,mixed,2,1,0.5,8.0,16,0,128,1024,576,14.036,14.122,14.08,0.5078
attention,mixed,2,1,0.5,16.0,16,0,128,2048,1088,948.943,905.359,948.741,0.0046
indexer,mixed,2,1,0.5,16.0,16,0,128,2048,1088,14.176,19.746,19.766,1.0036
attention,mixed,2,1,0.5,1.5,16,0,512,768,640,968.1,959.92,967.439,0.0808
indexer,mixed,2,1,0.5,1.5,16,0,512,768,640,14.112,14.016,14.026,
attention,mixed,2,1,0.5,2.0,16,0,512,1024,768,959.717,955.471,965.488,-1.3592
indexer,mixed,2,1,0.5,2.0,16,0,512,1024,768,14.176,14.197,14.123,-2.5968
attention,mixed,2,1,0.5,4.0,16,0,512,2048,1280,938.511,906.885,939.809,-0.0411
indexer,mixed,2,1,0.5,4.0,16,0,512,2048,1280,14.07,19.66,19.637,0.9959
attention,mixed,2,1,0.5,8.0,16,0,512,4096,2304,903.919,904.729,939.364,43.7953
indexer,mixed,2,1,0.5,8.0,16,0,512,4096,2304,19.936,23.328,22.903,0.8745
attention,mixed,2,1,0.5,16.0,16,0,512,8192,4352,906.212,905.424,940.164,-43.1228
indexer,mixed,2,1,0.5,16.0,16,0,512,8192,4352,23.403,22.922,22.272,
attention,mixed,2,1,0.5,1.5,16,0,2048,3072,2560,905.679,904.848,904.336,1.6172
indexer,mixed,2,1,0.5,1.5,16,0,2048,3072,2560,20.544,21.312,21.28,0.9584
attention,mixed,2,1,0.5,2.0,16,0,2048,4096,3072,905.253,905.209,904.9,8.0763
indexer,mixed,2,1,0.5,2.0,16,0,2048,4096,3072,21.333,23.51,23.467,0.9799
attention,mixed,2,1,0.5,4.0,16,0,2048,8192,5120,905.476,905.678,905.529,0.2612
indexer,mixed,2,1,0.5,4.0,16,0,2048,8192,5120,23.872,23.327,22.368,
attention,mixed,2,1,0.5,8.0,16,0,2048,16384,9216,904.781,907.045,905.466,0.3024
indexer,mixed,2,1,0.5,8.0,16,0,2048,16384,9216,25.27,28.14,26.625,0.4721
attention,mixed,2,1,0.5,16.0,16,0,2048,32768,17408,906.574,905.135,904.996,1.0968
indexer,mixed,2,1,0.5,16.0,16,0,2048,32768,17408,30.571,35.349,32.661,0.4375
attention,mixed,2,1,0.5,1.5,16,0,8192,12288,10240,904.88,904.901,907.173,107.4844
indexer,mixed,2,1,0.5,1.5,16,0,8192,12288,10240,25.643,25.44,24.842,
attention,mixed,2,1,0.5,2.0,16,0,8192,16384,12288,905.999,905.241,906.724,-0.9564
indexer,mixed,2,1,0.5,2.0,16,0,8192,16384,12288,25.45,27.776,27.744,0.9861
attention,mixed,2,1,0.5,4.0,16,0,8192,32768,20480,905.156,904.943,906.02,-4.0643
indexer,mixed,2,1,0.5,4.0,16,0,8192,32768,20480,31.838,35.296,32.907,0.3091
attention,mixed,2,1,0.5,8.0,16,0,8192,65536,36864,907.011,906.415,907.066,-0.0923
indexer,mixed,2,1,0.5,8.0,16,0,8192,65536,36864,36.01,41.793,36.522,0.0885
attention,mixed,2,1,0.5,16.0,16,0,8192,131072,69632,906.073,905.508,905.103,1.717
indexer,mixed,2,1,0.5,16.0,16,0,8192,131072,69632,40.972,52.447,40.908,-0.0056
attention,mixed,2,1,0.5,1.5,16,0,32768,49152,40960,907.865,906.756,906.595,1.1448
indexer,mixed,2,1,0.5,1.5,16,0,32768,49152,40960,36.79,37.857,35.05,-1.6301
attention,mixed,2,1,0.5,2.0,16,0,32768,65536,49152,906.543,905.199,904.591,1.4519
indexer,mixed,2,1,0.5,2.0,16,0,32768,65536,49152,38.08,41.568,38.571,0.1408
attention,mixed,2,1,0.5,4.0,16,0,32768,131072,81920,905.818,904.858,905.583,0.2451
indexer,mixed,2,1,0.5,4.0,16,0,32768,131072,81920,43.306,51.915,43.37,0.0075
attention,mixed,8,1,0.125,1.5,16,0,128,192,136,1313.681,1293.607,1321.563,-0.3927
indexer,mixed,8,1,0.125,1.5,16,0,128,192,136,14.219,14.252,14.262,1.303
attention,mixed,8,1,0.125,2.0,16,0,128,256,144,1298.482,1279.845,1314.192,-0.8429
indexer,mixed,8,1,0.125,2.0,16,0,128,256,144,14.101,14.187,14.102,0.0077
attention,mixed,8,1,0.125,4.0,16,0,128,512,176,1297.894,1216.369,1318.8,-0.2564
indexer,mixed,8,1,0.125,4.0,16,0,128,512,176,14.177,14.528,14.144,-0.0919
attention,mixed,8,1,0.125,8.0,16,0,128,1024,240,1299.034,1123.973,1273.169,0.1478
indexer,mixed,8,1,0.125,8.0,16,0,128,1024,240,14.293,14.741,14.283,-0.0223
attention,mixed,8,1,0.125,16.0,16,0,128,2048,368,1269.179,912.271,1236.549,0.0914
indexer,mixed,8,1,0.125,16.0,16,0,128,2048,368,14.316,22.496,19.552,0.6401
attention,mixed,8,4,0.5,1.5,16,0,128,192,160,1312.07,1295.27,1303.111,0.5333
indexer,mixed,8,4,0.5,1.5,16,0,128,192,160,14.112,14.176,14.176,0.9896
attention,mixed,8,4,0.5,2.0,16,0,128,256,192,1294.481,1280.027,1286.619,0.5439
indexer,mixed,8,4,0.5,2.0,16,0,128,256,192,14.229,14.177,14.144,
attention,mixed,8,4,0.5,4.0,16,0,128,512,320,1284.424,1216.026,1247.162,0.5448
indexer,mixed,8,4,0.5,4.0,16,0,128,512,320,14.368,14.549,14.304,-0.3517
attention,mixed,8,4,0.5,8.0,16,0,128,1024,576,1200.316,1123.558,1198.34,0.0257
indexer,mixed,8,4,0.5,8.0,16,0,128,1024,576,14.39,14.667,14.528,0.5
attention,mixed,8,4,0.5,16.0,16,0,128,2048,1088,1117.007,908.548,1101.072,0.0764
indexer,mixed,8,4,0.5,16.0,16,0,128,2048,1088,14.678,22.346,21.813,0.9305
attention,mixed,8,1,0.125,1.5,16,0,512,768,544,1205.072,1175.035,1225.832,-0.6912
indexer,mixed,8,1,0.125,1.5,16,0,512,768,544,14.326,14.73,14.422,0.2383
attention,mixed,8,1,0.125,2.0,16,0,512,1024,576,1200.464,1123.247,1210.364,-0.1282
indexer,mixed,8,1,0.125,2.0,16,0,512,1024,576,14.538,14.677,14.411,-0.9093
attention,mixed,8,1,0.125,4.0,16,0,512,2048,704,1180.378,912.889,1169.52,0.0406
