layer,n_label,pc_label,lev_label,alpha,n_samples
attention,n=128,pc0,lev0,-0.0028,103
attention,n=128,pcL,lev0,0.0175,936
attention,n=128,pcM,lev0,-0.0044,1836
attention,n=128,pcS,lev0,-0.0023,4607
attention,n=16,pc0,lev0,0.0089,63
attention,n=16,pcL,lev0,0.2169,630
attention,n=16,pcM,lev0,0.0377,1260
attention,n=16,pcS,lev0,0.0229,3150
attention,n=2,pc0,lev0,0.0842,22
attention,n=2,pcL,lev0,0.3026,108
attention,n=2,pcM,lev0,0.4116,198
attention,n=2,pcS,lev0,0.3443,504
attention,n=256,pc0,lev0,-0.003,103
attention,n=32,pc0,lev0,0.0723,85
attention,n=32,pcL,lev0,0.2573,756
attention,n=32,pcM,lev0,-0.0029,1476
attention,n=32,pcS,lev0,0.0068,3708
attention,n=4,pc0,lev0,0.1061,27
attention,n=4,pcL,lev0,0.4858,270
attention,n=4,pcM,lev0,0.3335,540
attention,n=4,pcS,lev0,0.2464,1349
attention,n=64,pc0,lev0,0.0632,81
attention,n=64,pcL,lev0,0.029,810
attention,n=64,pcM,lev0,0.0044,1620
attention,n=64,pcS,lev0,-0.0,4050
attention,n=8,pc0,lev0,0.052,67
attention,n=8,pcL,lev0,0.3485,576
attention,n=8,pcM,lev0,0.1513,1116
attention,n=8,pcS,lev0,0.1433,2808
indexer,n=128,pc0,lev1,0.0114,21
indexer,n=128,pc0,lev2,0.0054,27
indexer,n=128,pc0,lev3,0.0067,24
indexer,n=128,pcL,lev0,0.0344,616
indexer,n=128,pcL,lev1,0.0096,185
indexer,n=128,pcL,lev2,0.0075,84
indexer,n=128,pcM,lev0,0.0283,843
indexer,n=128,pcM,lev1,0.0983,323
indexer,n=128,pcM,lev2,0.1595,271
indexer,n=128,pcM,lev3,0.2655,279
indexer,n=128,pcS,lev0,0.0104,1741
indexer,n=128,pcS,lev1,0.0237,951
indexer,n=128,pcS,lev2,0.1184,614
indexer,n=128,pcS,lev3,0.1642,991
indexer,n=128,pcS,lev4,0.1845,202
indexer,n=16,pc0,lev0,0.1087,28
indexer,n=16,pc0,lev2,0.2039,20
indexer,n=16,pcL,lev0,0.2336,516
indexer,n=16,pcL,lev1,0.041,37
indexer,n=16,pcM,lev0,0.2396,682
indexer,n=16,pcM,lev1,0.6411,219
indexer,n=16,pcM,lev2,0.7228,126
indexer,n=16,pcM,lev3,0.4822,24
indexer,n=16,pcS,lev0,0.0775,1663
indexer,n=16,pcS,lev1,0.5844,501
indexer,n=16,pcS,lev2,0.5536,477
indexer,n=16,pcS,lev3,0.5317,237
indexer,n=16,pcS,lev4,0.1703,28
indexer,n=2,pcL,lev0,0.1833,80
indexer,n=2,pcM,lev0,0.0732,113
indexer,n=2,pcM,lev1,0.0013,38
indexer,n=2,pcS,lev0,0.0896,263
indexer,n=2,pcS,lev1,0.1024,134
indexer,n=256,pc0,lev1,-0.0123,20
indexer,n=256,pc0,lev2,-0.0011,25
indexer,n=256,pc0,lev3,0.0025,24
indexer,n=32,pc0,lev0,0.0086,28
indexer,n=32,pc0,lev2,0.0373,24
indexer,n=32,pcL,lev0,0.0587,600
indexer,n=32,pcL,lev1,0.0346,74
indexer,n=32,pcM,lev0,0.0683,766
indexer,n=32,pcM,lev1,0.4438,284
indexer,n=32,pcM,lev2,0.5357,188
indexer,n=32,pcM,lev3,0.6682,54
indexer,n=32,pcS,lev0,0.0239,1868
indexer,n=32,pcS,lev1,0.4434,560
indexer,n=32,pcS,lev2,0.3495,492
indexer,n=32,pcS,lev3,0.4327,516
indexer,n=32,pcS,lev4,0.1671,76
indexer,n=4,pcL,lev0,0.2111,205
indexer,n=4,pcM,lev0,0.4008,287
indexer,n=4,pcM,lev1,0.7529,94
indexer,n=4,pcM,lev2,0.2726,23
indexer,n=4,pcS,lev0,0.2355,761
indexer,n=4,pcS,lev1,0.779,288
indexer,n=4,pcS,lev2,0.4431,116
indexer,n=64,pc0,lev0,0.0321,22
indexer,n=64,pc0,lev2,0.0039,20
indexer,n=64,pc0,lev3,0.0548,20
indexer,n=64,pcL,lev0,0.0636,589
indexer,n=64,pcL,lev1,0.0238,116
indexer,n=64,pcL,lev2,0.009,47
indexer,n=64,pcM,lev0,0.0537,801
indexer,n=64,pcM,lev1,0.2889,263
indexer,n=64,pcM,lev2,0.3198,231
indexer,n=64,pcM,lev3,0.4609,153
indexer,n=64,pcS,lev0,0.0135,1851
indexer,n=64,pcS,lev1,0.1743,699
indexer,n=64,pcS,lev2,0.2603,531
indexer,n=64,pcS,lev3,0.279,782
indexer,n=64,pcS,lev4,0.1999,82
indexer,n=8,pc0,lev0,0.0721,31
indexer,n=8,pcL,lev0,0.2134,448
indexer,n=8,pcM,lev0,0.3362,616
indexer,n=8,pcM,lev1,0.7327,179
indexer,n=8,pcM,lev2,0.7632,61
indexer,n=8,pcS,lev0,0.1557,1507
indexer,n=8,pcS,lev1,0.6865,653
indexer,n=8,pcS,lev2,0.6346,316
indexer,n=8,pcS,lev3,0.372,51
