layer,tokens,time_us
act_fn,1,3.02967
act_fn,2,3.40267
act_fn,3,3.38133
act_fn,4,3.45567
act_fn,5,3.381
act_fn,6,3.467
act_fn,7,3.46633
act_fn,8,3.52
act_fn,9,3.44533
act_fn,10,3.296
act_fn,11,3.53033
act_fn,12,3.541
act_fn,13,3.60533
act_fn,14,3.57367
act_fn,15,3.53067
act_fn,16,3.43433
act_fn,20,3.53033
act_fn,24,3.62667
act_fn,28,3.68
act_fn,32,3.62667
act_fn,36,3.71233
act_fn,40,3.701
act_fn,44,3.808
act_fn,48,3.88267
act_fn,52,3.69067
act_fn,56,3.46667
act_fn,60,3.52
act_fn,64,3.65867
act_fn,80,3.73333
act_fn,96,3.72267
act_fn,112,3.78733
act_fn,128,3.84
act_fn,144,3.89333
act_fn,160,4
act_fn,176,4.10667
act_fn,192,6.421
act_fn,208,6.66633
act_fn,224,6.848
act_fn,240,6.82633
act_fn,256,6.955
act_fn,272,7.29633
act_fn,288,7.403
act_fn,304,7.72267
act_fn,320,7.776
act_fn,336,8.085
act_fn,352,8.20333
act_fn,368,8.19233
act_fn,384,9.62167
act_fn,400,9.74933
act_fn,416,9.984
act_fn,432,10.1223
act_fn,448,10.3363
act_fn,464,10.4957
act_fn,480,10.784
act_fn,496,10.8907
act_fn,512,11.1783
act_fn,528,12.2453
act_fn,544,12.7467
act_fn,560,13.2053
act_fn,576,13.3333
act_fn,592,13.92
act_fn,608,14.2293
act_fn,624,15.0933
act_fn,640,15.3813
act_fn,656,13.728
act_fn,672,13.739
act_fn,688,14.0373
act_fn,704,14.2187
act_fn,720,14.4213
act_fn,736,20.0427
act_fn,752,20.4267
act_fn,768,21.2163
act_fn,784,15.712
act_fn,800,15.9573
act_fn,816,16.3413
act_fn,832,16.7893
act_fn,848,16.9067
act_fn,864,17.451
act_fn,880,18.0483
act_fn,896,18.8053
act_fn,912,28.224
act_fn,928,29.088
act_fn,944,29.814
act_fn,960,30.6457
act_fn,976,31.4453
act_fn,992,32.3947
act_fn,1008,33.2803
act_fn,1024,34.3683
act_fn,1040,34.5067
act_fn,1056,35.0403
act_fn,1072,36.1603
act_fn,1088,37.0987
act_fn,1104,37.686
act_fn,1120,38.7627
act_fn,1136,39.8077
act_fn,1152,40.8003
act_fn,1168,43.52
act_fn,1184,44.3307
act_fn,1200,45.0563
act_fn,1216,45.9627
act_fn,1232,47.168
act_fn,1248,47.6913
act_fn,1264,48.8323
act_fn,1280,49.5467
act_fn,1296,52.4697
act_fn,1312,53.8453
act_fn,1328,53.963
act_fn,1344,55.286
act_fn,1360,56.064
act_fn,1376,56.48
act_fn,1392,57.2587
act_fn,1408,58.0807
act_fn,1424,58.816
act_fn,1440,59.3817
act_fn,1456,60.736
act_fn,1472,61.312
act_fn,1488,61.739
act_fn,1504,62.923
act_fn,1520,64.0857
act_fn,1536,64.7253
act_fn,1552,65.9523
act_fn,1568,66.5173
act_fn,1584,68.4587
act_fn,1600,69.1527
act_fn,1616,69.3763
act_fn,1632,70.1547
act_fn,1648,70.9123
act_fn,1664,72.0963
act_fn,1680,72.7893
act_fn,1696,74.1443
act_fn,1712,74.2293
act_fn,1728,74.4533
act_fn,1744,75.936
act_fn,1760,77.8987
act_fn,1776,77.899
act_fn,1792,78.731
act_fn,1808,80.384
act_fn,1824,81.44
act_fn,1840,82.4747
act_fn,1856,83.094
act_fn,1872,83.5203
act_fn,1888,84.384
act_fn,1904,85.6967
act_fn,1920,86.1123
act_fn,1936,89.035
act_fn,1952,89.5157
act_fn,1968,90.88
act_fn,1984,91.4453
act_fn,2000,92.3633
act_fn,2016,93.1093
act_fn,2032,94.091
act_fn,2048,94.8383
down_proj,1,85.0137
down_proj,2,81.067
down_proj,3,80.7573
down_proj,4,81.024
down_proj,5,81.0557
down_proj,6,81.1417
down_proj,7,81.163
down_proj,8,81.3873
down_proj,9,81.3763
down_proj,10,81.5153
down_proj,11,81.483
down_proj,12,81.6963
down_proj,13,81.6747
down_proj,14,81.6323
down_proj,15,81.8773
down_proj,16,81.6217
down_proj,20,85.3867
down_proj,24,85.8667
down_proj,28,86.1763
down_proj,32,85.9093
down_proj,36,96.8647
down_proj,40,96.416
down_proj,44,95.904
down_proj,48,95.381
down_proj,52,95.2003
down_proj,56,95.4567
down_proj,60,95.4023
down_proj,64,95.68
down_proj,80,88.2347
down_proj,96,89.0667
down_proj,112,92.373
down_proj,128,92.4267
down_proj,144,119.553
down_proj,160,119.478
down_proj,176,113.622
