layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,0,0.0,1,16,1,7.41333
attention,0,0.0,1,24,1,7.38167
attention,0,0.0,1,36,1,7.424
attention,0,0.0,1,54,1,7.54167
attention,0,0.0,1,81,1,8.85333
attention,0,0.0,1,122,1,8.90633
attention,0,0.0,1,182,1,12.0213
attention,0,0.0,1,273,1,12.3627
attention,0,0.0,1,410,1,12.501
attention,0,0.0,1,615,1,12.8427
attention,0,0.0,1,923,1,13.5473
attention,0,0.0,1,1384,1,14.2823
attention,0,0.0,1,2076,1,15.8947
attention,0,0.0,1,3114,1,18.848
attention,0,0.0,1,4671,1,22.9437
attention,0,0.0,1,7006,1,29.632
attention,0,0.0,1,10509,1,38.6133
attention,0,0.0,1,15764,1,42.3683
attention,0,0.0,1,16384,1,43.4027
attention,0,0.0,2,16,1,11.6803
attention,0,0.0,2,24,1,11.8397
attention,0,0.0,2,36,1,11.7663
attention,0,0.0,2,54,1,11.8077
attention,0,0.0,2,81,1,13.238
attention,0,0.0,2,122,1,13.184
attention,0,0.0,2,182,1,15.4023
attention,0,0.0,2,273,1,15.5517
attention,0,0.0,2,410,1,15.872
attention,0,0.0,2,615,1,16.4803
attention,0,0.0,2,923,1,17.2277
attention,0,0.0,2,1384,1,18.8057
attention,0,0.0,2,2076,1,21.9517
attention,0,0.0,2,3114,1,26.9543
attention,0,0.0,2,4671,1,32.619
attention,0,0.0,2,7006,1,39.2747
attention,0,0.0,2,10509,1,49.2277
attention,0,0.0,2,15764,1,63.4657
attention,0,0.0,2,16384,1,65.2157
attention,0,0.0,4,16,1,11.7973
attention,0,0.0,4,24,1,11.8927
attention,0,0.0,4,36,1,11.9897
attention,0,0.0,4,54,1,12.0317
attention,0,0.0,4,81,1,13.4187
attention,0,0.0,4,122,1,13.3543
attention,0,0.0,4,182,1,15.6587
attention,0,0.0,4,273,1,16.01
attention,0,0.0,4,410,1,16.449
attention,0,0.0,4,615,1,17.8873
attention,0,0.0,4,923,1,19.8933
attention,0,0.0,4,1384,1,22.8057
attention,0,0.0,4,2076,1,27.818
attention,0,0.0,4,3114,1,35.595
attention,0,0.0,4,4671,1,42.2617
attention,0,0.0,4,7006,1,54.6773
attention,0,0.0,4,10509,1,73.8033
attention,0,0.0,4,15764,1,103.211
attention,0,0.0,4,16384,1,106.625
attention,0,0.0,8,16,1,12.0533
attention,0,0.0,8,24,1,11.9463
attention,0,0.0,8,36,1,12.1277
attention,0,0.0,8,54,1,12.1383
attention,0,0.0,8,81,1,13.5467
attention,0,0.0,8,122,1,13.504
attention,0,0.0,8,182,1,16.149
attention,0,0.0,8,273,1,16.853
attention,0,0.0,8,410,1,18.6347
attention,0,0.0,8,615,1,20.9917
attention,0,0.0,8,923,1,25.3863
