layer,sequences,time_us
lm_head,1,356.45
lm_head,2,350.668
lm_head,3,351.638
lm_head,4,350.946
lm_head,5,351.266
lm_head,6,351.265
lm_head,7,351.596
lm_head,8,352.321
lm_head,9,354.06
lm_head,10,352.855
lm_head,11,354.028
lm_head,12,353.889
lm_head,13,354.977
lm_head,14,355.521
lm_head,15,356.866
lm_head,16,356.45
lm_head,20,357.474
lm_head,24,358.593
lm_head,28,358.679
lm_head,32,360.364
lm_head,36,357.303
lm_head,40,357.484
lm_head,44,358.54
lm_head,48,359.457
lm_head,52,360.257
lm_head,56,360.129
lm_head,60,360.972
lm_head,64,362.444
lm_head,80,389.004
lm_head,96,395.244
lm_head,112,370.924
lm_head,128,372.887
lm_head,144,404.364
lm_head,160,406.156
lm_head,176,407.82
lm_head,192,409.697
lm_head,208,411.788
lm_head,224,414.167
lm_head,240,416.183
lm_head,256,420.674
sampler,1,18.208
sampler,2,16.6077
sampler,3,18.613
sampler,4,19.946
sampler,5,17.2477
sampler,6,37.5893
sampler,7,29.547
sampler,8,32.129
sampler,9,43.275
sampler,10,35.6053
sampler,11,37.5563
sampler,12,25.162
sampler,13,41.2163
sampler,14,33.2257
sampler,15,41.141
sampler,16,31.9583
sampler,20,28.3097
sampler,24,24.6617
sampler,28,34.9233
sampler,32,42.123
sampler,36,30.7097
sampler,40,39.2
sampler,44,33.3333
sampler,48,36.0643
sampler,52,34.177
sampler,56,36.8107
sampler,60,46.496
sampler,64,47.5737
sampler,80,52.5543
sampler,96,47.318
sampler,112,61.9523
sampler,128,54.6667
sampler,144,57.8667
sampler,160,70.88
sampler,176,74.1017
sampler,192,65.5363
sampler,208,73.857
sampler,224,76.374
sampler,240,79.7547
sampler,256,71.382
