layer,regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
attention,mixed,2,1,0.5,1.5,16,0,128,192,160,10.528,10.667,10.688,1.1566
attention,mixed,2,1,0.5,2.0,16,0,128,256,192,10.742,13.088,13.12,1.0135
attention,mixed,2,1,0.5,4.0,16,0,128,512,320,13.429,18.283,18.304,1.0044
attention,mixed,2,1,0.5,8.0,16,0,128,1024,576,18.549,28.928,29.035,1.0103
attention,mixed,2,1,0.5,16.0,16,0,128,2048,1088,29.483,50.528,50.72,1.0091
attention,mixed,2,1,0.5,1.5,16,0,512,768,640,20.928,23.552,23.648,1.0366
attention,mixed,2,1,0.5,2.0,16,0,512,1024,768,23.68,28.939,29.056,1.0223
attention,mixed,2,1,0.5,4.0,16,0,512,2048,1280,34.464,50.464,50.357,0.9933
attention,mixed,2,1,0.5,8.0,16,0,512,4096,2304,55.893,93.803,94.112,1.0082
attention,mixed,2,1,0.5,16.0,16,0,512,8192,4352,99.296,179.99,180.267,1.0034
attention,mixed,2,1,0.5,1.5,16,0,2048,3072,2560,61.28,72.47,72.384,0.9923
attention,mixed,2,1,0.5,2.0,16,0,2048,4096,3072,71.904,93.77,93.483,0.9869
attention,mixed,2,1,0.5,4.0,16,0,2048,8192,5120,115.233,180.598,180.384,0.9967
attention,mixed,2,1,0.5,8.0,16,0,2048,16384,9216,200.812,351.574,352.289,1.0047
attention,mixed,2,1,0.5,1.5,16,0,8192,12288,10240,222.912,266.668,266.017,0.9851
attention,mixed,2,1,0.5,2.0,16,0,8192,16384,12288,265.014,351.233,350.444,0.9908
attention,mixed,8,1,0.125,1.5,16,0,128,192,136,10.592,10.827,10.72,0.5475
attention,mixed,8,1,0.125,2.0,16,0,128,256,144,10.763,13.44,12.982,0.8289
attention,mixed,8,1,0.125,4.0,16,0,128,512,176,10.731,18.571,18.24,0.9578
attention,mixed,8,1,0.125,8.0,16,0,128,1024,240,11.147,29.931,29.024,0.9517
attention,mixed,8,1,0.125,16.0,16,0,128,2048,368,13.813,52.299,50.518,0.9537
attention,mixed,8,4,0.5,1.5,16,0,128,192,160,10.731,10.88,10.645,-0.5702
attention,mixed,8,4,0.5,2.0,16,0,128,256,192,10.805,13.152,13.024,0.9455
attention,mixed,8,4,0.5,4.0,16,0,128,512,320,13.611,18.592,18.294,0.9402
attention,mixed,8,4,0.5,8.0,16,0,128,1024,576,19.051,29.92,29.142,0.9284
attention,mixed,8,4,0.5,16.0,16,0,128,2048,1088,30.347,52.342,51.35,0.9549
attention,mixed,8,1,0.125,1.5,16,0,512,768,544,18.976,24.204,23.797,0.9222
attention,mixed,8,1,0.125,2.0,16,0,512,1024,576,19.168,29.75,29.461,0.9727
