layer,n_label,pc_label,lev_label,alpha,n_samples
attention,n=128,pc0,lev3,0.1208,38
attention,n=128,pcL,lev0,0.1048,115
attention,n=128,pcL,lev1,0.0155,108
attention,n=128,pcL,lev2,0.0121,45
attention,n=128,pcL,lev3,0.0098,72
attention,n=128,pcL,lev4,0.0089,45
attention,n=128,pcM,lev0,0.1742,147
attention,n=128,pcM,lev1,0.0203,185
attention,n=128,pcM,lev2,0.013,137
attention,n=128,pcM,lev3,0.0211,135
attention,n=128,pcM,lev4,0.0228,142
attention,n=128,pcS,lev0,0.2642,306
attention,n=128,pcS,lev1,0.049,331
attention,n=128,pcS,lev2,0.0175,398
attention,n=128,pcS,lev3,0.0378,401
attention,n=128,pcS,lev4,0.0273,442
attention,n=16,pcL,lev0,0.0947,176
attention,n=16,pcL,lev1,0.2805,49
attention,n=16,pcL,lev2,0.4192,25
attention,n=16,pcM,lev0,0.2519,273
attention,n=16,pcM,lev1,0.1756,127
attention,n=16,pcM,lev2,0.3962,70
attention,n=16,pcM,lev3,0.4134,33
attention,n=16,pcS,lev0,0.7449,600
attention,n=16,pcS,lev1,-0.0225,252
attention,n=16,pcS,lev2,0.3321,250
attention,n=16,pcS,lev3,0.4048,158
attention,n=2,pcL,lev0,0.7652,28
attention,n=2,pcM,lev0,0.4571,34
attention,n=2,pcM,lev1,0.9905,39
attention,n=2,pcS,lev0,0.3528,65
attention,n=2,pcS,lev1,0.9967,120
attention,n=256,pc0,lev3,0.0597,38
attention,n=32,pcL,lev0,0.0772,182
attention,n=32,pcL,lev1,0.0525,73
attention,n=32,pcL,lev2,0.1839,37
attention,n=32,pcL,lev3,0.1831,22
attention,n=32,pcM,lev0,0.1378,233
attention,n=32,pcM,lev1,0.06,192
attention,n=32,pcM,lev2,0.2143,92
attention,n=32,pcM,lev3,0.2498,84
attention,n=32,pcS,lev0,0.7331,517
attention,n=32,pcS,lev1,0.1596,415
attention,n=32,pcS,lev2,0.2672,267
attention,n=32,pcS,lev3,0.2512,310
attention,n=4,pcL,lev0,0.0766,84
attention,n=4,pcM,lev0,0.1852,145
attention,n=4,pcM,lev1,0.9594,44
attention,n=4,pcS,lev0,0.7757,280
attention,n=4,pcS,lev1,0.9767,119
attention,n=4,pcS,lev2,0.9815,91
attention,n=64,pc0,lev3,0.0008,26
attention,n=64,pcL,lev0,0.0905,138
attention,n=64,pcL,lev1,0.0225,92
attention,n=64,pcL,lev2,0.0287,31
attention,n=64,pcL,lev3,0.0584,51
attention,n=64,pcM,lev0,0.2091,181
attention,n=64,pcM,lev1,0.0275,200
attention,n=64,pcM,lev2,0.039,96
attention,n=64,pcM,lev3,0.086,124
attention,n=64,pcM,lev4,0.0609,47
attention,n=64,pcS,lev0,0.2786,385
attention,n=64,pcS,lev1,0.0315,398
attention,n=64,pcS,lev2,0.0598,295
attention,n=64,pcS,lev3,0.0953,395
attention,n=64,pcS,lev4,0.0907,147
attention,n=8,pcL,lev0,0.1238,176
attention,n=8,pcL,lev1,0.6255,46
attention,n=8,pcM,lev0,0.4716,275
attention,n=8,pcM,lev1,0.7406,126
attention,n=8,pcM,lev2,0.9479,38
attention,n=8,pcS,lev0,0.2019,640
attention,n=8,pcS,lev1,0.9484,216
attention,n=8,pcS,lev2,0.9521,187
attention,n=8,pcS,lev3,0.9517,61
