branch,num_tokens,n_decode,kv_decode,prefill_chunk,step_us,saved_us,sem_us,n_pairs
full,1,1,1024,0,12816.736,538.272,82.006,60
full,1,1,8192,0,13939.6,503.776,19.694,60
full,2,2,1024,0,13120.896,573.553,50.343,60
full,2,2,8192,0,15250.176,600.928,52.269,60
full,4,4,1024,0,13319.856,626.48,20.159,60
full,4,4,8192,0,17431.808,631.648,24.309,60
full,8,8,1024,0,13975.824,635.968,37.797,60
full,8,8,8192,0,22267.12,665.504,42.767,60
full,16,16,1024,0,15416.88,723.984,36.177,60
full,16,16,8192,0,32143.806,593.008,38.366,60
full,24,24,1024,0,17169.552,703.504,33.32,60
full,24,24,8192,0,42406.256,651.266,99.048,60
full,32,32,1024,0,18560.336,676.368,30.247,60
full,32,32,8192,0,51617.167,655.792,96.155,60
full,40,40,1024,0,19902.528,575.871,37.994,60
full,40,40,8192,0,60905.264,558.254,62.808,60
full,48,48,1024,0,21972.336,517.232,19.352,60
full,48,48,8192,0,75917.698,571.857,142.41,60
full,56,56,1024,0,23169.168,416.272,33.621,60
full,56,56,8192,0,83351.505,269.329,179.722,60
full,64,64,1024,0,24036.032,504.432,75.163,60
full,64,64,8192,0,89622.478,544.399,163.32,60
full,72,72,1024,0,25424.0,599.296,37.727,60
full,80,80,1024,0,26722.432,554.96,23.595,60
full,88,88,1024,0,28142.784,581.552,30.448,60
full,96,96,1024,0,30078.257,575.135,78.637,60
full,104,104,1024,0,31154.465,675.231,35.107,60
full,112,112,1024,0,32176.081,624.577,33.308,60
full,120,120,1024,0,33444.304,570.368,29.148,60
full,128,128,1024,0,34770.912,598.961,79.248,60
piecewise,1,0,1024,1,12361.12,510.864,11.634,60
piecewise,2,0,1024,2,12347.536,586.688,10.568,60
piecewise,4,0,1024,4,12470.384,650.064,24.952,60
piecewise,8,0,1024,8,12255.792,636.544,18.598,60
piecewise,16,0,1024,16,12339.824,672.512,297.906,60
piecewise,24,0,1024,24,12779.904,716.832,17.887,60
piecewise,32,0,1024,32,12814.56,671.552,8.293,60
piecewise,40,0,1024,40,13091.264,588.144,13.872,60
piecewise,40,32,1024,8,20224.769,575.424,30.199,60
piecewise,48,0,1024,48,13159.904,560.752,11.137,60
piecewise,48,32,1024,16,20255.073,549.249,30.045,60
piecewise,56,0,1024,56,13415.568,432.496,7.28,60
piecewise,56,32,1024,24,20506.721,398.623,63.086,60
piecewise,64,0,1024,64,13398.352,449.471,31.085,60
piecewise,64,32,1024,32,20481.264,379.199,30.279,60
piecewise,72,0,1024,72,13507.536,498.224,6.828,60
piecewise,72,32,1024,40,20631.328,538.159,16.315,60
piecewise,80,0,1024,80,13554.608,505.296,14.047,60
piecewise,80,32,1024,48,20711.985,543.648,20.822,60
piecewise,88,0,1024,88,13597.232,533.968,9.21,60
piecewise,88,32,1024,56,20769.296,578.671,27.878,60
piecewise,96,0,1024,96,13637.056,580.864,89.959,60
piecewise,96,32,1024,64,20798.559,680.271,30.542,60
piecewise,104,0,1024,104,13868.352,535.104,9.291,60
piecewise,104,32,1024,72,20968.048,632.751,189.144,60
piecewise,112,0,1024,112,13917.024,499.663,28.516,60
piecewise,112,32,1024,80,21016.944,597.216,22.761,60
piecewise,120,0,1024,120,13880.816,552.369,16.58,60
piecewise,120,32,1024,88,21019.888,651.712,16.894,60
piecewise,128,0,1024,128,13917.648,557.185,13.165,60
piecewise,128,32,1024,96,21287.648,691.824,30.117,60
piecewise,136,0,1024,136,15254.24,353.552,13.521,60
piecewise,136,32,1024,104,22479.824,325.52,79.879,60
piecewise,144,0,1024,144,15295.728,364.8,15.524,60
piecewise,144,32,1024,112,22473.104,364.207,27.823,60
piecewise,152,0,1024,152,15322.096,431.36,12.646,60
piecewise,152,32,1024,120,22466.24,423.553,17.941,60
piecewise,160,0,1024,160,15344.848,482.096,10.93,60
piecewise,160,32,1024,128,22559.136,491.729,33.923,60
piecewise,168,0,1024,168,15165.184,471.328,19.387,60
piecewise,168,32,1024,136,22403.84,478.432,43.695,60
piecewise,176,0,1024,176,15191.056,487.664,8.287,60
piecewise,176,32,1024,144,22492.975,453.585,66.071,60
piecewise,184,0,1024,184,15211.712,509.28,14.223,60
piecewise,184,32,1024,152,23236.496,494.065,12.195,60
piecewise,192,0,1024,192,15529.52,292.352,27.406,60
piecewise,192,32,1024,160,22776.224,245.503,27.843,60
piecewise,200,0,1024,200,16326.176,287.425,14.233,60
piecewise,200,32,1024,168,24258.415,284.257,235.298,60
piecewise,208,0,1024,208,16186.96,387.312,11.806,60
piecewise,208,32,1024,176,23263.44,317.121,43.969,60
piecewise,216,0,1024,216,16163.296,329.071,8.508,60
piecewise,216,32,1024,184,23300.608,311.92,40.032,60
piecewise,224,0,1024,224,16266.976,309.999,10.363,60
piecewise,224,32,1024,192,23397.376,318.273,17.256,60
piecewise,232,0,1024,232,16107.52,387.104,23.347,60
piecewise,232,32,1024,200,23292.592,346.704,17.213,60
piecewise,240,0,1024,240,16166.08,336.48,17.208,60
piecewise,240,32,1024,208,23400.448,286.993,41.339,60
piecewise,248,0,1024,248,16182.304,278.463,8.86,60
piecewise,248,32,1024,216,23415.983,240.752,27.283,60
piecewise,256,0,1024,256,16028.064,472.257,10.559,60
piecewise,256,32,1024,224,23273.424,413.024,35.341,60
none,268,0,1024,268,19020.448,-8.927,10.846,60
none,1024,0,1024,1024,47936.975,19.569,29.1,60
