layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,0,0,1,16,1,205.465
attention,0,0,1,32,1,204.992
attention,0,0,1,64,1,203.761
attention,0,0,1,128,1,201.56
attention,0,0,1,256,1,196.529
attention,0,0,1,512,1,186.912
attention,0,0,1,1024,1,166.393
attention,0,0,1,2048,1,138.048
attention,0,0,1,4096,1,139.503
attention,0,0,1,8192,1,139.199
attention,0,0,1,16384,1,139.656
attention,0,0,2,16,1,288.602
attention,0,0,2,32,1,287.593
attention,0,0,2,64,1,285.145
attention,0,0,2,128,1,280.577
attention,0,0,2,256,1,270.696
attention,0,0,2,512,1,251.29
attention,0,0,2,1024,1,205.887
attention,0,0,2,2048,1,165.264
attention,0,0,2,4096,1,165.2
attention,0,0,2,8192,1,166.92
attention,0,0,2,16384,1,167.369
attention,0,0,4,16,1,476.53
attention,0,0,4,32,1,473.561
attention,0,0,4,64,1,470.167
attention,0,0,4,128,1,458.393
attention,0,0,4,256,1,436.793
attention,0,0,4,512,1,391.689
attention,0,0,4,1024,1,301.761
attention,0,0,4,2048,1,167.746
attention,0,0,4,4096,1,167.832
attention,0,0,4,8192,1,169.303
attention,0,0,4,16384,1,169.967
attention,0,0,8,16,1,830.906
attention,0,0,8,32,1,829.209
attention,0,0,8,64,1,817.37
attention,0,0,8,128,1,793.665
attention,0,0,8,256,1,754.241
attention,0,0,8,512,1,654.842
attention,0,0,8,1024,1,481.713
attention,0,0,8,2048,1,222.105
attention,0,0,8,4096,1,221.681
attention,0,0,8,8192,1,225.264
attention,0,0,8,16384,1,225.169
attention,0,0,16,16,1,1492.49
attention,0,0,16,32,1,1528.56
attention,0,0,16,64,1,1487.11
attention,0,0,16,128,1,1424.43
attention,0,0,16,256,1,1348.66
attention,0,0,16,512,1,1191.74
attention,0,0,16,1024,1,837.913
attention,0,0,16,2048,1,343.442
attention,0,0,16,4096,1,341.913
attention,0,0,16,8192,1,347.408
attention,0,0,16,16384,1,344.784
attention,0,0,32,16,1,2908.1
attention,0,0,32,32,1,2910.58
attention,0,0,32,64,1,2838.97
attention,0,0,32,128,1,2762.4
attention,0,0,32,256,1,2580.25
attention,0,0,32,512,1,2232.32
attention,0,0,32,1024,1,1578.16
attention,0,0,32,2048,1,548.09
attention,0,0,32,4096,1,549.986
attention,0,0,32,8192,1,561.104
attention,0,0,32,16384,1,570.552
attention,0,0,64,16,1,5576.72
attention,0,0,64,32,1,5328.39
attention,0,0,64,64,1,5242.22
attention,0,0,64,128,1,5035.18
attention,0,0,64,256,1,5031.62
attention,0,0,64,512,1,4217.57
attention,0,0,64,1024,1,3146.59
attention,0,0,64,2048,1,930.833
attention,0,0,64,4096,1,935.417
attention,0,0,64,8192,1,938.057
attention,0,0,64,16384,1,929.505
attention,0,0,128,16,1,3613.11
attention,0,0,128,32,1,3394.74
attention,0,0,128,64,1,3401.53
attention,0,0,128,128,1,3336.78
attention,0,0,128,256,1,3150.27
attention,0,0,128,512,1,2854.16
attention,0,0,128,1024,1,2309.99
attention,0,0,128,2048,1,1263.62
attention,0,0,128,4096,1,1267.15
attention,0,0,128,8192,1,1266.16
attention,0,0,128,16384,1,1263.01
attention,0,0,256,16,1,6750.95
attention,0,0,256,32,1,6650.97
attention,0,0,256,64,1,6748.7
attention,0,0,256,128,1,6547.34
attention,0,0,256,256,1,6058.11
attention,0,0,256,512,1,5449.84
attention,0,0,256,1024,1,4122.01
attention,0,0,256,2048,1,1906.63
attention,0,0,256,4096,1,1916.8
attention,0,0,256,8192,1,1907.52
attention,0,0,256,16384,1,1908.74
attention,16,0,0,0,1,1524.7
attention,16,0,1,16,1,1576.19
attention,16,0,1,32,1,1572.88
attention,16,0,1,64,1,1571.58
attention,16,0,1,128,1,1571.69
attention,16,0,1,256,1,1562.79
attention,16,0,1,512,1,1548.78
attention,16,0,1,1024,1,1527.76
attention,16,0,1,2048,1,1494.04
attention,16,0,1,4096,1,1493.86
attention,16,0,1,8192,1,1494.65
attention,16,0,1,16384,1,1494.06
attention,16,0,2,16,1,1668.91
attention,16,0,2,32,1,1659.83
attention,16,0,2,64,1,1655.9
attention,16,0,2,128,1,1655.22
attention,16,0,2,256,1,1639.83
attention,16,0,2,512,1,1617.09
attention,16,0,2,1024,1,1584.92
attention,16,0,2,2048,1,1498.73
attention,16,0,2,4096,1,1498.88
attention,16,0,2,8192,1,1498.73
attention,16,0,2,16384,1,1498.51
attention,16,0,4,16,1,1838.72
attention,16,0,4,32,1,1824.92
attention,16,0,4,64,1,1816.3
attention,16,0,4,128,1,1811.36
attention,16,0,4,256,1,1785.99
attention,16,0,4,512,1,1763.27
attention,16,0,4,1024,1,1683.77
attention,16,0,4,2048,1,1525.16
attention,16,0,4,4096,1,1525.19
attention,16,0,4,8192,1,1524.9
attention,16,0,4,16384,1,1525.23
attention,16,0,8,16,1,2186.35
attention,16,0,8,32,1,2162.86
attention,16,0,8,64,1,2146.01
attention,16,0,8,128,1,2135.7
attention,16,0,8,256,1,2085.79
attention,16,0,8,512,1,2026.25
attention,16,0,8,1024,1,1841.35
attention,16,0,8,2048,1,1504.79
attention,16,0,8,4096,1,1506.37
attention,16,0,8,8192,1,1505.86
attention,16,0,8,16384,1,1505.35
attention,16,0,16,16,1,2858.28
attention,16,0,16,32,1,2829.09
attention,16,0,16,64,1,2801.88
attention,16,0,16,128,1,2796.09
attention,16,0,16,256,1,2680.19
attention,16,0,16,512,1,2557.55
attention,16,0,16,1024,1,2214.25
attention,16,0,16,2048,1,1531.96
attention,16,0,16,4096,1,1532.83
attention,16,0,16,8192,1,1532.71
attention,16,0,16,16384,1,1531.43
attention,16,0,32,16,1,4331.85
attention,16,0,32,32,1,4215.93
attention,16,0,32,64,1,4196.78
attention,16,0,32,128,1,4128.06
attention,16,0,32,256,1,3913.45
attention,16,0,32,512,1,3567.16
attention,16,0,32,1024,1,2905.11
attention,16,0,32,2048,1,1593.91
attention,16,0,32,4096,1,1594.99
attention,16,0,32,8192,1,1591.63
attention,16,0,32,16384,1,1590.78
attention,16,0,64,16,1,2265.12
attention,16,0,64,32,1,2297.65
attention,16,0,64,64,1,2271.29
attention,16,0,64,128,1,2241.32
attention,16,0,64,256,1,2137.09
attention,16,0,64,512,1,1915.74
attention,16,0,64,1024,1,1512.78
attention,16,0,64,2048,1,698.105
attention,16,0,64,4096,1,700.712
attention,16,0,64,8192,1,692.554
attention,16,0,64,16384,1,694.865
attention,16,0,128,16,1,4033.54
attention,16,0,128,32,1,3910.85
attention,16,0,128,64,1,3804.11
attention,16,0,128,128,1,3896.81
attention,16,0,128,256,1,3818.29
attention,16,0,128,512,1,3276.22
attention,16,0,128,1024,1,2757.32
attention,16,0,128,2048,1,1299.03
attention,16,0,128,4096,1,1304.39
attention,16,0,128,8192,1,1297.27
attention,16,0,128,16384,1,1296.61
attention,16,16,0,0,1,1507.73
attention,16,16,1,16,1,1563.79
attention,16,16,1,32,1,1563.81
attention,16,16,1,64,1,1564.05
attention,16,16,1,128,1,1557.7
attention,16,16,1,256,1,1554.4
attention,16,16,1,512,1,1547.59
attention,16,16,1,1024,1,1521.94
attention,16,16,1,2048,1,1475.68
attention,16,16,1,4096,1,1475.57
attention,16,16,1,8192,1,1475.55
attention,16,16,1,16384,1,1474.53
attention,16,16,2,16,1,1649.69
attention,16,16,2,32,1,1655.93
attention,16,16,2,64,1,1652.94
attention,16,16,2,128,1,1641.27
attention,16,16,2,256,1,1637.98
attention,16,16,2,512,1,1619.67
attention,16,16,2,1024,1,1562.25
attention,16,16,2,2048,1,1479.95
attention,16,16,2,4096,1,1480.23
attention,16,16,2,8192,1,1479.59
attention,16,16,2,16384,1,1479.77
attention,16,16,4,16,1,1824.64
attention,16,16,4,32,1,1832.56
attention,16,16,4,64,1,1824.35
attention,16,16,4,128,1,1794.43
attention,16,16,4,256,1,1774.16
attention,16,16,4,512,1,1738.68
attention,16,16,4,1024,1,1658.85
attention,16,16,4,2048,1,1494.51
attention,16,16,4,4096,1,1493.85
attention,16,16,4,8192,1,1493.57
attention,16,16,4,16384,1,1493.08
attention,16,16,8,16,1,2169.52
attention,16,16,8,32,1,2188.73
attention,16,16,8,64,1,2175.83
attention,16,16,8,128,1,2118.15
attention,16,16,8,256,1,2102.68
attention,16,16,8,512,1,1990.72
attention,16,16,8,1024,1,1836.8
attention,16,16,8,2048,1,1510.62
