layer,tokens,time_us
act_fn,1,2.81933
act_fn,2,3.11822
act_fn,3,3.16078
act_fn,4,3.20344
act_fn,5,3.18956
act_fn,6,3.21067
act_fn,7,3.232
act_fn,8,3.24644
act_fn,9,3.22489
act_fn,10,3.225
act_fn,11,3.23922
act_fn,12,3.23567
act_fn,13,3.23567
act_fn,14,3.232
act_fn,15,3.23589
act_fn,16,3.21778
act_fn,20,3.22844
act_fn,24,3.24256
act_fn,28,3.271
act_fn,32,3.28889
act_fn,36,3.30667
act_fn,40,3.31033
act_fn,44,3.31733
act_fn,48,3.30667
act_fn,52,3.30322
act_fn,56,3.29944
act_fn,60,3.31389
act_fn,64,3.29967
act_fn,80,3.35278
act_fn,96,3.37067
act_fn,112,3.38856
act_fn,128,3.488
act_fn,144,3.45611
act_fn,160,3.595
act_fn,176,3.67289
act_fn,192,5.19456
act_fn,208,5.35467
act_fn,224,5.376
act_fn,240,5.28356
act_fn,256,5.25133
act_fn,272,5.209
act_fn,288,5.19822
act_fn,304,5.23733
act_fn,320,5.20567
act_fn,336,5.18411
act_fn,352,5.18756
act_fn,368,5.23044
act_fn,384,6.40367
act_fn,400,6.64544
act_fn,416,6.77689
act_fn,432,6.83011
act_fn,448,6.86922
act_fn,464,6.94744
act_fn,480,7.01167
act_fn,496,7.09333
act_fn,512,7.16467
act_fn,528,7.22122
act_fn,544,7.27122
act_fn,560,7.38522
act_fn,576,7.95756
act_fn,592,8.03567
act_fn,608,8.15644
act_fn,624,8.17778
act_fn,640,8.31311
act_fn,656,8.49433
act_fn,672,8.601
act_fn,688,8.60444
act_fn,704,8.89611
act_fn,720,9.09511
act_fn,736,9.09878
act_fn,752,9.18756
act_fn,768,9.95911
act_fn,784,9.90222
act_fn,800,9.96644
act_fn,816,10.1796
act_fn,832,10.4393
act_fn,848,10.8729
act_fn,864,11.0828
act_fn,880,11.4703
act_fn,896,12.0216
act_fn,912,13.3332
act_fn,928,13.5219
act_fn,944,13.689
act_fn,960,13.8597
act_fn,976,14.3786
act_fn,992,14.13
act_fn,1008,14.4356
act_fn,1024,14.3857
act_fn,1040,27.6056
act_fn,1056,28.1887
act_fn,1072,28.8322
act_fn,1088,29.4047
act_fn,1104,30.0018
act_fn,1120,30.6812
act_fn,1136,31.2819
act_fn,1152,31.9041
act_fn,1168,16.7929
act_fn,1184,17.0918
act_fn,1200,17.5147
act_fn,1216,18.048
act_fn,1232,18.5209
act_fn,1248,18.784
act_fn,1264,19.5059
act_fn,1280,19.2924
act_fn,1296,43.3388
act_fn,1312,43.9078
act_fn,1328,44.4661
act_fn,1344,45.4153
act_fn,1360,45.9347
act_fn,1376,45.4331
act_fn,1392,45.8204
act_fn,1408,46.5283
act_fn,1424,25.6928
