ep,tokens,activated_experts,time_us
1,1,8,162.601
1,2,8,150.508
1,2,16,260.025
1,4,8,159.252
1,4,16,261.183
1,4,32,491.939
1,8,8,151.089
1,8,16,284.586
1,8,32,452.747
1,8,64,884.145
1,16,8,159.484
1,16,16,301.588
1,16,32,510.185
1,16,64,906.726
1,16,128,1698.3
1,32,8,149.545
1,32,16,278.94
1,32,32,461.432
1,32,64,884.352
1,32,128,1659.68
1,32,256,3265.78
1,64,8,149.249
1,64,16,245.167
1,64,32,449.878
1,64,64,858.008
1,64,128,1658.43
1,64,256,3248.19
1,128,8,174.481
1,128,16,276.615
1,128,32,480.307
1,128,64,926.875
1,128,128,1710.37
1,128,256,3274.33
1,256,8,275.116
1,256,16,307.644
1,256,32,517.747
1,256,64,972.62
1,256,128,1807.45
1,256,256,3466.73
1,512,8,475.451
1,512,16,479.502
1,512,32,560.313
1,512,64,1016.45
1,512,128,1715.65
1,512,256,3307.62
1,1024,8,624.964
1,1024,16,634.724
1,1024,32,686.636
1,1024,64,1074.82
1,1024,128,1804.1
1,1024,256,3422.47
1,2048,8,1406.52
1,2048,16,1414.92
1,2048,32,1430.06
1,2048,64,1513.12
1,2048,128,2122.73
1,2048,256,3828.89
2,1,4,81.6272
2,2,4,88.6299
2,2,8,168.678
2,4,4,80.9874
2,4,8,154.252
2,4,16,257.329
2,8,4,83.568
2,8,8,162.243
2,8,16,259.682
2,8,32,489.379
2,16,4,77.7018
2,16,8,153.222
2,16,16,274.692
2,16,32,452.987
2,16,64,883.256
2,32,4,105.766
2,32,8,153.019
2,32,16,276.89
2,32,32,458.659
2,32,64,879.181
2,32,128,1674.77
2,64,4,96.1396
2,64,8,144.476
2,64,16,261.593
2,64,32,450.558
2,64,64,879.638
2,64,128,1685.34
2,128,4,109.851
2,128,8,168.054
2,128,16,286.941
2,128,32,472.605
2,128,64,907.776
2,128,128,1749.77
2,256,4,165.372
2,256,8,181.393
2,256,16,286.277
2,256,32,514.664
2,256,64,947.24
2,256,128,1796.45
2,512,4,263.797
2,512,8,268.077
2,512,16,299.108
2,512,32,504.038
2,512,64,882.835
2,512,128,1679.1
2,1024,4,347.986
2,1024,8,357.427
2,1024,16,379.832
2,1024,32,570.819
2,1024,64,939.974
2,1024,128,1744.25
2,2048,4,679.551
2,2048,8,685.61
2,2048,16,693.519
2,2048,32,743.258
2,2048,64,1127.72
2,2048,128,1856.93
4,1,2,46.4989
4,2,2,54.4751
4,2,4,86.2593
4,4,2,53.7447
4,4,4,83.6191
4,4,8,168.086
4,8,2,50.5948
4,8,4,75.8481
4,8,8,155.929
4,8,16,255.324
4,16,2,46.8992
4,16,4,79.3764
4,16,8,159.014
4,16,16,324.215
4,16,32,453.498
4,32,2,59.6086
4,32,4,102.246
4,32,8,152.55
4,32,16,279.495
4,32,32,454.512
4,32,64,876.141
4,64,2,63.2031
4,64,4,94.9977
4,64,8,136.806
4,64,16,236.047
4,64,32,449.978
4,64,64,865.792
4,128,2,74.9576
4,128,4,105.513
4,128,8,156.417
4,128,16,291.868
4,128,32,483.824
4,128,64,919.067
4,256,2,110.099
4,256,4,115.15
4,256,8,176.484
4,256,16,303.567
4,256,32,502.139
4,256,64,935.955
4,512,2,164.014
4,512,4,163.884
4,512,8,181.964
4,512,16,276.087
4,512,32,468.258
4,512,64,863.285
4,1024,2,221.94
4,1024,4,225.121
4,1024,8,241.719
4,1024,16,324.666
4,1024,32,514.955
4,1024,64,912.899
4,2048,2,400.026
4,2048,4,404.578
4,2048,8,411.605
4,2048,16,435.974
4,2048,32,626.593
4,2048,64,996.531
8,1,1,33.6536
8,2,1,41.0215
8,2,2,52.971
8,4,1,42.6347
8,4,2,53.7792
8,4,4,78.0217
8,8,1,48.2776
8,8,2,57.816
8,8,4,87.6963
8,8,8,161.449
8,16,1,34.779
8,16,2,46.4458
8,16,4,76.598
8,16,8,160.894
8,16,16,309.234
8,32,1,51.0987
8,32,2,52.9311
8,32,4,76.9153
8,32,8,152.63
8,32,16,266.007
8,32,32,460.125
8,64,1,44.4618
8,64,2,60.6936
8,64,4,98.8193
8,64,8,140.926
8,64,16,258.578
8,64,32,453.174
8,128,1,57.3392
8,128,2,69.9577
