layer,sequences,time_us
mtp_eh_proj,1,104.95
mtp_eh_proj,2,109.312
mtp_eh_proj,3,109.686
mtp_eh_proj,4,110.934
mtp_eh_proj,5,111.393
mtp_eh_proj,6,111.809
mtp_eh_proj,7,112.224
mtp_eh_proj,8,113.398
mtp_eh_proj,9,113.622
mtp_eh_proj,10,114.454
mtp_eh_proj,11,115.094
mtp_eh_proj,12,115.819
mtp_eh_proj,13,116.406
mtp_eh_proj,14,116.822
mtp_eh_proj,15,117.184
mtp_eh_proj,16,117.803
mtp_eh_proj,20,118.486
mtp_eh_proj,24,120.128
mtp_eh_proj,28,121.878
mtp_eh_proj,32,122.774
mtp_eh_proj,36,123.969
mtp_eh_proj,40,125.483
mtp_eh_proj,44,126.475
mtp_eh_proj,48,127.702
mtp_eh_proj,52,129.601
mtp_eh_proj,56,130.934
mtp_eh_proj,60,131.531
mtp_eh_proj,64,132.001
mtp_eh_proj,80,130.752
mtp_eh_proj,96,132.896
mtp_eh_proj,112,138.678
mtp_eh_proj,128,140.556
mtp_eh_proj,144,167.553
mtp_eh_proj,160,166.646
mtp_eh_proj,176,167.201
mtp_eh_proj,192,166.934
mtp_eh_proj,208,166.828
mtp_eh_proj,224,164.257
mtp_eh_proj,240,164.993
mtp_eh_proj,256,148.022
mtp_embed,1,3.08267
mtp_embed,2,3.232
mtp_embed,3,3.39167
mtp_embed,4,3.68
mtp_embed,5,4.03233
mtp_embed,6,4.20267
mtp_embed,7,4.37333
mtp_embed,8,4.48
mtp_embed,9,5.03467
mtp_embed,10,5.23767
mtp_embed,11,5.38733
mtp_embed,12,5.60033
mtp_embed,13,5.92
mtp_embed,14,6.283
mtp_embed,15,6.44267
mtp_embed,16,6.41133
mtp_embed,20,2.82667
mtp_embed,24,2.66667
mtp_embed,28,2.85833
mtp_embed,32,2.66667
mtp_embed,36,2.80533
mtp_embed,40,2.68733
mtp_embed,44,2.901
mtp_embed,48,2.69867
mtp_embed,52,2.912
mtp_embed,56,2.774
mtp_embed,60,2.99733
mtp_embed,64,2.848
mtp_embed,80,3.02967
mtp_embed,96,3.12567
mtp_embed,112,3.296
mtp_embed,128,3.49833
mtp_embed,144,3.85033
mtp_embed,160,3.88267
mtp_embed,176,4.02133
mtp_embed,192,4.203
mtp_embed,208,4.18133
mtp_embed,224,4.27733
mtp_embed,240,4.39467
mtp_embed,256,4.38433
mtp_enorm_hnorm,1,16.1913
mtp_enorm_hnorm,2,16.1707
mtp_enorm_hnorm,3,16.1917
mtp_enorm_hnorm,4,16.341
mtp_enorm_hnorm,5,16.2663
mtp_enorm_hnorm,6,16.3947
mtp_enorm_hnorm,7,16.3523
mtp_enorm_hnorm,8,16.4363
mtp_enorm_hnorm,9,16.363
mtp_enorm_hnorm,10,16.5013
mtp_enorm_hnorm,11,16.47
mtp_enorm_hnorm,12,16.4897
mtp_enorm_hnorm,13,16.543
mtp_enorm_hnorm,14,16.438
mtp_enorm_hnorm,15,16.5223
mtp_enorm_hnorm,16,16.6087
mtp_enorm_hnorm,20,16.5977
mtp_enorm_hnorm,24,16.7887
mtp_enorm_hnorm,28,16.715
mtp_enorm_hnorm,32,17.0243
mtp_enorm_hnorm,36,17.0873
mtp_enorm_hnorm,40,17.1843
mtp_enorm_hnorm,44,17.419
mtp_enorm_hnorm,48,17.5783
mtp_enorm_hnorm,52,17.3223
mtp_enorm_hnorm,56,17.3867
