layer,sequences,time_us
lm_head,1,1316.57
lm_head,2,1262.17
lm_head,3,1265.1
lm_head,4,1265.76
lm_head,5,1268.21
lm_head,6,1270.95
lm_head,7,1272.88
lm_head,8,1272.69
lm_head,9,1273.29
lm_head,10,1275.23
lm_head,11,1270.06
lm_head,12,1271.7
lm_head,13,1275.72
lm_head,14,1273.67
lm_head,15,1273.77
lm_head,16,1275.6
lm_head,20,1287.38
lm_head,24,1289.78
lm_head,28,1291.82
lm_head,32,1295.22
lm_head,36,1309.96
lm_head,40,1314.83
lm_head,44,1315.52
lm_head,48,1317.33
lm_head,52,1316.72
lm_head,56,1317.66
lm_head,60,1322.97
lm_head,64,1327.18
lm_head,80,1403.77
lm_head,96,1410.4
lm_head,112,1358.61
lm_head,128,1461.13
lm_head,144,1511.9
lm_head,160,1470.61
lm_head,176,1471.95
lm_head,192,1477.79
lm_head,208,1491.34
lm_head,224,1489.1
lm_head,240,1495.75
lm_head,256,1499.58
sampler,1,9.77067
sampler,2,11.1573
sampler,3,10.848
sampler,4,11.0297
sampler,5,11.1683
sampler,6,11.3283
sampler,7,11.4023
sampler,8,12.8747
sampler,9,13.707
sampler,10,14.112
sampler,11,14.0583
sampler,12,13.8987
sampler,13,14.3893
sampler,14,14.8053
sampler,15,15.1147
sampler,16,15.6483
sampler,20,17.6543
sampler,24,19.4027
sampler,28,20.6933
sampler,32,24.629
sampler,36,25.941
sampler,40,28.033
sampler,44,29.3763
sampler,48,32.0433
sampler,52,32.9383
sampler,56,35.2857
sampler,60,37.2167
sampler,64,38.624
sampler,80,47.787
sampler,96,54.7093
sampler,112,68.6297
sampler,128,82.5823
sampler,144,91.254
sampler,160,105.164
sampler,176,122.241
sampler,192,135.83
sampler,208,155.084
sampler,224,177.601
sampler,240,199.926
sampler,256,222.135
